#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
587958at33208_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-    -            115 587958at33208        -             89     7e-55  182.4   0.3   1   1   1.5e-56   8.5e-55  182.1   0.3     2    85    10    93     9    97 0.97 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i10:689-1021|+    -            111 587958at33208        -             89   9.1e-05   21.7   0.0   1   2   2.8e-05    0.0015   17.8   0.0    12    75     2    68     1    77 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i10:689-1021|+    -            111 587958at33208        -             89   9.1e-05   21.7   0.0   2   2       1.9     1e+02    2.3   0.0    10    33    81   104    73   109 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i2:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   1   2   2.8e-05    0.0015   17.8   0.0    12    75     2    68     1    77 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i2:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   2   2       1.9     1e+02    2.3   0.0    10    33    81   104    73   109 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i4:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   1   2   2.8e-05    0.0015   17.8   0.0    12    75     2    68     1    77 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i4:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   2   2       1.9     1e+02    2.3   0.0    10    33    81   104    73   109 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i7:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   1   2   2.8e-05    0.0015   17.8   0.0    12    75     2    68     1    77 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i7:689-1021|+     -            111 587958at33208        -             89   9.1e-05   21.7   0.0   2   2       1.9     1e+02    2.3   0.0    10    33    81   104    73   109 0.84 -
436539at33208_8897_0:003258|TRINITY_DN78494_c7_g2_i1:146-400|+      -             85 587958at33208        -             89   9.9e-05   21.6   0.0   1   1   2.2e-06   0.00012   21.3   0.0    14    82    10    81     4    84 0.85 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i1:82-369|+   -             96 587958at33208        -             89   0.00017   20.8   0.0   1   1   3.8e-06   0.00021   20.6   0.0    12    72     1    60     1    72 0.87 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i2:82-369|+   -             96 587958at33208        -             89   0.00017   20.8   0.0   1   1   3.8e-06   0.00021   20.6   0.0    12    72     1    60     1    72 0.87 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i3:82-369|+   -             96 587958at33208        -             89   0.00017   20.8   0.0   1   1   3.8e-06   0.00021   20.6   0.0    12    72     1    60     1    72 0.87 -
547099at33208_1629725_0:0007aa|TRINITY_DN93237_c16_g1_i4:82-369|+   -             96 587958at33208        -             89   0.00017   20.8   0.0   1   1   3.8e-06   0.00021   20.6   0.0    12    72     1    60     1    72 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN73894_c2_g5_i1:0-236|-        -             79 587958at33208        -             89   0.00024   20.4   0.0   1   1     5e-06   0.00028   20.2   0.0    12    68     6    68     2    75 0.80 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i2:879-1238|-     -            120 587958at33208        -             89   0.00024   20.4   0.0   1   2    0.0005     0.028   13.8   0.0    12    57     3    51     1    58 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i2:879-1238|-     -            120 587958at33208        -             89   0.00024   20.4   0.0   2   2      0.31        17    4.8   0.0    13    38    94   119    88   120 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i8:1662-2021|-    -            120 587958at33208        -             89   0.00024   20.4   0.0   1   2    0.0005     0.028   13.8   0.0    12    57     3    51     1    58 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i8:1662-2021|-    -            120 587958at33208        -             89   0.00024   20.4   0.0   2   2      0.31        17    4.8   0.0    13    38    94   119    88   120 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i5:689-1021|+     -            111 587958at33208        -             89   0.00028   20.2   0.0   1   2   0.00033     0.018   14.4   0.0    12    73     2    66     1    80 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN87542_c6_g2_i5:689-1021|+     -            111 587958at33208        -             89   0.00028   20.2   0.0   2   2      0.46        25    4.3   0.0     9    34    80   105    74   108 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i5:1662-2030|-    -            123 587958at33208        -             89    0.0003   20.1   0.0   1   2   0.00059     0.033   13.6   0.0    12    57     6    54     1    61 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i5:1662-2030|-    -            123 587958at33208        -             89    0.0003   20.1   0.0   2   2      0.33        18    4.8   0.0    13    38    97   122    91   123 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i9:879-1247|-     -            123 587958at33208        -             89    0.0003   20.1   0.0   1   2   0.00059     0.033   13.6   0.0    12    57     6    54     1    61 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i9:879-1247|-     -            123 587958at33208        -             89    0.0003   20.1   0.0   2   2      0.33        18    4.8   0.0    13    38    97   122    91   123 0.88 -
564286at33208_610380_0:0000e5|TRINITY_DN73456_c10_g1_i1:300-593|-   -             98 587958at33208        -             89   0.00031   20.0   0.0   1   1   6.7e-06   0.00037   19.8   0.0    10    48    19    57    12    89 0.82 -
564286at33208_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-   -             86 587958at33208        -             89   0.00032   20.0   0.0   1   1   6.9e-06   0.00038   19.8   0.0    12    80     1    72     1    80 0.87 -
564286at33208_37344_0:0029cb|TRINITY_DN71367_c6_g4_i2:1112-1369|-   -             86 587958at33208        -             89   0.00032   20.0   0.0   1   1   6.9e-06   0.00038   19.8   0.0    12    80     1    72     1    80 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i4:1665-2033|-    -            123 587958at33208        -             89   0.00032   20.0   0.0   1   2    0.0007     0.039   13.3   0.0    12    57     6    54     2    61 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i4:1665-2033|-    -            123 587958at33208        -             89   0.00032   20.0   0.0   2   2      0.33        18    4.8   0.0    13    38    97   122    91   123 0.88 -
547099at33208_1629725_0:0007aa|TRINITY_DN87486_c3_g1_i1:413-658|-   -             82 587958at33208        -             89   0.00051   19.3   0.0   1   1   1.1e-05   0.00062   19.1   0.0    14    86     5    79     2    81 0.81 -
547099at33208_215358_0:002c75|TRINITY_DN82458_c8_g1_i5:7-300|+      -             98 587958at33208        -             89   0.00091   18.5   0.0   1   1   2.1e-05    0.0011   18.2   0.0     8    72    11    73     5    82 0.88 -
547099at33208_215358_0:002c75|TRINITY_DN82458_c8_g1_i6:96-389|+     -             98 587958at33208        -             89   0.00091   18.5   0.0   1   1   2.1e-05    0.0011   18.2   0.0     8    72    11    73     5    82 0.88 -
564286at33208_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+   -             75 587958at33208        -             89    0.0021   17.3   0.0   1   1   4.2e-05    0.0023   17.2   0.0    11    72     2    66     1    74 0.87 -
564286at33208_132113_0:001471|TRINITY_DN79417_c10_g1_i2:227-451|+   -             75 587958at33208        -             89    0.0021   17.3   0.0   1   1   4.2e-05    0.0023   17.2   0.0    11    72     2    66     1    74 0.87 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i10:1500-1730|-  -             77 587958at33208        -             89    0.0029   16.9   0.0   1   1   6.2e-05    0.0034   16.7   0.0    12    78     1    70     1    73 0.86 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i3:1482-1712|-   -             77 587958at33208        -             89    0.0029   16.9   0.0   1   1   6.2e-05    0.0034   16.7   0.0    12    78     1    70     1    73 0.86 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i6:2173-2403|-   -             77 587958at33208        -             89    0.0029   16.9   0.0   1   1   6.2e-05    0.0034   16.7   0.0    12    78     1    70     1    73 0.86 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i7:1500-1730|-   -             77 587958at33208        -             89    0.0029   16.9   0.0   1   1   6.2e-05    0.0034   16.7   0.0    12    78     1    70     1    73 0.86 -
564286at33208_441921_0:0017da|TRINITY_DN73894_c2_g2_i3:3-218|-      -             72 587958at33208        -             89    0.0032   16.8   0.0   1   1   6.5e-05    0.0036   16.6   0.0    10    53    26    72    12    72 0.86 -
564286at33208_441921_0:0017da|TRINITY_DN73894_c2_g2_i5:3-218|-      -             72 587958at33208        -             89    0.0032   16.8   0.0   1   1   6.5e-05    0.0036   16.6   0.0    10    53    26    72    12    72 0.86 -
564286at33208_441921_0:0017da|TRINITY_DN73894_c2_g2_i6:3-218|-      -             72 587958at33208        -             89    0.0032   16.8   0.0   1   1   6.5e-05    0.0036   16.6   0.0    10    53    26    72    12    72 0.86 -
436539at33208_294128_0:001c56|TRINITY_DN78494_c7_g2_i3:357-1229|+   -            291 587958at33208        -             89    0.0057   16.0   0.0   1   1   0.00027     0.015   14.6   0.0    13    82   213   285   206   289 0.84 -
436539at33208_7200_0:0001f1|TRINITY_DN76633_c3_g1_i10:1909-2136|-   -             76 587958at33208        -             89    0.0067   15.8   0.0   1   1   0.00013    0.0073   15.6   0.0    13    70     2    62     1    72 0.81 -
436539at33208_7200_0:0001f1|TRINITY_DN76633_c3_g1_i14:777-1004|-    -             76 587958at33208        -             89    0.0067   15.8   0.0   1   1   0.00013    0.0073   15.6   0.0    13    70     2    62     1    72 0.81 -
436539at33208_7200_0:0001f1|TRINITY_DN76633_c3_g1_i5:1909-2136|-    -             76 587958at33208        -             89    0.0067   15.8   0.0   1   1   0.00013    0.0073   15.6   0.0    13    70     2    62     1    72 0.81 -
436539at33208_7200_0:0001f1|TRINITY_DN76633_c3_g1_i8:777-1004|-     -             76 587958at33208        -             89    0.0067   15.8   0.0   1   1   0.00013    0.0073   15.6   0.0    13    70     2    62     1    72 0.81 -
436539at33208_7200_0:0001f1|TRINITY_DN76633_c3_g1_i9:1909-2136|-    -             76 587958at33208        -             89    0.0067   15.8   0.0   1   1   0.00013    0.0073   15.6   0.0    13    70     2    62     1    72 0.81 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i1:299-547|+      -             83 587958at33208        -             89     0.007   15.7   0.0   1   1   0.00014    0.0078   15.5   0.0    17    80     6    72     1    77 0.77 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i2:1055-1303|+    -             83 587958at33208        -             89     0.007   15.7   0.0   1   1   0.00014    0.0078   15.5   0.0    17    80     6    72     1    77 0.77 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i3:996-1244|+     -             83 587958at33208        -             89     0.007   15.7   0.0   1   1   0.00014    0.0078   15.5   0.0    17    80     6    72     1    77 0.77 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i7:1118-1366|+    -             83 587958at33208        -             89     0.007   15.7   0.0   1   1   0.00014    0.0078   15.5   0.0    17    80     6    72     1    77 0.77 -
564286at33208_441921_0:0017da|TRINITY_DN72130_c16_g1_i1:1482-1700|- -             73 587958at33208        -             89    0.0087   15.4   0.0   1   1   0.00019      0.01   15.1   0.0    10    56    21    70    13    72 0.81 -
564286at33208_441921_0:0017da|TRINITY_DN72130_c16_g1_i4:1482-1700|- -             73 587958at33208        -             89    0.0087   15.4   0.0   1   1   0.00019      0.01   15.1   0.0    10    56    21    70    13    72 0.81 -
564286at33208_441921_0:0017da|TRINITY_DN72130_c16_g1_i5:1448-1666|- -             73 587958at33208        -             89    0.0087   15.4   0.0   1   1   0.00019      0.01   15.1   0.0    10    56    21    70    13    72 0.81 -
576938at33208_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+   -            375 587958at33208        -             89    0.0089   15.4   0.0   1   2       5.3   2.9e+02    0.9   0.0    23    57    99   133    89   144 0.77 -
576938at33208_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+   -            375 587958at33208        -             89    0.0089   15.4   0.0   2   2    0.0022      0.12   11.7   0.0     6    80   204   275   201   280 0.88 -
576938at33208_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+   -            375 587958at33208        -             89    0.0089   15.4   0.0   1   2       5.3   2.9e+02    0.9   0.0    23    57    99   133    89   144 0.77 -
576938at33208_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+   -            375 587958at33208        -             89    0.0089   15.4   0.0   2   2    0.0022      0.12   11.7   0.0     6    80   204   275   201   280 0.88 -
436539at33208_8897_0:003258|TRINITY_DN73894_c2_g1_i1:441-593|-      -             51 587958at33208        -             89    0.0097   15.2   0.0   1   1   0.00018    0.0097   15.2   0.0    13    55     6    51     1    51 0.80 -
564286at33208_13249_0:001aae|TRINITY_DN92549_c8_g1_i2:288-560|-     -             91 587958at33208        -             89    0.0097   15.2   0.0   1   1    0.0012     0.065   12.6   0.0    12    80     1    80     1    87 0.73 -
564286at33208_13249_0:001aae|TRINITY_DN92549_c8_g1_i5:288-560|-     -             91 587958at33208        -             89    0.0097   15.2   0.0   1   1    0.0012     0.065   12.6   0.0    12    80     1    80     1    87 0.73 -
564286at33208_13249_0:001aae|TRINITY_DN92549_c8_g1_i9:288-560|-     -             91 587958at33208        -             89    0.0097   15.2   0.0   1   1    0.0012     0.065   12.6   0.0    12    80     1    80     1    87 0.73 -
196950at33208_259920_0:0013f9|TRINITY_DN75451_c7_g2_i11:199-555|-   -            119 587958at33208        -             89     0.011   15.1   0.0   1   1    0.0013     0.072   12.4   0.0    11    57    63   112    57   119 0.77 -
196950at33208_259920_0:0013f9|TRINITY_DN75451_c7_g2_i13:199-555|-   -            119 587958at33208        -             89     0.011   15.1   0.0   1   1    0.0013     0.072   12.4   0.0    11    57    63   112    57   119 0.77 -
196950at33208_259920_0:0013f9|TRINITY_DN75451_c7_g2_i2:469-825|-    -            119 587958at33208        -             89     0.011   15.1   0.0   1   1    0.0013     0.072   12.4   0.0    11    57    63   112    57   119 0.77 -
196950at33208_259920_0:0013f9|TRINITY_DN75451_c7_g2_i3:469-825|-    -            119 587958at33208        -             89     0.011   15.1   0.0   1   1    0.0013     0.072   12.4   0.0    11    57    63   112    57   119 0.77 -
373040at33208_294128_0:004567|TRINITY_DN87551_c7_g10_i1:2-1348|-    -            449 587958at33208        -             89     0.017   14.5   0.0   1   1    0.0026      0.15   11.5   0.0     5    44   226   267   222   286 0.83 -
436539at33208_294128_0:001c56|TRINITY_DN78494_c7_g2_i5:357-1232|+   -            292 587958at33208        -             89     0.018   14.4   0.0   1   1   0.00089     0.049   13.0   0.0    13    72   213   275   206   287 0.85 -
436539at33208_294128_0:001c56|TRINITY_DN78494_c7_g2_i4:357-1348|+   -            292 587958at33208        -             89     0.018   14.4   0.0   1   1   0.00089     0.049   13.0   0.0    13    72   213   275   206   287 0.85 -
564286at33208_6832_0:0012b4|TRINITY_DN80667_c12_g1_i2:160-426|+     -             89 587958at33208        -             89     0.021   14.2   0.0   1   1   0.00047     0.026   13.9   0.0    12    64    16    71     9    75 0.80 -
547099at33208_116153_0:00305f|TRINITY_DN76524_c10_g1_i1:1353-1691|- -            113 587958at33208        -             89     0.021   14.2   0.0   1   1   0.00048     0.027   13.8   0.0    13    72     2    59     1    70 0.84 -
547099at33208_116153_0:00305f|TRINITY_DN76524_c10_g1_i3:1072-1410|- -            113 587958at33208        -             89     0.021   14.2   0.0   1   1   0.00048     0.027   13.8   0.0    13    72     2    59     1    70 0.84 -
547099at33208_116153_0:00305f|TRINITY_DN76524_c10_g1_i4:779-1117|-  -            113 587958at33208        -             89     0.021   14.2   0.0   1   1   0.00048     0.027   13.8   0.0    13    72     2    59     1    70 0.84 -
547099at33208_116153_0:00305f|TRINITY_DN76524_c10_g1_i5:388-726|-   -            113 587958at33208        -             89     0.021   14.2   0.0   1   1   0.00048     0.027   13.8   0.0    13    72     2    59     1    70 0.84 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i15:146-370|-    -             75 587958at33208        -             89     0.022   14.1   0.0   1   1   0.00046     0.025   13.9   0.0    17    78     4    68     1    71 0.82 -
601875at33208_286706_0:00149f|TRINITY_DN90478_c3_g3_i1:327-1811|-   -            495 587958at33208        -             89     0.024   14.0   0.1   1   1    0.0019       0.1   12.0   0.0     5    55    91   144    87   152 0.80 -
601875at33208_286706_0:00149f|TRINITY_DN90478_c3_g3_i2:327-1811|-   -            495 587958at33208        -             89     0.024   14.0   0.1   1   1    0.0019       0.1   12.0   0.0     5    55    91   144    87   152 0.80 -
436539at33208_8969_0:00096a|TRINITY_DN84403_c3_g1_i1:132-473|-      -            114 587958at33208        -             89     0.032   13.6   0.0   1   1   0.00073      0.04   13.3   0.0    12    72    37   100    30   112 0.79 -
564286at33208_6832_0:0012b4|TRINITY_DN93023_c6_g2_i4:2048-2389|-    -            114 587958at33208        -             89     0.035   13.4   0.0   1   2     0.038       2.1    7.8   0.0    14    53     3    45     1    62 0.79 -
564286at33208_6832_0:0012b4|TRINITY_DN93023_c6_g2_i4:2048-2389|-    -            114 587958at33208        -             89     0.035   13.4   0.0   2   2      0.55        30    4.0   0.0     6    37    81   112    76   114 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN93023_c6_g2_i6:2048-2389|-    -            114 587958at33208        -             89     0.035   13.4   0.0   1   2     0.038       2.1    7.8   0.0    14    53     3    45     1    62 0.79 -
564286at33208_6832_0:0012b4|TRINITY_DN93023_c6_g2_i6:2048-2389|-    -            114 587958at33208        -             89     0.035   13.4   0.0   2   2      0.55        30    4.0   0.0     6    37    81   112    76   114 0.88 -
564286at33208_13249_0:001aae|TRINITY_DN92549_c8_g1_i10:288-560|-    -             91 587958at33208        -             89     0.046   13.1   0.0   1   1    0.0042      0.23   10.8   0.0    13    80     2    80     1    87 0.65 -
564286at33208_54969_0:003fed|TRINITY_DN91700_c3_g1_i11:490-798|-    -            103 587958at33208        -             89     0.053   12.9   0.0   1   1    0.0012     0.068   12.5   0.0    17    78     4    68     1    72 0.82 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i1:786-1457|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i2:686-1357|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i3:686-1357|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i4:591-1262|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i5:591-1262|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i7:686-1357|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
564286at33208_568069_0:002488|TRINITY_DN88549_c5_g1_i8:591-1262|+   -            224 587958at33208        -             89     0.054   12.9   0.0   1   1    0.0018     0.098   12.0   0.0     8    43   165   200   159   208 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN84403_c3_g1_i2:2095-2670|-  -            192 587958at33208        -             89     0.063   12.6   0.0   1   1    0.0021      0.11   11.8   0.0    12    72   109   172   102   189 0.77 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i10:1580-2473|+  -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i13:955-1848|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i1:1580-2473|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i3:1538-2431|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i4:1538-2431|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i5:1580-2473|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i6:1538-2431|+   -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i7:955-1848|+    -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
373040at33208_70779_0:0007a1|TRINITY_DN93556_c7_g1_i9:955-1848|+    -            298 587958at33208        -             89      0.08   12.3   0.0   1   1    0.0021      0.12   11.8   0.0    12    76     3    64     1    72 0.86 -
436539at33208_8128_0:001019|TRINITY_DN73894_c5_g1_i1:76-300|+       -             75 587958at33208        -             89       0.1   12.0   0.0   1   1    0.0022      0.12   11.7   0.0     8    53    25    73    20    75 0.81 -
596973at33208_166423_0:002eec|TRINITY_DN92549_c8_g1_i7:0-950|-      -            317 587958at33208        -             89      0.11   11.9   0.0   1   1    0.0098      0.54    9.6   0.0    11    78   130   208   124   215 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587958at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/587958at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587958at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:53 2026
# [ok]
