#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243     1e-64  217.4   3.0   1   1   2.2e-65   3.9e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i1:356-1150|-   -            265 537718at33208        -            243   7.8e-15   54.0   0.4   1   3   1.2e-05   0.00023   19.8   0.0    36    89     7    65     2    74 0.85 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i1:356-1150|-   -            265 537718at33208        -            243   7.8e-15   54.0   0.4   2   3   3.8e-06     7e-05   21.5   0.0    29    95    98   170    92   176 0.79 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i1:356-1150|-   -            265 537718at33208        -            243   7.8e-15   54.0   0.4   3   3      0.02      0.36    9.3   0.2    74   129   205   265   192   265 0.66 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   7.8e-15   54.0   0.4   1   3   1.2e-05   0.00023   19.8   0.0    36    89     7    65     2    74 0.85 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   7.8e-15   54.0   0.4   2   3   3.8e-06     7e-05   21.5   0.0    29    95    98   170    92   176 0.79 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   7.8e-15   54.0   0.4   3   3      0.02      0.36    9.3   0.2    74   129   205   265   192   265 0.66 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i2:759-1199|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   1   3     0.013      0.24    9.9   0.0    36    75     3    42     2    44 0.94 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i2:759-1199|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   2   3   4.9e-10   8.9e-09   34.2   0.0    36    90    43    98    41   103 0.93 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i2:759-1199|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   3   3       0.1       1.9    6.9   0.0    62    89   119   146   110   147 0.86 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i7:758-1198|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   1   3     0.013      0.24    9.9   0.0    36    75     3    42     2    44 0.94 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i7:758-1198|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   2   3   4.9e-10   8.9e-09   34.2   0.0    36    90    43    98    41   103 0.93 -
111746at33208_28377_0:003c8b|TRINITY_DN82339_c12_g1_i7:758-1198|-   -            147 537718at33208        -            243   8.2e-15   54.0   0.0   3   3       0.1       1.9    6.9   0.0    62    89   119   146   110   147 0.86 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 537718at33208        -            243   8.9e-15   53.9   0.6   1   2   6.4e-07   1.2e-05   24.0   0.1    56   127   155   234    93   246 0.69 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 537718at33208        -            243   8.9e-15   53.9   0.6   2   2   2.1e-07   3.8e-06   25.6   0.0    62   136   250   332   221   339 0.74 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   8.9e-15   53.9   0.0   1   3   3.9e-08   7.1e-07   28.0   0.1    36   130    34   136     6   147 0.84 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   8.9e-15   53.9   0.0   2   3       9.3   1.7e+02    0.5   0.0    39    54   163   178   158   228 0.63 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   8.9e-15   53.9   0.0   3   3     6e-06   0.00011   20.8   0.0    35    83   251   300   242   309 0.87 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 537718at33208        -            243   1.1e-14   53.5  11.1   1   4   2.4e-07   4.3e-06   25.4   0.7    25   140    18   146     6   166 0.77 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 537718at33208        -            243   1.1e-14   53.5  11.1   2   4     1e-05   0.00019   20.0   1.2    35   133    77   190    59   200 0.75 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 537718at33208        -            243   1.1e-14   53.5  11.1   3   4   3.4e-05   0.00062   18.4   0.0    36   113   171   244   154   249 0.74 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 537718at33208        -            243   1.1e-14   53.5  11.1   4   4   0.00033    0.0061   15.1   0.0    40    90   217   269   214   277 0.92 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   1.5e-14   53.1   3.2   1   4     0.019      0.35    9.3   0.0   139   196    47   112    41   112 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   1.5e-14   53.1   3.2   2   4     1e-07   1.9e-06   26.6   0.0    21   138    86   210    83   230 0.86 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   1.5e-14   53.1   3.2   3   4       1.1        19    3.6   0.0   104   134   217   246   209   249 0.88 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   1.5e-14   53.1   3.2   4   4   1.5e-05   0.00027   19.5   0.2    46   114   236   309   228   316 0.79 -
433216at33208_7070_0:000768|TRINITY_DN71112_c3_g1_i2:2-634|-        -            211 537718at33208        -            243   2.4e-14   52.4   3.0   1   2   0.00067     0.012   14.1   0.1   101   136     9    45     2    65 0.67 -
433216at33208_7070_0:000768|TRINITY_DN71112_c3_g1_i2:2-634|-        -            211 537718at33208        -            243   2.4e-14   52.4   3.0   2   2     2e-11   3.7e-10   38.7   0.6    35   147    64   185    45   210 0.74 -
357580at33208_7493_0:001a21|TRINITY_DN82757_c9_g2_i1:6-677|-        -            224 537718at33208        -            243   2.7e-14   52.3   0.1   1   2   4.1e-08   7.6e-07   27.9   0.0    25    93     7    87     2   100 0.80 -
357580at33208_7493_0:001a21|TRINITY_DN82757_c9_g2_i1:6-677|-        -            224 537718at33208        -            243   2.7e-14   52.3   0.1   2   2   2.5e-06   4.6e-05   22.0   0.0    36    87   112   165    95   186 0.88 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+   -            166 537718at33208        -            243   3.3e-14   52.0   0.0   1   2   5.9e-05    0.0011   17.5   0.0    60   128     3    77     1    77 0.82 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+   -            166 537718at33208        -            243   3.3e-14   52.0   0.0   2   2   1.4e-10   2.6e-09   36.0   0.0    37   133    64   166    56   166 0.93 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+  -            166 537718at33208        -            243   3.3e-14   52.0   0.0   1   2   5.9e-05    0.0011   17.5   0.0    60   128     3    77     1    77 0.82 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+  -            166 537718at33208        -            243   3.3e-14   52.0   0.0   2   2   1.4e-10   2.6e-09   36.0   0.0    37   133    64   166    56   166 0.93 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   1   3    0.0036     0.066   11.7   0.0    36   107    11    92     4    99 0.60 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   2   3   1.7e-09   3.2e-08   32.4   0.0    23   155    39   184    32   187 0.82 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   3   3   4.8e-05   0.00088   17.9   0.0    37   128   144   243   141   243 0.79 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i5:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   1   3    0.0036     0.066   11.7   0.0    36   107    11    92     4    99 0.60 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i5:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   2   3   1.7e-09   3.2e-08   32.4   0.0    23   155    39   184    32   187 0.82 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i5:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   3   3   4.8e-05   0.00088   17.9   0.0    37   128   144   243   141   243 0.79 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i8:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   1   3    0.0036     0.066   11.7   0.0    36   107    11    92     4    99 0.60 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i8:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   2   3   1.7e-09   3.2e-08   32.4   0.0    23   155    39   184    32   187 0.82 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i8:920-1648|-    -            243 537718at33208        -            243   4.5e-14   51.5   0.3   3   3   4.8e-05   0.00088   17.9   0.0    37   128   144   243   141   243 0.79 -
357580at33208_37653_0:003161|TRINITY_DN84398_c2_g1_i2:479-1348|+    -            290 537718at33208        -            243   2.8e-13   49.0   0.0   1   3   0.00083     0.015   13.8   0.0    35    89    17    73     3   102 0.73 -
357580at33208_37653_0:003161|TRINITY_DN84398_c2_g1_i2:479-1348|+    -            290 537718at33208        -            243   2.8e-13   49.0   0.0   2   3   9.1e-06   0.00017   20.2   0.0    38    93   112   169    85   196 0.85 -
357580at33208_37653_0:003161|TRINITY_DN84398_c2_g1_i2:479-1348|+    -            290 537718at33208        -            243   2.8e-13   49.0   0.0   3   3    0.0074      0.13   10.7   0.0    37    87   237   290   216   290 0.84 -
357580at33208_158441_0:0021ca|TRINITY_DN84398_c2_g1_i1:111-824|+    -            238 537718at33208        -            243   3.1e-13   48.8   0.0   1   2     0.058       1.1    7.8   0.0    36    85    15    65     1    73 0.68 -
357580at33208_158441_0:0021ca|TRINITY_DN84398_c2_g1_i1:111-824|+    -            238 537718at33208        -            243   3.1e-13   48.8   0.0   2   2   1.8e-11   3.2e-10   38.9   0.0    37   153   101   229    81   238 0.83 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   1   3   3.3e-05   0.00061   18.4   1.1    35   132   116   223    95   226 0.76 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   397   513   368   538 0.70 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   3   3   5.6e-05     0.001   17.6   0.1    36    97   540   604   534   652 0.85 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   1   3   3.3e-05   0.00061   18.4   1.1    35   132   116   223    95   226 0.76 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   397   513   368   538 0.70 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i6:190-2858|-    -            797 537718at33208        -            243   3.2e-13   48.8  12.3   3   3   5.6e-05     0.001   17.6   0.1    36    97   540   604   534   652 0.85 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i1:169-2586|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   1   3   3.4e-05   0.00062   18.4   1.1    35   132   118   225    97   228 0.76 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i1:169-2586|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   399   515   370   540 0.70 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i1:169-2586|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   3   3   5.7e-05     0.001   17.6   0.1    36    97   542   606   536   654 0.85 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i3:178-2595|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   1   3   3.4e-05   0.00062   18.4   1.1    35   132   118   225    97   228 0.76 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i3:178-2595|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   399   515   370   540 0.70 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i3:178-2595|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   3   3   5.7e-05     0.001   17.6   0.1    36    97   542   606   536   654 0.85 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   1   3   3.4e-05   0.00062   18.4   1.1    35   132   118   225    97   228 0.76 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   399   515   370   540 0.70 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i4:169-2720|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   3   3   5.7e-05     0.001   17.6   0.1    36    97   542   606   536   654 0.85 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   1   3   3.4e-05   0.00062   18.4   1.1    35   132   118   225    97   228 0.76 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   2   3    0.0028     0.051   12.1   0.8    36   129   399   515   370   540 0.70 -
111746at33208_6850_0:001291|TRINITY_DN87686_c12_g1_i7:178-2729|-    -            806 537718at33208        -            243   3.4e-13   48.7  12.3   3   3   5.7e-05     0.001   17.6   0.1    36    97   542   606   536   654 0.85 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i3:357-1082|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   1   3      0.65        12    4.3   0.1    70    89    11    32     1    44 0.60 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i3:357-1082|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   2   3   7.2e-09   1.3e-07   30.4   0.0    36   153    61   192    52   193 0.82 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i3:357-1082|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   3   3    0.0028     0.051   12.1   0.1    36    83   190   240   175   242 0.75 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i9:331-1056|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   1   3      0.65        12    4.3   0.1    70    89    11    32     1    44 0.60 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i9:331-1056|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   2   3   7.2e-09   1.3e-07   30.4   0.0    36   153    61   192    52   193 0.82 -
357580at33208_42514_0:00018d|TRINITY_DN93240_c4_g1_i9:331-1056|+    -            242 537718at33208        -            243   3.9e-13   48.5   0.3   3   3    0.0028     0.051   12.1   0.1    36    83   190   240   175   242 0.75 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i12:5508-6023|-  -            172 537718at33208        -            243   6.2e-13   47.8   0.2   1   2       1.1        20    3.6   0.0    45    76    31    62     6    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i12:5508-6023|-  -            172 537718at33208        -            243   6.2e-13   47.8   0.2   2   2   1.9e-13   3.5e-12   45.4   0.1    26   131    49   165    38   171 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i2:3294-3809|-   -            172 537718at33208        -            243   6.2e-13   47.8   0.2   1   2       1.1        20    3.6   0.0    45    76    31    62     6    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i2:3294-3809|-   -            172 537718at33208        -            243   6.2e-13   47.8   0.2   2   2   1.9e-13   3.5e-12   45.4   0.1    26   131    49   165    38   171 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i8:3276-3791|-   -            172 537718at33208        -            243   6.2e-13   47.8   0.2   1   2       1.1        20    3.6   0.0    45    76    31    62     6    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i8:3276-3791|-   -            172 537718at33208        -            243   6.2e-13   47.8   0.2   2   2   1.9e-13   3.5e-12   45.4   0.1    26   131    49   165    38   171 0.85 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   9.2e-13   47.3   3.5   1   3   3.8e-09   6.9e-08   31.3   0.1    22   134   211   340   206   341 0.78 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   9.2e-13   47.3   3.5   2   3   8.1e-07   1.5e-05   23.7   0.4    38   107   322   396   318   404 0.87 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   9.2e-13   47.3   3.5   3   3       2.9        53    2.2   0.0    92   128   474   511   411   512 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i10:3330-3830|-  -            167 537718at33208        -            243   9.7e-13   47.2   0.3   1   2         1        19    3.7   0.0    45    76    31    62     7    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i10:3330-3830|-  -            167 537718at33208        -            243   9.7e-13   47.2   0.3   2   2   3.4e-13   6.2e-12   44.5   0.2    26   130    49   164    41   166 0.86 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i13:3312-3812|-  -            167 537718at33208        -            243   9.7e-13   47.2   0.3   1   2         1        19    3.7   0.0    45    76    31    62     7    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i13:3312-3812|-  -            167 537718at33208        -            243   9.7e-13   47.2   0.3   2   2   3.4e-13   6.2e-12   44.5   0.2    26   130    49   164    41   166 0.86 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 537718at33208        -            243   9.7e-13   47.2   0.3   1   2         1        19    3.7   0.0    45    76    31    62     7    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 537718at33208        -            243   9.7e-13   47.2   0.3   2   2   3.4e-13   6.2e-12   44.5   0.2    26   130    49   164    41   166 0.86 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   1.1e-12   47.0   1.1   1   4     0.015      0.28    9.7   0.0    37    82    11    57     8    70 0.90 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   1.1e-12   47.0   1.1   2   4   1.2e-05   0.00021   19.9   0.0    36   133    95   199    85   225 0.84 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   1.1e-12   47.0   1.1   3   4       2.3        42    2.5   0.1   204   228   222   246   200   261 0.57 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   1.1e-12   47.0   1.1   4   4    0.0053     0.097   11.2   0.0    35    75   272   312   255   312 0.93 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   1.2e-12   46.9   0.0   1   3   1.3e-06   2.4e-05   23.0   0.0   106   165    12    78     2   100 0.52 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   1.2e-12   46.9   0.0   2   3      0.73        13    4.2   0.0    42    72   132   163   119   168 0.82 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   1.2e-12   46.9   0.0   3   3   0.00017    0.0032   16.0   0.0    36   118   172   265   166   265 0.73 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i5:676-1470|+    -            265 537718at33208        -            243   1.2e-12   46.9   0.0   1   3   1.3e-06   2.4e-05   23.0   0.0   106   165    12    78     2   100 0.52 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i5:676-1470|+    -            265 537718at33208        -            243   1.2e-12   46.9   0.0   2   3      0.73        13    4.2   0.0    42    72   132   163   119   168 0.82 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i5:676-1470|+    -            265 537718at33208        -            243   1.2e-12   46.9   0.0   3   3   0.00017    0.0032   16.0   0.0    36   118   172   265   166   265 0.73 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i1:118-1563|-  -            482 537718at33208        -            243   1.2e-12   46.8   2.9   1   2   3.4e-09   6.1e-08   31.5   0.1    22   134   211   340   206   341 0.78 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i1:118-1563|-  -            482 537718at33208        -            243   1.2e-12   46.8   2.9   2   2   7.4e-07   1.4e-05   23.8   0.4    38   107   322   396   318   404 0.87 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i1:2991-3758|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   1   3       1.5        28    3.1   0.0   100   137     8    45     1    64 0.70 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i1:2991-3758|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   2   3   1.4e-07   2.5e-06   26.2   0.1    36   103    73   141    43   147 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i1:2991-3758|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   3   3   0.00038     0.007   14.9   0.0    38   128   163   254   157   255 0.81 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   1   3       1.5        28    3.1   0.0   100   137     8    45     1    64 0.70 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   2   3   1.4e-07   2.5e-06   26.2   0.1    36   103    73   141    43   147 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   3   3   0.00038     0.007   14.9   0.0    38   128   163   254   157   255 0.81 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i5:2977-3744|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   1   3       1.5        28    3.1   0.0   100   137     8    45     1    64 0.70 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i5:2977-3744|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   2   3   1.4e-07   2.5e-06   26.2   0.1    36   103    73   141    43   147 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i5:2977-3744|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   3   3   0.00038     0.007   14.9   0.0    38   128   163   254   157   255 0.81 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i6:2975-3742|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   1   3       1.5        28    3.1   0.0   100   137     8    45     1    64 0.70 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i6:2975-3742|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   2   3   1.4e-07   2.5e-06   26.2   0.1    36   103    73   141    43   147 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i6:2975-3742|-   -            256 537718at33208        -            243   1.3e-12   46.7   0.7   3   3   0.00038     0.007   14.9   0.0    38   128   163   254   157   255 0.81 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i2:63-1010|+   -            316 537718at33208        -            243   1.8e-12   46.3   1.6   1   2   3.5e-07   6.4e-06   24.9   2.0    54   164     9   134     6   165 0.76 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i2:63-1010|+   -            316 537718at33208        -            243   1.8e-12   46.3   1.6   2   2   6.4e-05    0.0012   17.4   0.0    25    89   191   262   174   292 0.64 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   2.4e-12   45.9   0.2   1   3     8e-06   0.00015   20.4   0.2    61   152     2   103     1   123 0.76 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   2.4e-12   45.9   0.2   2   3     2e-05   0.00036   19.1   0.0    34   111   154   236   136   238 0.85 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   2.4e-12   45.9   0.2   3   3       1.9        35    2.8   0.0   100   126   283   310   267   315 0.64 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   2.6e-12   45.8   0.7   1   3      0.28       5.1    5.5   0.0   107   134    19    46     8    54 0.80 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   2.6e-12   45.8   0.7   2   3   1.7e-06   3.1e-05   22.6   0.0    37   136    69   174    64   198 0.81 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   2.6e-12   45.8   0.7   3   3   0.00059     0.011   14.3   0.1    70   120   230   285   201   293 0.74 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   4.5e-12   45.0   1.6   1   3       1.1        20    3.6   0.0    68   130    65   127    51   137 0.78 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   4.5e-12   45.0   1.6   2   3   6.7e-05    0.0012   17.4   0.0    41   128   203   298   195   303 0.83 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   4.5e-12   45.0   1.6   3   3   1.5e-05   0.00028   19.5   0.2    34   132   490   593   461   640 0.77 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 537718at33208        -            243   8.3e-12   44.1   0.0   1   3       3.8        70    1.8   0.0   112   134    14    36     2    55 0.60 -
