#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249   3.4e-63  212.2   0.4   1   1   1.2e-62   3.4e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   3.6e-09   35.2   0.0   2   5     0.077       2.1    6.5   0.0   175   213    65   103    55   114 0.85 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   3.6e-09   35.2   0.0   3   5      0.09       2.5    6.3   0.0   180   215   165   200   130   209 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   3.6e-09   35.2   0.0   4   5      0.29       7.9    4.6   0.0   182   217   209   244   199   253 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   3.6e-09   35.2   0.0   5   5     0.079       2.2    6.5   0.0   175   202   248   275   241   275 0.87 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i12:5508-6023|-  -            172 581717at33208        -            249   4.6e-09   34.9   0.1   1   3    0.0017     0.046   12.0   0.0   161   211    29    81    16    84 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i12:5508-6023|-  -            172 581717at33208        -            249   4.6e-09   34.9   0.1   2   3     0.021      0.56    8.4   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i12:5508-6023|-  -            172 581717at33208        -            249   4.6e-09   34.9   0.1   3   3   0.00039     0.011   14.1   0.1   171   211   125   165   123   172 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i2:3294-3809|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   1   3    0.0017     0.046   12.0   0.0   161   211    29    81    16    84 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i2:3294-3809|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   2   3     0.021      0.56    8.4   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i2:3294-3809|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   3   3   0.00039     0.011   14.1   0.1   171   211   125   165   123   172 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i8:3276-3791|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   1   3    0.0017     0.046   12.0   0.0   161   211    29    81    16    84 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i8:3276-3791|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   2   3     0.021      0.56    8.4   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i8:3276-3791|-   -            172 581717at33208        -            249   4.6e-09   34.9   0.1   3   3   0.00039     0.011   14.1   0.1   171   211   125   165   123   172 0.90 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i2:238-1176|-  -            313 581717at33208        -            249   5.3e-09   34.7   2.8   1   5       4.1   1.1e+02    0.9   0.0   192   209    63    80    54    84 0.67 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i2:238-1176|-  -            313 581717at33208        -            249   5.3e-09   34.7   2.8   2   5     0.031      0.84    7.8   0.0   173   213    92   132    89   140 0.89 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i2:238-1176|-  -            313 581717at33208        -            249   5.3e-09   34.7   2.8   3   5      0.03      0.81    7.9   0.1   159   212   160   215   154   219 0.79 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i2:238-1176|-  -            313 581717at33208        -            249   5.3e-09   34.7   2.8   4   5    0.0015     0.041   12.1   0.0   172   214   217   259   216   267 0.93 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i2:238-1176|-  -            313 581717at33208        -            249   5.3e-09   34.7   2.8   5   5       2.2        60    1.8   0.1   109   145   270   305   264   311 0.68 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i8:145-873|+     -            243 581717at33208        -            249   5.8e-09   34.6   0.1   1   4    0.0063      0.17   10.1   0.0   176   213     3    40     1    48 0.89 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i8:145-873|+     -            243 581717at33208        -            249   5.8e-09   34.6   0.1   2   4         2        54    1.9   0.0   174   221    43    91    37   103 0.76 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i8:145-873|+     -            243 581717at33208        -            249   5.8e-09   34.6   0.1   3   4    0.0003    0.0082   14.4   0.0   157   213   110   168    81   183 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i8:145-873|+     -            243 581717at33208        -            249   5.8e-09   34.6   0.1   4   4      0.45        12    4.0   0.0   171   205   209   243   185   243 0.78 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i1:379-1419|-   -            347 581717at33208        -            249   6.1e-09   34.5   0.0   1   2     0.085       2.3    6.4   0.0   151   216    53   120    45   133 0.87 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i1:379-1419|-   -            347 581717at33208        -            249   6.1e-09   34.5   0.0   2   2   9.9e-08   2.7e-06   25.8   0.0   121   235   193   322   175   335 0.70 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 581717at33208        -            249   6.1e-09   34.5   1.2   1   3   1.5e-05    0.0004   18.7   0.1   155   212    19    78     2    85 0.77 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 581717at33208        -            249   6.1e-09   34.5   1.2   2   3      0.11         3    6.0   0.0   173   214    81   122    77   126 0.88 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 581717at33208        -            249   6.1e-09   34.5   1.2   3   3     0.014      0.39    8.9   0.0   173   208   123   158   115   158 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i10:3330-3830|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   1   3    0.0014     0.039   12.2   0.0   161   211    29    81    18    86 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i10:3330-3830|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   2   3     0.019      0.53    8.5   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i10:3330-3830|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   3   3   0.00059     0.016   13.5   0.1   171   210   125   164   122   166 0.93 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i13:3312-3812|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   1   3    0.0014     0.039   12.2   0.0   161   211    29    81    18    86 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i13:3312-3812|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   2   3     0.019      0.53    8.5   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i13:3312-3812|-  -            167 581717at33208        -            249   6.6e-09   34.4   0.1   3   3   0.00059     0.016   13.5   0.1   171   210   125   164   122   166 0.93 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249   6.6e-09   34.4   0.1   1   3    0.0014     0.039   12.2   0.0   161   211    29    81    18    86 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249   6.6e-09   34.4   0.1   2   3     0.019      0.53    8.5   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249   6.6e-09   34.4   0.1   3   3   0.00059     0.016   13.5   0.1   171   210   125   164   122   166 0.93 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 581717at33208        -            249   1.2e-08   33.6   0.0   1   2      0.12       3.4    5.9   0.0   151   216    53   120    45   130 0.86 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 581717at33208        -            249   1.2e-08   33.6   0.0   2   2   1.7e-07   4.6e-06   25.1   0.0   121   235   193   322   176   324 0.68 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i3:884-2173|-   -            430 581717at33208        -            249   1.2e-08   33.6   0.0   1   2      0.12       3.4    5.9   0.0   151   216    53   120    45   130 0.86 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i3:884-2173|-   -            430 581717at33208        -            249   1.2e-08   33.6   0.0   2   2   1.5e-07   4.2e-06   25.2   0.1   121   235   193   322   176   348 0.72 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   3.1e-08   32.2   0.0   1   3      0.12       3.2    6.0   0.0   173   224    13    64     6    85 0.80 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   3.1e-08   32.2   0.0   2   3     0.003     0.082   11.2   0.0   165   212    92   138    73   147 0.83 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   3.1e-08   32.2   0.0   3   3     0.007      0.19    9.9   0.0    75   135   162   223   158   302 0.86 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i1:1472-1930|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   1   3      0.16       4.4    5.5   0.1   110   142    39    72    15    80 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i1:1472-1930|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   2   3   0.00021    0.0057   14.9   0.0   172   215    69   112    51   118 0.76 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i1:1472-1930|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   3   3    0.0028     0.076   11.3   0.0   173   210   113   151   111   153 0.88 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i2:2402-2860|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   1   3      0.16       4.4    5.5   0.1   110   142    39    72    15    80 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i2:2402-2860|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   2   3   0.00021    0.0057   14.9   0.0   172   215    69   112    51   118 0.76 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i2:2402-2860|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   3   3    0.0028     0.076   11.3   0.0   173   210   113   151   111   153 0.88 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   1   3      0.16       4.4    5.5   0.1   110   142    39    72    15    80 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   2   3   0.00021    0.0057   14.9   0.0   172   215    69   112    51   118 0.76 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   4.7e-08   31.6   0.1   3   3    0.0028     0.076   11.3   0.0   173   210   113   151   111   153 0.88 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   5.7e-08   31.3   0.0   1   3    0.0032     0.087   11.1   0.0   174   224    41    92    39   111 0.86 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   5.7e-08   31.3   0.0   2   3       2.4        65    1.7   0.0   155   223   157   227   143   235 0.82 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   5.7e-08   31.3   0.0   3   3   0.00061     0.017   13.4   0.0   175   212   279   316   251   323 0.82 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   1   5       2.3        63    1.7   0.0   134   215    93   175    80   188 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   2   5       9.4   2.6e+02   -0.3   0.0   184   215   199   230   195   237 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   3   5       1.1        30    2.7   0.0   176   213   232   269   210   283 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   4   5      0.01      0.28    9.4   0.0   171   207   310   346   295   362 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   5   5    0.0098      0.27    9.5   0.0   170   219   385   434   361   439 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   1   5       2.3        63    1.7   0.0   134   215    93   175    80   188 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   2   5       9.4   2.6e+02   -0.3   0.0   184   215   199   230   195   237 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   3   5       1.1        30    2.7   0.0   176   213   232   269   210   283 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   4   5      0.01      0.28    9.4   0.0   171   207   310   346   295   362 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-   -            468 581717at33208        -            249   8.1e-08   30.8   0.0   5   5    0.0098      0.27    9.5   0.0   170   219   385   434   361   439 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+    -            298 581717at33208        -            249   1.1e-07   30.3   0.0   1   2   5.4e-05    0.0015   16.9   0.0   156   233    93   174    72   185 0.86 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+    -            298 581717at33208        -            249   1.1e-07   30.3   0.0   2   2    0.0021     0.057   11.7   0.0   118   210   173   274   165   283 0.69 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i1:1757-2392|-  -            212 581717at33208        -            249   1.2e-07   30.3   0.0   1   2       1.1        29    2.8   0.0   178   214     2    38     1    47 0.87 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i1:1757-2392|-  -            212 581717at33208        -            249   1.2e-07   30.3   0.0   2   2   2.7e-07   7.3e-06   24.4   0.0   142   231    49   141    37   147 0.76 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 581717at33208        -            249   1.2e-07   30.3   0.0   1   2       1.1        29    2.8   0.0   178   214     2    38     1    47 0.87 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 581717at33208        -            249   1.2e-07   30.3   0.0   2   2   2.7e-07   7.3e-06   24.4   0.0   142   231    49   141    37   147 0.76 -
433216at33208_321398_0:0016ec|TRINITY_DN92485_c10_g1_i3:623-1081|-  -            153 581717at33208        -            249   1.3e-07   30.1   0.9   1   3      0.49        14    3.9   0.0   192   212     7    27     3    31 0.86 -
433216at33208_321398_0:0016ec|TRINITY_DN92485_c10_g1_i3:623-1081|-  -            153 581717at33208        -            249   1.3e-07   30.1   0.9   2   3   4.2e-05    0.0011   17.2   0.0   158   214    13    71     9    77 0.86 -
433216at33208_321398_0:0016ec|TRINITY_DN92485_c10_g1_i3:623-1081|-  -            153 581717at33208        -            249   1.3e-07   30.1   0.9   3   3     0.011      0.31    9.3   0.2   160   209    99   150    82   152 0.80 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 581717at33208        -            249   1.4e-07   30.1   0.0   1   2   6.3e-05    0.0017   16.6   0.0   155   233   112   194    86   200 0.86 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 581717at33208        -            249   1.4e-07   30.1   0.0   2   2     0.003     0.081   11.2   0.0   154   211   236   295   187   304 0.73 -
99987at33208_7574_0:002702|TRINITY_DN77327_c10_g2_i2:145-1293|+     -            383 581717at33208        -            249   1.8e-07   29.7   0.2   1   3      0.86        24    3.1   0.0   181   225     3    48     1    59 0.84 -
99987at33208_7574_0:002702|TRINITY_DN77327_c10_g2_i2:145-1293|+     -            383 581717at33208        -            249   1.8e-07   29.7   0.2   2   3    0.0028     0.077   11.2   0.1   144   210    49   117    34   123 0.76 -
99987at33208_7574_0:002702|TRINITY_DN77327_c10_g2_i2:145-1293|+     -            383 581717at33208        -            249   1.8e-07   29.7   0.2   3   3   0.00075     0.021   13.1   0.0   175   212   124   161   114   168 0.88 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+   -            166 581717at33208        -            249   2.7e-07   29.1   0.2   1   2     0.015      0.42    8.8   0.0   165   212    34    81    10    84 0.81 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+   -            166 581717at33208        -            249   2.7e-07   29.1   0.2   2   2   1.7e-05   0.00045   18.5   0.0   162   211    73   122    69   134 0.91 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+  -            166 581717at33208        -            249   2.7e-07   29.1   0.2   1   2     0.015      0.42    8.8   0.0   165   212    34    81    10    84 0.81 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+  -            166 581717at33208        -            249   2.7e-07   29.1   0.2   2   2   1.7e-05   0.00045   18.5   0.0   162   211    73   122    69   134 0.91 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   4.3e-07   28.5   5.0   1   5     0.001     0.027   12.7   0.1   173   230     2    59     1    62 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   4.3e-07   28.5   5.0   2   5      0.12       3.4    5.8   0.2   173   213    42    80    40    87 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   4.3e-07   28.5   5.0   3   5      0.65        18    3.5   0.1   175   211    84   118    60   125 0.62 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   4.3e-07   28.5   5.0   4   5     0.024      0.65    8.2   0.1   169   219   118   167   111   196 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   4.3e-07   28.5   5.0   5   5       1.4        40    2.4   0.1   109   136   215   241   173   250 0.56 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 581717at33208        -            249   4.4e-07   28.4   0.3   1   3     0.006      0.17   10.1   0.0   174   210    15    51     6    76 0.86 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 581717at33208        -            249   4.4e-07   28.4   0.3   2   3   0.00026    0.0071   14.6   0.1   154   231   159   240   146   246 0.76 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i1:504-1442|-   -            313 581717at33208        -            249   4.4e-07   28.4   0.3   3   3    0.0022      0.06   11.6   0.1    64   137   192   260   185   281 0.85 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   7.9e-07   27.6   0.2   1   4    0.0028     0.077   11.2   0.0    73    90    47    64    28    73 0.78 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   7.9e-07   27.6   0.2   2   4       3.4        93    1.1   0.0   175   215    72   112    65   127 0.80 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   7.9e-07   27.6   0.2   3   4    0.0014     0.037   12.3   0.1   172   228   111   168    90   183 0.80 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   7.9e-07   27.6   0.2   4   4    0.0051      0.14   10.4   0.0   151   228   130   210   122   213 0.78 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   8.9e-07   27.4   0.5   1   4       1.8        49    2.0   0.0   146   177   148   179   135   204 0.73 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   8.9e-07   27.4   0.5   2   4     0.057       1.6    6.9   0.0   154   208   241   298   228   304 0.88 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   8.9e-07   27.4   0.5   3   4       9.5   2.6e+02   -0.3   0.0    74    91   493   510   476   515 0.84 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   8.9e-07   27.4   0.5   4   4    0.0012     0.034   12.4   0.3   123   212   510   593   503   600 0.78 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i2:525-884|+      -            120 581717at33208        -            249   1.4e-06   26.8   0.0   1   3       1.3        37    2.5   0.0   189   211    16    38     1    42 0.53 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i2:525-884|+      -            120 581717at33208        -            249   1.4e-06   26.8   0.0   2   3    0.0074       0.2    9.9   0.0   164   212    33    81    10    84 0.80 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i2:525-884|+      -            120 581717at33208        -            249   1.4e-06   26.8   0.0   3   3   6.2e-05    0.0017   16.7   0.0   162   209    73   120    72   120 0.94 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   1.4e-06   26.8   0.0   1   3       1.3        37    2.5   0.0   189   211    16    38     1    42 0.53 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   1.4e-06   26.8   0.0   2   3    0.0074       0.2    9.9   0.0   164   212    33    81    10    84 0.80 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   1.4e-06   26.8   0.0   3   3   6.2e-05    0.0017   16.7   0.0   162   209    73   120    72   120 0.94 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   1.4e-06   26.7   0.4   1   3     0.007      0.19    9.9   0.0   171   210   185   224   128   249 0.87 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   1.4e-06   26.7   0.4   2   3   0.00053     0.014   13.6   0.1   154   231   332   413   318   419 0.76 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   1.4e-06   26.7   0.4   3   3    0.0038       0.1   10.8   0.1    63   137   364   433   355   454 0.82 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   1.6e-06   26.6   0.2   1   4   0.00014    0.0037   15.5   0.0   108   153    40    85     8    97 0.80 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   1.6e-06   26.6   0.2   2   4       2.1        57    1.8   0.0    75    90    97   112    93   117 0.88 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   1.6e-06   26.6   0.2   3   4       5.1   1.4e+02    0.6   0.0   155   199   139   185   113   186 0.75 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   1.6e-06   26.6   0.2   4   4      0.94        26    3.0   0.0   152   220   231   299   216   310 0.69 -
99987at33208_38123_0:002ffa|TRINITY_DN79765_c9_g1_i7:267-587|+      -            107 581717at33208        -            249   1.7e-06   26.5   0.0   1   2     0.017      0.47    8.7   0.0   172   212    11    51     2    54 0.89 -
99987at33208_38123_0:002ffa|TRINITY_DN79765_c9_g1_i7:267-587|+      -            107 581717at33208        -            249   1.7e-06   26.5   0.0   2   2   8.2e-06   0.00022   19.5   0.0   162   212    43    93    42   105 0.90 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 581717at33208        -            249   1.9e-06   26.4   0.7   1   4     0.057       1.6    6.9   0.0   111   197    18   112    11   119 0.72 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 581717at33208        -            249   1.9e-06   26.4   0.7   2   4       7.9   2.2e+02   -0.1   0.0   173   200   295   322   286   355 0.79 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 581717at33208        -            249   1.9e-06   26.4   0.7   3   4     0.068       1.9    6.7   0.0    76   221   405   471   400   578 0.42 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 581717at33208        -            249   1.9e-06   26.4   0.7   4   4       9.7   2.7e+02   -0.3   0.0   188   218   630   660   618   675 0.71 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   2.2e-06   26.1   0.0   1   5      0.97        27    2.9   0.0   148   199   115   170    60   174 0.59 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   2.2e-06   26.1   0.0   2   5       5.2   1.4e+02    0.5   0.0   181   213   239   271   235   285 0.88 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   2.2e-06   26.1   0.0   3   5      0.87        24    3.1   0.0   168   220   312   364   295   384 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   2.2e-06   26.1   0.0   4   5      0.66        18    3.5   0.0    73   132   458   514   455   522 0.56 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   2.2e-06   26.1   0.0   5   5     0.069       1.9    6.7   0.0   183   222   534   573   526   581 0.85 -
414579at33208_1049336_0:004769|TRINITY_DN79765_c9_g1_i6:300-665|+   -            122 581717at33208        -            249   2.2e-06   26.1   0.2   1   3     0.055       1.5    7.0   0.0   175   212     3    40     1    43 0.90 -
