#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
495100at33208_136037_0:0016f5|TRINITY_DN72801_c16_g1_i1:400-1986|-  -            371 495100at33208        -            231    3e-112  372.4   0.0   1   1    5e-114  4.4e-112  371.9   0.0    13   230    96   319    93   320 0.97 -
371297at33208_54969_0:0031ae|TRINITY_DN75089_c2_g4_i4:123-1046|+    -            308 495100at33208        -            231     0.019   13.2   0.0   1   1   0.00051     0.044   12.0   0.0    69    91    35    57    21    72 0.85 -
503333at33208_2015173_0:000dc9|TRINITY_DN85302_c3_g1_i3:590-1138|+  -            183 495100at33208        -            231      0.02   13.1   0.1   1   1   0.00057      0.05   11.8   0.0    72    90     3    21     1    32 0.86 -
432287at33208_132113_0:00362b|TRINITY_DN92127_c5_g3_i1:1460-2287|-  -            276 495100at33208        -            231     0.033   12.4   0.0   1   1   0.00064     0.056   11.6   0.0    68    91     1    24     1    35 0.87 -
432287at33208_132113_0:00362b|TRINITY_DN92127_c5_g3_i3:1460-2287|-  -            276 495100at33208        -            231     0.033   12.4   0.0   1   1   0.00064     0.056   11.6   0.0    68    91     1    24     1    35 0.87 -
371297at33208_34638_0:0018ab|TRINITY_DN86535_c6_g1_i1:186-878|+     -            231 495100at33208        -            231     0.089   11.0   0.0   1   2    0.0032      0.28    9.3   0.0    69    90    35    56    32    71 0.83 -
371297at33208_34638_0:0018ab|TRINITY_DN86535_c6_g1_i1:186-878|+     -            231 495100at33208        -            231     0.089   11.0   0.0   2   2         9   7.9e+02   -1.9   0.0   142   156   106   120   103   123 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/495100at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/495100at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/495100at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:51 2026
# [ok]
