#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
367551at33208_174628_0:001fdd|TRINITY_DN89438_c2_g1_i2:354-2072|+    -            573 367551at33208        -            388  2.2e-156  519.9   9.9   1   1  5.5e-158  3.6e-156  519.2   9.9     1   375   146   547   146   559 0.93 -
177858at33208_197043_0:00495d|TRINITY_DN91954_c10_g2_i3:264-1247|-   -            328 367551at33208        -            388   4.8e-13   48.0   0.1   1   2    0.0052      0.35    9.0   0.0    35    51     1    17     1    24 0.90 -
177858at33208_197043_0:00495d|TRINITY_DN91954_c10_g2_i3:264-1247|-   -            328 367551at33208        -            388   4.8e-13   48.0   0.1   2   2   1.4e-11   9.5e-10   37.2   0.0    60   142   238   327   231   328 0.77 -
216257at33208_1720309_0:0000af|TRINITY_DN78189_c5_g1_i1:394-1659|+   -            422 367551at33208        -            388   8.8e-12   43.9   0.0   1   2    0.0021      0.14   10.3   0.0    15    49    36    70    24    96 0.86 -
216257at33208_1720309_0:0000af|TRINITY_DN78189_c5_g1_i1:394-1659|+   -            422 367551at33208        -            388   8.8e-12   43.9   0.0   2   2     7e-10   4.7e-08   31.6   0.0   225   328   253   359   214   401 0.86 -
489997at33208_8954_0:0011c7|TRINITY_DN88051_c7_g1_i4:5631-6095|-     -            155 367551at33208        -            388   1.6e-11   43.0   0.4   1   1   3.1e-13   2.1e-11   42.7   0.4   130   272     5   146     2   152 0.88 -
489997at33208_8954_0:0011c7|TRINITY_DN88051_c7_g1_i6:5630-6094|-     -            155 367551at33208        -            388   1.6e-11   43.0   0.4   1   1   3.1e-13   2.1e-11   42.7   0.4   130   272     5   146     2   152 0.88 -
216257at33208_1720309_0:0000af|TRINITY_DN78189_c5_g1_i6:394-1956|+   -            521 367551at33208        -            388   1.7e-11   42.9   0.0   1   2    0.0028      0.18    9.9   0.0    15    49    36    70    24    96 0.86 -
216257at33208_1720309_0:0000af|TRINITY_DN78189_c5_g1_i6:394-1956|+   -            521 367551at33208        -            388   1.7e-11   42.9   0.0   2   2   1.1e-09   7.2e-08   31.0   0.0   225   328   253   359   218   400 0.86 -
367596at33208_45351_0:001c46|TRINITY_DN71431_c6_g8_i1:7-1293|+       -            429 367551at33208        -            388   7.6e-11   40.8   0.5   1   1   2.1e-12   1.4e-10   39.9   0.5   247   353   149   262    86   289 0.83 -
216257at33208_1720309_0:0000af|TRINITY_DN90840_c5_g1_i3:541-1869|-   -            443 367551at33208        -            388   1.9e-07   29.6   0.0   1   1     4e-09   2.7e-07   29.1   0.0   215   337   147   273    96   284 0.82 -
367596at33208_225164_0:003e6f|TRINITY_DN90840_c5_g1_i1:106-885|-     -            260 367551at33208        -            388   4.1e-07   28.5   0.0   1   1   7.7e-09   5.1e-07   28.2   0.0   215   318   147   254    95   259 0.81 -
216257at33208_1720309_0:0041e8|TRINITY_DN87607_c8_g3_i1:119-1147|-   -            343 367551at33208        -            388   2.1e-06   26.2   0.0   1   2       2.9   1.9e+02   -0.0   0.0    24    58    20    51     5    93 0.72 -
216257at33208_1720309_0:0041e8|TRINITY_DN87607_c8_g3_i1:119-1147|-   -            343 367551at33208        -            388   2.1e-06   26.2   0.0   2   2   1.8e-07   1.2e-05   23.7   0.0   202   322   207   333   193   337 0.85 -
216257at33208_1720309_0:0041e8|TRINITY_DN87607_c8_g3_i3:2038-3785|-  -            476 367551at33208        -            388   0.00037   18.8   0.0   1   2       4.9   3.3e+02   -0.8   0.1    24    58    20    51     6    91 0.72 -
216257at33208_1720309_0:0041e8|TRINITY_DN87607_c8_g3_i3:2038-3785|-  -            476 367551at33208        -            388   0.00037   18.8   0.0   2   2   2.4e-05    0.0016   16.7   0.0   203   322   208   333   194   344 0.82 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i1:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   1   2      0.35        23    3.0   0.0    16    50    21    56     9    73 0.85 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i1:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   2   2   0.00024     0.016   13.4   0.0   220   333   247   364   179   379 0.73 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i2:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   1   2      0.35        23    3.0   0.0    16    50    21    56     9    73 0.85 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i2:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   2   2   0.00024     0.016   13.4   0.0   220   333   247   364   179   379 0.73 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i3:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   1   2      0.35        23    3.0   0.0    16    50    21    56     9    73 0.85 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i3:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   2   2   0.00024     0.016   13.4   0.0   220   333   247   364   179   379 0.73 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i6:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   1   2      0.35        23    3.0   0.0    16    50    21    56     9    73 0.85 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i6:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   2   2   0.00024     0.016   13.4   0.0   220   333   247   364   179   379 0.73 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i7:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   1   2      0.35        23    3.0   0.0    16    50    21    56     9    73 0.85 -
216257at33208_1720309_0:0000af|TRINITY_DN88382_c12_g1_i7:7-1311|+    -            435 367551at33208        -            388   0.00043   18.6   0.0   2   2   0.00024     0.016   13.4   0.0   220   333   247   364   179   379 0.73 -
367596at33208_407821_0:001fe9|TRINITY_DN83480_c11_g1_i10:3438-3629|+ -             64 367551at33208        -            388    0.0052   15.0   0.0   1   1   7.9e-05    0.0052   15.0   0.0    17    49     8    40     1    58 0.90 -
367596at33208_407821_0:001fe9|TRINITY_DN83480_c11_g1_i11:3295-3486|+ -             64 367551at33208        -            388    0.0052   15.0   0.0   1   1   7.9e-05    0.0052   15.0   0.0    17    49     8    40     1    58 0.90 -
367596at33208_407821_0:001fe9|TRINITY_DN83480_c11_g1_i4:3292-3483|+  -             64 367551at33208        -            388    0.0052   15.0   0.0   1   1   7.9e-05    0.0052   15.0   0.0    17    49     8    40     1    58 0.90 -
367596at33208_407821_0:001fe9|TRINITY_DN83480_c11_g1_i5:3448-3639|+  -             64 367551at33208        -            388    0.0052   15.0   0.0   1   1   7.9e-05    0.0052   15.0   0.0    17    49     8    40     1    58 0.90 -
367596at33208_407821_0:001fe9|TRINITY_DN83480_c11_g1_i6:3594-3785|+  -             64 367551at33208        -            388    0.0052   15.0   0.0   1   1   7.9e-05    0.0052   15.0   0.0    17    49     8    40     1    58 0.90 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i11:1482-2660|+    -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i11:1482-2660|+    -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i13:1482-2660|+    -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i13:1482-2660|+    -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i1:1482-2660|+     -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i1:1482-2660|+     -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i2:1482-2660|+     -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i2:1482-2660|+     -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i4:1656-2834|+     -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i4:1656-2834|+     -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i7:1656-2834|+     -            393 367551at33208        -            388     0.023   12.9   0.1   1   2   0.00034     0.023   12.9   0.1     5    53     7    56     4   154 0.80 -
323399at33208_7998_0:003c59|TRINITY_DN93260_c8_g1_i7:1656-2834|+     -            393 367551at33208        -            388     0.023   12.9   0.1   2   2         9     6e+02   -1.7   0.0   239   293   305   362   294   366 0.71 -
212972at33208_294128_0:002867|TRINITY_DN87057_c5_g1_i4:198-1841|+    -            548 367551at33208        -            388     0.044   12.0   0.1   1   2     0.053       3.5    5.7   0.0   106   146   284   330   271   349 0.70 -
212972at33208_294128_0:002867|TRINITY_DN87057_c5_g1_i4:198-1841|+    -            548 367551at33208        -            388     0.044   12.0   0.1   2   2      0.19        13    3.9   0.0   156   186   368   398   364   411 0.83 -
367596at33208_8030_0:009f78|TRINITY_DN78189_c5_g1_i3:129-389|+       -             87 367551at33208        -            388     0.049   11.8   0.0   1   1   0.00083     0.055   11.6   0.0   271   320    25    74    21    84 0.87 -
212972at33208_294128_0:002867|TRINITY_DN87057_c5_g1_i1:198-1976|+    -            593 367551at33208        -            388     0.053   11.7   0.1   1   2     0.058       3.9    5.5   0.0   106   146   284   330   271   349 0.70 -
212972at33208_294128_0:002867|TRINITY_DN87057_c5_g1_i1:198-1976|+    -            593 367551at33208        -            388     0.053   11.7   0.1   2   2      0.21        14    3.7   0.0   156   186   368   398   364   411 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/367551at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/367551at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/367551at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:51 2026
# [ok]
