#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 302279at33208        -            304  5.1e-144  476.4   1.3   1   1  1.7e-142  7.3e-141  466.0   1.3     1   304     1   352     1   352 0.89 -
327301at33208_57068_0:00114f|TRINITY_DN93656_c5_g4_i7:173-481|+     -            103 302279at33208        -            304   0.00075   16.1   0.0   1   1     2e-05   0.00086   15.9   0.0   127   185    41    96    13   102 0.82 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 302279at33208        -            304   0.00081   16.0   5.0   1   5     0.025       1.1    5.7   0.1    98   115    20    37    17    52 0.84 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 302279at33208        -            304   0.00081   16.0   5.0   2   5     0.078       3.4    4.1   0.0    83   126    47    89    38   103 0.78 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 302279at33208        -            304   0.00081   16.0   5.0   3   5       2.3     1e+02   -0.7   0.0    97   112   103   118    91   133 0.78 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 302279at33208        -            304   0.00081   16.0   5.0   4   5     0.035       1.5    5.2   0.5    97   149   145   196   133   204 0.83 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 302279at33208        -            304   0.00081   16.0   5.0   5   5       1.6        72   -0.3   0.1    92   109   202   219   168   220 0.51 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 302279at33208        -            304   0.00092   15.8   0.4   1   3      0.22       9.7    2.6   0.1    85   131    41    87    26    95 0.77 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 302279at33208        -            304   0.00092   15.8   0.4   2   3       2.1        93   -0.6   0.0    95   113    94   112    67   132 0.79 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 302279at33208        -            304   0.00092   15.8   0.4   3   3    0.0043      0.19    8.2   0.0    69   116   193   243   183   261 0.67 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 302279at33208        -            304   0.00093   15.8   2.4   1   2   0.00016    0.0068   13.0   1.7    99   298   280   479   271   485 0.76 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 302279at33208        -            304   0.00093   15.8   2.4   2   2    0.0094      0.41    7.1   0.1    90   118   458   486   440   535 0.70 -
409006at33208_74940_0:008ba7|TRINITY_DN88016_c0_g6_i1:688-1092|+    -            135 302279at33208        -            304   0.00094   15.8   0.2   1   2     0.024       1.1    5.8   0.0    93   127    22    59     1    68 0.60 -
409006at33208_74940_0:008ba7|TRINITY_DN88016_c0_g6_i1:688-1092|+    -            135 302279at33208        -            304   0.00094   15.8   0.2   2   2    0.0022     0.095    9.2   0.1   230   297    65   132    57   135 0.89 -
398013at33208_6334_0:0020e8|TRINITY_DN82725_c2_g1_i6:265-1095|+     -            277 302279at33208        -            304    0.0012   15.5   0.2   1   2    0.0002    0.0088   12.6   0.1   147   251    40   142    13   154 0.80 -
398013at33208_6334_0:0020e8|TRINITY_DN82725_c2_g1_i6:265-1095|+     -            277 302279at33208        -            304    0.0012   15.5   0.2   2   2       1.1        50    0.3   0.0    98   115   180   197   154   262 0.62 -
409006at33208_294128_0:0021a6|TRINITY_DN90607_c6_g1_i9:1809-2948|+  -            380 302279at33208        -            304    0.0013   15.3   0.9   1   2      0.38        17    1.8   0.1   109   169   160   221   145   239 0.67 -
409006at33208_294128_0:0021a6|TRINITY_DN90607_c6_g1_i9:1809-2948|+  -            380 302279at33208        -            304    0.0013   15.3   0.9   2   2   0.00052     0.023   11.2   0.1    98   142   243   285   237   295 0.89 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 302279at33208        -            304    0.0015   15.1   0.0   1   3       3.5   1.5e+02   -1.3   0.0   233   281    54   104    48   116 0.74 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 302279at33208        -            304    0.0015   15.1   0.0   2   3       5.8   2.5e+02   -2.0   0.0    85   116   169   200   163   208 0.65 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 302279at33208        -            304    0.0015   15.1   0.0   3   3   0.00048     0.021   11.3   0.0    76   114   430   467   412   564 0.83 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-  -            289 302279at33208        -            304     0.002   14.7   0.3   1   2       1.2        54    0.2   0.0   101   208     3    17     1    58 0.62 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-  -            289 302279at33208        -            304     0.002   14.7   0.3   2   2   0.00033     0.014   11.9   0.1   105   205    98   194    86   216 0.76 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 302279at33208        -            304     0.002   14.7   0.6   1   3      0.39        17    1.8   0.0    94   112    14    32     3    45 0.82 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 302279at33208        -            304     0.002   14.7   0.6   2   3     0.021      0.92    6.0   0.0   197   254    66   120    54   152 0.72 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 302279at33208        -            304     0.002   14.7   0.6   3   3      0.21       9.1    2.7   0.1    84   110   189   215   143   216 0.65 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 302279at33208        -            304    0.0025   14.4   0.2   1   3      0.02      0.87    6.0   0.0   147   163    37    53    26    96 0.78 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 302279at33208        -            304    0.0025   14.4   0.2   2   3      0.29        13    2.2   0.0    89   115   127   154   110   172 0.66 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 302279at33208        -            304    0.0025   14.4   0.2   3   3     0.034       1.5    5.3   0.0    64   116   142   196   130   202 0.75 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 302279at33208        -            304    0.0027   14.3   0.4   1   3      0.42        18    1.7   0.0    92   117   237   262   212   273 0.81 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 302279at33208        -            304    0.0027   14.3   0.4   2   3    0.0097      0.42    7.1   0.0    77   110   264   298   244   307 0.80 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 302279at33208        -            304    0.0027   14.3   0.4   3   3      0.54        23    1.3   0.0   144   208   491   552   486   590 0.76 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 302279at33208        -            304    0.0027   14.2   1.5   1   4       1.6        69   -0.2   0.0    98   117     8    27     3    44 0.77 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 302279at33208        -            304    0.0027   14.2   1.5   2   4       2.2        94   -0.7   0.0    91   116    82   107    67   122 0.77 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 302279at33208        -            304    0.0027   14.2   1.5   3   4     0.043       1.9    5.0   0.1    99   114   131   146   126   161 0.77 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 302279at33208        -            304    0.0027   14.2   1.5   4   4     0.045         2    4.9   0.0    94   117   218   242   191   252 0.68 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 302279at33208        -            304    0.0032   14.0   0.0   1   1   0.00018    0.0079   12.7   0.0    94   165    17    87    11   132 0.75 -
472352at33208_378494_0:003283|TRINITY_DN75137_c7_g5_i1:800-1183|-   -            128 302279at33208        -            304    0.0037   13.8   0.0   1   2    0.0018     0.079    9.5   0.0    98   125    11    38     3    41 0.86 -
472352at33208_378494_0:003283|TRINITY_DN75137_c7_g5_i1:800-1183|-   -            128 302279at33208        -            304    0.0037   13.8   0.0   2   2      0.37        16    1.9   0.0    94   119    50    76    40    97 0.65 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 302279at33208        -            304    0.0042   13.6   1.6   1   3     0.037       1.6    5.2   0.1    95   114    70    89    51    99 0.81 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 302279at33208        -            304    0.0042   13.6   1.6   2   3       1.2        52    0.2   0.0     4    36   138   170   135   263 0.79 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 302279at33208        -            304    0.0042   13.6   1.6   3   3     0.093       4.1    3.8   0.0    98   132   289   322   276   328 0.82 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 302279at33208        -            304    0.0078   12.7   0.0   1   3       9.5   4.1e+02   -2.8   0.0    99   112    34    47    23    53 0.76 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 302279at33208        -            304    0.0078   12.7   0.0   2   3      0.11       4.7    3.6   0.0    83   162    71   146    66   166 0.74 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 302279at33208        -            304    0.0078   12.7   0.0   3   3     0.021       0.9    6.0   0.0    78   130   203   254   192   268 0.82 -
365323at33208_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+    -            137 302279at33208        -            304     0.014   12.0   2.1   1   2    0.0012     0.053   10.0   1.0    96   138    21    63     5    78 0.84 -
365323at33208_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+    -            137 302279at33208        -            304     0.014   12.0   2.1   2   2      0.75        32    0.9   0.0    97   110   123   136    94   137 0.67 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 302279at33208        -            304     0.019   11.5   0.5   1   4       3.5   1.5e+02   -1.3   0.0    98   126    20    47    11    62 0.66 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 302279at33208        -            304     0.019   11.5   0.5   2   4       1.1        49    0.3   0.0    98   133    62    96    50   118 0.72 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 302279at33208        -            304     0.019   11.5   0.5   3   4         2        87   -0.5   0.0    96   118   102   124    81   137 0.74 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 302279at33208        -            304     0.019   11.5   0.5   4   4    0.0063      0.28    7.7   0.1    82   113   130   161   102   198 0.77 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 302279at33208        -            304      0.02   11.4   2.1   1   2       1.3        57    0.1   0.0   283   297    64    78     9    87 0.67 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 302279at33208        -            304      0.02   11.4   2.1   2   2    0.0029      0.12    8.8   0.3    85   111   143   169   129   170 0.81 -
399439at33208_294128_0:002695|TRINITY_DN89960_c7_g3_i3:953-2008|-   -            352 302279at33208        -            304     0.021   11.3   0.0   1   1   0.00089     0.039   10.5   0.0   222   254   145   177   119   198 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/302279at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/302279at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/302279at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
