#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 266808at33208        -            354  6.4e-167  552.2   0.9   1   1  1.3e-165  2.8e-164  543.5   0.9     2   354     4   418     3   418 0.90 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 266808at33208        -            354   3.3e-13   46.6   0.4   1   3   0.00017    0.0036   13.6   0.1   193   269    10    84     2   112 0.78 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 266808at33208        -            354   3.3e-13   46.6   0.4   2   3   1.1e-07   2.5e-06   24.0   0.0   193   272   147   224   134   233 0.88 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 266808at33208        -            354   3.3e-13   46.6   0.4   3   3     0.066       1.4    5.0   0.0   193   215   289   311   268   318 0.85 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 266808at33208        -            354   4.4e-13   46.2   0.0   1   2   2.9e-11   6.3e-10   35.8   0.0    71   216     6   164     2   174 0.75 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 266808at33208        -            354   4.4e-13   46.2   0.0   2   2    0.0072      0.16    8.2   0.0   193   260   198   264   190   265 0.49 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 266808at33208        -            354   4.7e-13   46.1   0.1   1   2   2.1e-11   4.5e-10   36.3   0.0   150   274     7   134     3   136 0.86 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 266808at33208        -            354   4.7e-13   46.1   0.1   2   2   0.00078     0.017   11.4   0.1   101   138   127   165   123   166 0.82 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 266808at33208        -            354   5.8e-13   45.8   0.1   1   3   1.3e-06   2.8e-05   20.5   0.0   102   216     2   118     1   121 0.83 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 266808at33208        -            354   5.8e-13   45.8   0.1   2   3   6.7e-05    0.0015   14.9   0.0   152   225   157   237   148   254 0.74 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 266808at33208        -            354   5.8e-13   45.8   0.1   3   3     0.043      0.93    5.7   0.0   101   347   272   303   259   306 0.59 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 266808at33208        -            354   7.1e-13   45.5   0.5   1   2     1e-11   2.2e-10   37.3   0.1   192   263   169   243   158   247 0.85 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 266808at33208        -            354   7.1e-13   45.5   0.5   2   2     0.025      0.54    6.4   0.0    96   138   245   289   243   337 0.81 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 266808at33208        -            354   2.5e-12   43.7   1.9   1   3     0.096       2.1    4.5   0.0   197   224     1    28     1    42 0.73 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 266808at33208        -            354   2.5e-12   43.7   1.9   2   3   4.4e-08   9.6e-07   25.3   0.2   168   270    48   152    36   162 0.76 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 266808at33208        -            354   2.5e-12   43.7   1.9   3   3   0.00049     0.011   12.1   0.0   152   226   165   245   155   265 0.71 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+      -            120 266808at33208        -            354   2.9e-12   43.5   0.1   1   2     1e-06   2.2e-05   20.9   0.0   235   274    10    49     5    53 0.91 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+      -            120 266808at33208        -            354   2.9e-12   43.5   0.1   2   2   1.8e-06   3.9e-05   20.1   0.0   195   261    56   120    49   120 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+      -            263 266808at33208        -            354   4.3e-12   43.0   1.0   1   3   8.9e-08   1.9e-06   24.4   0.1   199   274    26   102    19   108 0.78 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+      -            263 266808at33208        -            354   4.3e-12   43.0   1.0   2   3   7.5e-08   1.6e-06   24.6   0.1   199   351    71   219    66   222 0.79 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+      -            263 266808at33208        -            354   4.3e-12   43.0   1.0   3   3       4.5        97   -1.0   0.0    99   134   225   262   220   263 0.82 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+      -            235 266808at33208        -            354   4.8e-12   42.8   0.0   1   1   2.6e-13   5.7e-12   42.5   0.0   107   312     3   220     1   235 0.70 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 266808at33208        -            354   6.7e-12   42.3   0.4   1   1   2.4e-12   5.2e-11   39.4   0.5   107   266    32   195    29   200 0.82 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 266808at33208        -            354   1.2e-11   41.5   0.3   1   4     0.049       1.1    5.5   0.0    49    86     9    46     3    62 0.73 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 266808at33208        -            354   1.2e-11   41.5   0.3   2   4   0.00094      0.02   11.1   0.2   234   271   115   151   107   153 0.85 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 266808at33208        -            354   1.2e-11   41.5   0.3   3   4   9.8e-07   2.1e-05   20.9   0.0   166   265   127   231   127   253 0.79 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 266808at33208        -            354   1.2e-11   41.5   0.3   4   4     0.016      0.35    7.1   0.0   164   216   261   320   234   322 0.52 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+       -            285 266808at33208        -            354   1.4e-11   41.3   0.1   1   2   2.7e-09   5.8e-08   29.4   0.0   197   273     3    77     1    95 0.88 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+       -            285 266808at33208        -            354   1.4e-11   41.3   0.1   2   2    0.0092       0.2    7.9   0.0   149   183   165   199   122   207 0.80 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+      -            738 266808at33208        -            354   1.5e-11   41.2   0.6   1   4       1.5        33    0.6   0.0   285   318    40    73    27    78 0.87 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+      -            738 266808at33208        -            354   1.5e-11   41.2   0.6   2   4   9.8e-12   2.1e-10   37.4   0.0   105   262    77   243    65   252 0.79 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+      -            738 266808at33208        -            354   1.5e-11   41.2   0.6   3   4       0.2       4.3    3.5   0.0   192   257   214   281   196   283 0.71 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+      -            738 266808at33208        -            354   1.5e-11   41.2   0.6   4   4       7.1   1.5e+02   -1.6   0.0   258   287   636   666   633   669 0.82 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-       -            413 266808at33208        -            354   4.1e-11   39.7   0.1   1   3    0.0026     0.056    9.7   0.0   192   262    22    89    11   106 0.87 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-       -            413 266808at33208        -            354   4.1e-11   39.7   0.1   2   3   6.2e-08   1.4e-06   24.9   0.0   105   269   140   309   133   315 0.79 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-       -            413 266808at33208        -            354   4.1e-11   39.7   0.1   3   3       1.9        42    0.2   0.1   203   258   354   411   342   413 0.51 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 266808at33208        -            354     6e-11   39.2   0.3   1   2   0.00011    0.0023   14.2   0.0   101   179    50   131    37   175 0.67 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 266808at33208        -            354     6e-11   39.2   0.3   2   2   3.5e-06   7.5e-05   19.1   0.4   153   272   189   313   182   318 0.77 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 266808at33208        -            354   7.4e-11   38.9   0.0   1   3    0.0073      0.16    8.2   0.0   203   254     4    54     1    68 0.78 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 266808at33208        -            354   7.4e-11   38.9   0.0   2   3   0.00034    0.0073   12.6   0.0   104   140    71   109    42   123 0.73 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 266808at33208        -            354   7.4e-11   38.9   0.0   3   3   5.1e-05    0.0011   15.3   0.0   230   303   137   210   128   231 0.85 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 266808at33208        -            354   8.2e-11   38.7   3.8   1   3   0.00038    0.0083   12.4   0.2   216   277   137   197   113   219 0.77 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 266808at33208        -            354   8.2e-11   38.7   3.8   2   3      0.38       8.3    2.5   0.0   154   183   197   226   193   244 0.65 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 266808at33208        -            354   8.2e-11   38.7   3.8   3   3   3.3e-07   7.1e-06   22.5   0.3   100   186   310   395   288   483 0.49 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 266808at33208        -            354   1.1e-10   38.3   3.2   1   3   1.1e-06   2.4e-05   20.7   0.8   190   268   196   272   137   287 0.86 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 266808at33208        -            354   1.1e-10   38.3   3.2   2   3   3.7e-05    0.0008   15.8   0.1   175   266   302   402   289   406 0.72 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 266808at33208        -            354   1.1e-10   38.3   3.2   3   3     0.023       0.5    6.5   0.0   121   181   382   446   380   453 0.67 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 266808at33208        -            354   1.4e-10   38.0   0.3   1   2   4.3e-08   9.4e-07   25.4   0.1   192   266    12    87     2   126 0.80 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 266808at33208        -            354   1.4e-10   38.0   0.3   2   2   2.5e-05   0.00054   16.3   0.1   124   346    70   312    69   317 0.74 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 266808at33208        -            354   1.4e-10   38.0   0.1   1   1   1.3e-09   2.9e-08   30.4   0.0   156   261    22   132    21   139 0.77 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-     -            153 266808at33208        -            354   1.4e-10   37.9   0.5   1   1   1.4e-11     3e-10   36.9   0.3   121   217    49   150    39   153 0.79 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+       -            280 266808at33208        -            354   1.7e-10   37.7   0.0   1   2   3.8e-10   8.2e-09   32.2   0.0   103   292    12   209     5   215 0.73 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+       -            280 266808at33208        -            354   1.7e-10   37.7   0.0   2   2      0.15       3.2    3.9   0.1   197   263   205   274   196   278 0.74 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+      -            729 266808at33208        -            354   1.8e-10   37.6   1.3   1   5    0.0017     0.038   10.2   0.0   188   309     8   136     1   147 0.79 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+      -            729 266808at33208        -            354   1.8e-10   37.6   1.3   2   5    0.0082      0.18    8.0   0.0    91   139   186   238   175   270 0.77 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+      -            729 266808at33208        -            354   1.8e-10   37.6   1.3   3   5      0.04      0.88    5.8   0.0   196   259   357   420   352   437 0.88 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+      -            729 266808at33208        -            354   1.8e-10   37.6   1.3   4   5      0.01      0.22    7.7   0.1   205   257   586   636   573   668 0.80 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+      -            729 266808at33208        -            354   1.8e-10   37.6   1.3   5   5       2.7        58   -0.2   0.0   194   218   669   693   642   729 0.64 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+      -            273 266808at33208        -            354     2e-10   37.5   0.0   1   2   1.6e-07   3.5e-06   23.5   0.0   193   267     9    84     3    96 0.82 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+      -            273 266808at33208        -            354     2e-10   37.5   0.0   2   2   0.00042    0.0092   12.3   0.0    97   185    80   181    72   212 0.69 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+     -            170 266808at33208        -            354     2e-10   37.4   0.0   1   2    0.0022     0.047    9.9   0.0   239   264     2    27     1    37 0.78 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+     -            170 266808at33208        -            354     2e-10   37.4   0.0   2   2     3e-08   6.6e-07   25.9   0.0   105   216    46   168    29   170 0.75 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 266808at33208        -            354   2.2e-10   37.3   1.8   1   1   1.7e-11   3.7e-10   36.6   1.2   190   351    45   201    24   201 0.81 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+    -            212 266808at33208        -            354   3.5e-10   36.7   0.1   1   2   3.3e-06   7.2e-05   19.2   0.0   159   262    11   119     6   128 0.54 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+    -            212 266808at33208        -            354   3.5e-10   36.7   0.1   2   2   9.3e-05     0.002   14.4   0.0    61    89   134   162   130   177 0.89 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-      -            138 266808at33208        -            354   2.2e-09   34.1   2.1   1   2   4.9e-07   1.1e-05   21.9   0.7   207   268     1    63     1    72 0.82 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-      -            138 266808at33208        -            354   2.2e-09   34.1   2.1   2   2   0.00048      0.01   12.1   0.0   193   261    74   138    63   138 0.82 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+    -             94 266808at33208        -            354   2.2e-09   34.0   0.1   1   1   1.2e-10   2.7e-09   33.8   0.1   190   258    21    87    13    92 0.91 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+   -            173 266808at33208        -            354   2.6e-09   33.8   0.3   1   1   6.3e-10   1.4e-08   31.4   0.3   193   351    18   171     8   173 0.85 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+     -            268 266808at33208        -            354   3.1e-09   33.6   0.0   1   2   6.4e-05    0.0014   15.0   0.0   198   262    55   117    34   129 0.77 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+     -            268 266808at33208        -            354   3.1e-09   33.6   0.0   2   2   1.9e-05   0.00041   16.7   0.0   104   184   126   212   118   259 0.71 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 266808at33208        -            354   5.9e-09   32.6   0.1   1   2     0.036      0.78    5.9   0.0   320   351     6    36     1    38 0.86 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 266808at33208        -            354   5.9e-09   32.6   0.1   2   2   4.6e-07     1e-05   22.0   0.1    42   260    43   254    39   255 0.77 -
266808at33208_378494_0:0019ed|TRINITY_DN88294_c4_g1_i9:2014-2472|+    -            153 266808at33208        -            354   1.1e-08   31.7   0.0   1   1   2.9e-08   6.4e-07   25.9   0.0   151   270     1   146     1   152 0.70 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+     -            340 266808at33208        -            354   1.7e-08   31.1   3.9   1   3   1.1e-09   2.5e-08   30.6   0.4   153   266     7   125     1   140 0.77 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+     -            340 266808at33208        -            354   1.7e-08   31.1   3.9   2   3       7.3   1.6e+02   -1.7   0.1   239   260   260   281   233   293 0.58 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+     -            340 266808at33208        -            354   1.7e-08   31.1   3.9   3   3       1.9        42    0.2   0.0   338   351   323   336   318   339 0.59 -
463071at33208_7004_0:0032c5|TRINITY_DN92597_c11_g2_i5:1344-2603|-     -            420 266808at33208        -            354   1.8e-08   31.0   0.0   1   2   1.3e-05   0.00028   17.3   0.1   151   261   206   319   185   324 0.74 -
463071at33208_7004_0:0032c5|TRINITY_DN92597_c11_g2_i5:1344-2603|-     -            420 266808at33208        -            354   1.8e-08   31.0   0.0   2   2     1e-05   0.00022   17.6   0.0    66   183   298   416   295   420 0.82 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 266808at33208        -            354     2e-08   30.9   0.3   1   4   3.5e-05   0.00076   15.8   0.0   154   217    20    87     8   101 0.75 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 266808at33208        -            354     2e-08   30.9   0.3   2   4       5.3   1.2e+02   -1.2   0.0   106   144    96   134    93   167 0.49 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 266808at33208        -            354     2e-08   30.9   0.3   3   4       1.1        24    1.0   0.0   157   217   232   296   199   312 0.75 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 266808at33208        -            354     2e-08   30.9   0.3   4   4    0.0064      0.14    8.4   0.0   153   205   462   515   454   539 0.83 -
357580at33208_29159_0:0010fb|TRINITY_DN80976_c6_g1_i4:627-1184|+      -            186 266808at33208        -            354   3.7e-08   30.0   0.5   1   2   7.4e-07   1.6e-05   21.3   0.1   137   246     4   122     1   152 0.67 -
357580at33208_29159_0:0010fb|TRINITY_DN80976_c6_g1_i4:627-1184|+      -            186 266808at33208        -            354   3.7e-08   30.0   0.5   2   2     0.011      0.25    7.5   0.0   107   137   154   186   143   186 0.86 -
304388at33208_48498_0:001761|TRINITY_DN88016_c0_g6_i1:100-951|+       -            284 266808at33208        -            354   3.8e-08   30.0   0.1   1   1   2.4e-09   5.3e-08   29.5   0.1   200   351   129   282    77   283 0.80 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 266808at33208        -            354   4.4e-08   29.7   0.0   1   2     0.031      0.68    6.1   0.0    80   262    31    88    19   110 0.50 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 266808at33208        -            354   4.4e-08   29.7   0.0   2   2   3.1e-08   6.7e-07   25.9   0.0    56   192    56   201    54   214 0.76 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-     -            144 266808at33208        -            354   6.1e-08   29.3   0.0   1   1     3e-09   6.5e-08   29.2   0.0   110   218    18   136     3   144 0.80 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+     -            212 266808at33208        -            354   6.1e-08   29.3   1.3   1   1   1.2e-08   2.6e-07   27.2   1.3    84   260    30   212     1   212 0.73 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 266808at33208        -            354   6.1e-08   29.3   0.0   1   3      0.27       5.9    3.0   0.0   113   195     7    95     4   119 0.78 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 266808at33208        -            354   6.1e-08   29.3   0.0   2   3      0.22       4.9    3.3   0.0   194   218   158   182   145   199 0.68 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 266808at33208        -            354   6.1e-08   29.3   0.0   3   3   3.7e-06   8.1e-05   19.0   0.0    71   145   212   291   206   323 0.81 -
357580at33208_29058_0:002adb|TRINITY_DN89507_c4_g1_i7:487-1092|+      -            202 266808at33208        -            354     9e-08   28.7   0.1   1   1   7.2e-09   1.6e-07   27.9   0.1   160   238    14    97     7   102 0.67 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+    -            303 266808at33208        -            354   1.1e-07   28.5   0.3   1   1   1.1e-08   2.5e-07   27.3   0.3   185   265    89   172    38   180 0.77 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-      -            415 266808at33208        -            354   1.4e-07   28.1   0.1   1   2   2.8e-08   6.1e-07   26.0   0.0   167   269   142   251    98   263 0.81 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-      -            415 266808at33208        -            354   1.4e-07   28.1   0.1   2   2       3.3        72   -0.5   0.0   222   260   377   414   326   415 0.65 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+        -            212 266808at33208        -            354   1.4e-07   28.1   0.0   1   1   1.4e-08   3.1e-07   27.0   0.0   120   251    19   160     1   174 0.55 -
357580at33208_10224_0:003fda|TRINITY_DN86602_c12_g1_i1:21-593|-       -            191 266808at33208        -            354   5.5e-07   26.2   1.6   1   2     0.044      0.96    5.6   0.0   321   351    44    74    27    76 0.85 -
357580at33208_10224_0:003fda|TRINITY_DN86602_c12_g1_i1:21-593|-       -            191 266808at33208        -            354   5.5e-07   26.2   1.6   2   2     2e-06   4.4e-05   19.9   0.4   202   263   129   188    85   191 0.74 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-    -            179 266808at33208        -            354     7e-07   25.8   0.0   1   1   4.5e-08   9.8e-07   25.3   0.0   156   262    68   178    60   179 0.83 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-        -            693 266808at33208        -            354   1.1e-06   25.1   0.9   1   4   0.00047      0.01   12.1   0.1   174   342    27   204    13   215 0.62 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-        -            693 266808at33208        -            354   1.1e-06   25.1   0.9   2   4       0.2       4.4    3.4   0.0   193   264   190   261   163   267 0.87 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-        -            693 266808at33208        -            354   1.1e-06   25.1   0.9   3   4       6.9   1.5e+02   -1.6   0.1   167   278   335   365   277   388 0.60 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-        -            693 266808at33208        -            354   1.1e-06   25.1   0.9   4   4     0.027      0.58    6.3   0.0   333   351   445   463   419   476 0.63 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+    -            214 266808at33208        -            354   1.2e-06   25.0   0.1   1   2   0.00098     0.021   11.1   0.0   164   228    34   106    23   112 0.68 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+    -            214 266808at33208        -            354   1.2e-06   25.0   0.1   2   2   0.00059     0.013   11.8   0.0   188   274   120   204   114   208 0.81 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-      -            307 266808at33208        -            354   2.1e-06   24.2   0.1   1   4      0.27       5.9    3.0   0.0   246   263    69    86     7   107 0.73 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-      -            307 266808at33208        -            354   2.1e-06   24.2   0.1   2   4      0.26       5.6    3.1   0.0   246   265    69    88    51   142 0.68 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-      -            307 266808at33208        -            354   2.1e-06   24.2   0.1   3   4    0.0099      0.22    7.8   0.0    97   130   139   174   122   182 0.72 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-      -            307 266808at33208        -            354   2.1e-06   24.2   0.1   4   4     0.005      0.11    8.7   0.0   103   140   222   261   209   273 0.79 -
537718at33208_7962_0:005b25|TRINITY_DN81366_c9_g1_i8:925-1275|-       -            117 266808at33208        -            354   2.4e-06   24.0   0.2   1   1   1.2e-07   2.7e-06   23.9   0.2   193   271     6    85     1   115 0.79 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-    -            606 266808at33208        -            354     3e-06   23.7   0.4   1   1   3.1e-07   6.8e-06   22.6   0.3    81   186    22   127    15   212 0.85 -
537718at33208_127582_0:0047f0|TRINITY_DN84623_c10_g1_i1:4243-4635|+   -            131 266808at33208        -            354   3.3e-06   23.6   0.4   1   2      0.54        12    2.0   0.0   108   141     2    34     1    43 0.75 -
537718at33208_127582_0:0047f0|TRINITY_DN84623_c10_g1_i1:4243-4635|+   -            131 266808at33208        -            354   3.3e-06   23.6   0.4   2   2   2.1e-06   4.5e-05   19.9   0.2   203   261    73   127    66   130 0.87 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-    -            289 266808at33208        -            354   8.3e-06   22.3   1.0   1   2    0.0078      0.17    8.1   0.0   206   264     2    58     1   111 0.87 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-    -            289 266808at33208        -            354   8.3e-06   22.3   1.0   2   2   0.00022    0.0048   13.2   0.2   131   262   147   287   126   289 0.72 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-      -            196 266808at33208        -            354     1e-05   21.9   0.1   1   1   5.8e-07   1.3e-05   21.7   0.1   107   254    33   193    23   196 0.71 -
419914at33208_51655_0:000fd6|TRINITY_DN91534_c7_g1_i7:328-1056|+      -            243 266808at33208        -            354   1.4e-05   21.6   0.0   1   1   1.2e-06   2.6e-05   20.6   0.0   192   278    31   122    23   139 0.76 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-     -            220 266808at33208        -            354   1.5e-05   21.5   0.0   1   2       0.4       8.7    2.5   0.0   246   262    23    39     9    53 0.85 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-     -            220 266808at33208        -            354   1.5e-05   21.5   0.0   2   2   1.8e-05    0.0004   16.7   0.0   101   221    69   191    63   199 0.78 -
398013at33208_6334_0:0020e8|TRINITY_DN82725_c2_g1_i6:265-1095|+       -            277 266808at33208        -            354   1.9e-05   21.1   0.3   1   3   0.00031    0.0068   12.7   0.1   118   218    35   144    12   158 0.72 -
