#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 398013at33208        -            280    9e-155  511.2   0.3   1   1  3.8e-156    1e-154  510.9   0.3     1   279     2   309     2   310 0.95 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 398013at33208        -            280   3.6e-09   33.5   0.0   3   3   5.4e-05    0.0015   15.1   0.0    93   131   246   286   234   307 0.86 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+       -            280 398013at33208        -            280   4.1e-09   33.3   0.5   1   3    0.0024     0.065    9.7   0.0    23    51    21    49    11    55 0.89 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+       -            280 398013at33208        -            280   4.1e-09   33.3   0.5   2   3    0.0013     0.035   10.6   0.1    18    54    63    99    54   200 0.67 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+       -            280 398013at33208        -            280   4.1e-09   33.3   0.5   3   3    0.0027     0.074    9.5   0.0   110   248   118   276   105   279 0.60 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 398013at33208        -            280   7.7e-09   32.4   0.1   1   3   3.8e-06    0.0001   18.9   0.1    91   256    48   211    32   232 0.78 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 398013at33208        -            280   7.7e-09   32.4   0.1   2   3      0.04       1.1    5.7   0.0   185   271   186   284   181   289 0.59 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 398013at33208        -            280   7.7e-09   32.4   0.1   3   3    0.0018     0.049   10.1   0.0    92   138   257   304   237   312 0.71 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 398013at33208        -            280   1.5e-08   31.5   0.0   1   3       1.4        39    0.6   0.0   222   244     4    26     1    56 0.73 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 398013at33208        -            280   1.5e-08   31.5   0.0   2   3    0.0034     0.093    9.2   0.0   111   193    60   143    34   145 0.78 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 398013at33208        -            280   1.5e-08   31.5   0.0   3   3   5.6e-06   0.00015   18.3   0.0    79   170   110   204   110   204 0.81 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-    -            645 398013at33208        -            280   1.5e-08   31.5   0.6   1   3      0.22       6.1    3.2   0.0   100   129   179   209   173   216 0.79 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-    -            645 398013at33208        -            280   1.5e-08   31.5   0.6   2   3      0.25         7    3.0   0.0    23    49   229   255   214   263 0.86 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-    -            645 398013at33208        -            280   1.5e-08   31.5   0.6   3   3   9.4e-07   2.6e-05   20.9   0.1   112   236   294   441   273   462 0.72 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 398013at33208        -            280     2e-08   31.0   0.2   1   2      0.16       4.3    3.7   0.0   130   244    40    79     2    96 0.47 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 398013at33208        -            280     2e-08   31.0   0.2   2   2     3e-09   8.4e-08   29.0   0.2    15   128    46   164    38   166 0.81 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 398013at33208        -            280   2.3e-08   30.8   0.0   1   2   0.00073      0.02   11.4   0.0   219   246     8    35     2    40 0.82 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 398013at33208        -            280   2.3e-08   30.8   0.0   2   2   0.00045     0.013   12.0   0.0   115   159   113   159    84   169 0.80 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 398013at33208        -            280   2.7e-08   30.6   0.2   1   5       2.1        59   -0.0   0.0    22    42     8    28     2    38 0.83 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 398013at33208        -            280   2.7e-08   30.6   0.2   2   5    0.0012     0.034   10.6   0.0    95   136    43    85    32   125 0.72 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 398013at33208        -            280   2.7e-08   30.6   0.2   3   5      0.38        10    2.5   0.0   102   130   146   174   137   180 0.53 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 398013at33208        -            280   2.7e-08   30.6   0.2   4   5   0.00034    0.0093   12.5   0.0    87   145   172   230   162   238 0.59 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 398013at33208        -            280   2.7e-08   30.6   0.2   5   5       5.3   1.5e+02   -1.3   0.0    23    44   288   309   279   318 0.73 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 398013at33208        -            280     4e-08   30.1   2.6   1   4      0.03      0.84    6.1   0.0    23    48    12    37     5    43 0.91 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 398013at33208        -            280     4e-08   30.1   2.6   2   4       0.7        19    1.6   0.0    91   132    43    87    38   104 0.71 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 398013at33208        -            280     4e-08   30.1   2.6   3   4    0.0083      0.23    7.9   0.2    23    50   202   229   197   238 0.87 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+    -            317 398013at33208        -            280     4e-08   30.1   2.6   4   4    0.0011      0.03   10.8   0.0   213   250   242   281   231   289 0.74 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+      -            273 398013at33208        -            280   7.2e-08   29.2   0.0   1   2   2.2e-08   6.1e-07   26.2   0.0    23   139     8   133     3   181 0.85 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+      -            273 398013at33208        -            280   7.2e-08   29.2   0.0   2   2         2        56    0.1   0.0   179   209   238   268   231   271 0.81 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-       -            413 398013at33208        -            280   1.2e-07   28.5   0.2   1   2      0.61        17    1.8   0.0   224   253    27    55    12    71 0.83 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-       -            413 398013at33208        -            280   1.2e-07   28.5   0.2   2   2   3.3e-06   9.1e-05   19.1   0.1    96   252   140   309   136   326 0.78 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 398013at33208        -            280   1.8e-07   27.9   0.0   1   4     0.096       2.6    4.4   0.0    97   127     7    37     2    55 0.91 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 398013at33208        -            280   1.8e-07   27.9   0.0   2   4     0.014      0.39    7.2   0.0    79   127    81   128    44   144 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 398013at33208        -            280   1.8e-07   27.9   0.0   3   4    0.0084      0.23    7.9   0.0    90   129   178   217   161   223 0.87 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-     -            256 398013at33208        -            280   1.8e-07   27.9   0.0   4   4      0.17       4.6    3.6   0.0    96   126   224   254   218   256 0.91 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+      -            120 398013at33208        -            280   2.1e-07   27.7   0.0   1   2   0.00074      0.02   11.4   0.0   222   269    14    67     8    71 0.71 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+      -            120 398013at33208        -            280   2.1e-07   27.7   0.0   2   2   0.00013    0.0036   13.8   0.0    79   127    71   120    65   120 0.79 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+      -            538 398013at33208        -            280   3.1e-07   27.2   0.1   1   2   6.3e-05    0.0017   14.9   0.1    98   207   319   435   311   440 0.67 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+      -            538 398013at33208        -            280   3.1e-07   27.2   0.1   2   2   1.3e-05   0.00035   17.1   0.0    14   132   358   485   355   533 0.76 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 398013at33208        -            280   3.1e-07   27.1   0.4   1   3      0.92        25    1.2   0.0    96   142    96   141    70   146 0.79 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 398013at33208        -            280   3.1e-07   27.1   0.4   2   3       1.7        47    0.3   0.0   114   199   158   245   124   303 0.57 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 398013at33208        -            280   3.1e-07   27.1   0.4   3   3   8.3e-07   2.3e-05   21.0   0.0    81   138   543   601   534   631 0.77 -
398013at33208_6334_0:0020e8|TRINITY_DN82725_c2_g1_i6:265-1095|+       -            277 398013at33208        -            280   3.8e-07   26.9   0.0   1   2   3.2e-06   8.7e-05   19.1   0.0    20   171    25   197     8   215 0.74 -
398013at33208_6334_0:0020e8|TRINITY_DN82725_c2_g1_i6:265-1095|+       -            277 398013at33208        -            280   3.8e-07   26.9   0.0   2   2      0.04       1.1    5.7   0.0   184   210   229   255   218   268 0.72 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 398013at33208        -            280     4e-07   26.8   0.1   1   2   2.9e-06   7.9e-05   19.3   0.1   147   253    40   151     8   175 0.70 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 398013at33208        -            280     4e-07   26.8   0.1   2   2      0.21       5.7    3.3   0.0   212   251   205   243   166   261 0.78 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 398013at33208        -            280   4.6e-07   26.6   0.1   1   2   0.00024    0.0067   12.9   0.0    20   131     9   123     3   147 0.71 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 398013at33208        -            280   4.6e-07   26.6   0.1   2   2     0.004      0.11    8.9   0.0   145   246   163   268   148   299 0.75 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-     -            144 398013at33208        -            280   5.2e-07   26.4   0.2   1   3    0.0042      0.12    8.9   0.1   108   172    29    97    18   102 0.65 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-     -            144 398013at33208        -            280   5.2e-07   26.4   0.2   2   3     0.066       1.8    5.0   0.0   115   134    80    99    70   112 0.71 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-     -            144 398013at33208        -            280   5.2e-07   26.4   0.2   3   3   5.1e-05    0.0014   15.2   0.0    79   132    85   140    82   144 0.74 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+    -            212 398013at33208        -            280     6e-07   26.2   0.0   1   2   0.00065     0.018   11.5   0.0   139   246    14   120     2   129 0.59 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+    -            212 398013at33208        -            280     6e-07   26.2   0.0   2   2   0.00044     0.012   12.1   0.0   223   273   139   194   126   196 0.83 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+   -            173 398013at33208        -            280   6.7e-07   26.1   0.0   1   2   0.00031    0.0084   12.6   0.0   223   246    21    44    12    49 0.87 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+   -            173 398013at33208        -            280   6.7e-07   26.1   0.0   2   2   0.00054     0.015   11.8   0.0    13   127    49   172    43   173 0.59 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+      -            235 398013at33208        -            280   6.7e-07   26.1   0.2   1   1   1.4e-07   3.8e-06   23.6   0.2    20   176     5   180     1   214 0.65 -
398013at33208_6850_0:003fd3|TRINITY_DN75538_c8_g1_i1:285-560|-        -             92 398013at33208        -            280   1.8e-06   24.6   0.1   1   1   7.3e-08     2e-06   24.5   0.1    93   131    52    91     3    92 0.90 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 398013at33208        -            280   2.3e-06   24.3   0.0   1   4         5   1.4e+02   -1.2   0.0   156   183    28    54     7    59 0.60 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 398013at33208        -            280   2.3e-06   24.3   0.0   2   4    0.0047      0.13    8.7   0.0    21    50    60    89    48   100 0.81 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 398013at33208        -            280   2.3e-06   24.3   0.0   3   4   0.00064     0.017   11.6   0.0    93   166   112   188    91   193 0.69 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+      -            246 398013at33208        -            280   2.3e-06   24.3   0.0   4   4       8.9   2.4e+02   -2.0   0.0    24    37   231   244   214   246 0.54 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+      -            263 398013at33208        -            280   9.8e-06   22.2   0.0   1   2     1e-05   0.00029   17.4   0.0    27   139    22   143    15   180 0.72 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+      -            263 398013at33208        -            280   9.8e-06   22.2   0.0   2   2      0.44        12    2.3   0.0   108   133   201   226   182   250 0.76 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 398013at33208        -            280   1.2e-05   22.0   0.0   1   3     0.002     0.056    9.9   0.0   150   214    12    77     2   117 0.65 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 398013at33208        -            280   1.2e-05   22.0   0.0   2   3       1.5        41    0.5   0.0   117   133   107   123    80   135 0.76 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 398013at33208        -            280   1.2e-05   22.0   0.0   3   3    0.0064      0.18    8.3   0.0    96   126   170   201   151   201 0.72 -
502128at33208_7962_0:0096d6|TRINITY_DN79934_c8_g3_i2:2444-2572|-      -             43 398013at33208        -            280   1.9e-05   21.3   0.0   1   1     7e-07   1.9e-05   21.3   0.0    98   135     3    41     1    43 0.83 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-      -            415 398013at33208        -            280     3e-05   20.6   0.1   1   3   2.3e-05   0.00063   16.3   0.0    80   152   149   228    89   246 0.72 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-      -            415 398013at33208        -            280     3e-05   20.6   0.1   2   3      0.48        13    2.1   0.0    99   131   214   247   207   265 0.69 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-      -            415 398013at33208        -            280     3e-05   20.6   0.1   3   3       5.7   1.6e+02   -1.4   0.0    24    45   391   412   387   415 0.82 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 398013at33208        -            280   3.9e-05   20.3   0.2   1   3      0.27       7.3    3.0   0.0   114   170     5    65     2    69 0.63 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 398013at33208        -            280   3.9e-05   20.3   0.2   2   3    0.0057      0.16    8.4   0.0   104   133    81   111    69   127 0.76 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-        -            239 398013at33208        -            280   3.9e-05   20.3   0.2   3   3     0.049       1.3    5.4   0.0    97   130   136   170   123   180 0.77 -
380583at33208_438502_0:0037f3|TRINITY_DN82334_c12_g2_i1:139-291|+     -             51 398013at33208        -            280   4.9e-05   19.9   0.0   1   1   1.9e-06   5.1e-05   19.9   0.0    96   138     5    49     2    51 0.81 -
197652at33208_1629725_0:002235|TRINITY_DN89483_c12_g1_i10:4024-4638|+ -            205 398013at33208        -            280     5e-05   19.9   0.6   1   2   0.00013    0.0035   13.9   0.0   223   256     3    36     1    68 0.76 -
197652at33208_1629725_0:002235|TRINITY_DN89483_c12_g1_i10:4024-4638|+ -            205 398013at33208        -            280     5e-05   19.9   0.6   2   2     0.087       2.4    4.6   0.5    36   141    54   169    39   181 0.59 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 398013at33208        -            280   5.1e-05   19.9   0.0   1   3     0.061       1.7    5.1   0.0   113   168    13    68     2    74 0.68 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 398013at33208        -            280   5.1e-05   19.9   0.0   2   3     0.001     0.028   10.9   0.0   112   171    93   151    59   246 0.88 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 398013at33208        -            280   5.1e-05   19.9   0.0   3   3       1.6        43    0.5   0.0   253   272   219   238   158   275 0.64 -
463071at33208_7004_0:0032c5|TRINITY_DN92597_c11_g2_i5:1344-2603|-     -            420 398013at33208        -            280   5.8e-05   19.7   0.1   1   2    0.0027     0.073    9.5   0.1   183   258   250   334   210   355 0.65 -
463071at33208_7004_0:0032c5|TRINITY_DN92597_c11_g2_i5:1344-2603|-     -            420 398013at33208        -            280   5.8e-05   19.7   0.1   2   2     0.022      0.62    6.5   0.0   143   171   389   417   381   419 0.88 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 398013at33208        -            280   8.1e-05   19.2   0.0   1   3    0.0012     0.034   10.6   0.0   187   279    24   127    17   128 0.63 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 398013at33208        -            280   8.1e-05   19.2   0.0   2   3       0.8        22    1.4   0.0   224   243   276   295   235   305 0.88 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 398013at33208        -            280   8.1e-05   19.2   0.0   3   3      0.34       9.2    2.6   0.0    22    52   463   493   440   498 0.90 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+    -            303 398013at33208        -            280   8.2e-05   19.2   0.4   1   2     0.014       0.4    7.1   0.3    17    52    93   128    84   138 0.77 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+    -            303 398013at33208        -            280   8.2e-05   19.2   0.4   2   2   0.00018     0.005   13.3   0.3    62   132   102   173    99   215 0.79 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 398013at33208        -            280   8.2e-05   19.2   0.0   1   2   9.1e-05    0.0025   14.3   0.0   108   172   175   246   156   258 0.64 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 398013at33208        -            280   8.2e-05   19.2   0.0   2   2     0.057       1.6    5.2   0.0    32   131   225   245   205   290 0.52 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+    -            214 398013at33208        -            280   9.4e-05   19.0   0.0   1   2     0.003     0.082    9.4   0.0    80   146    44   114    37   120 0.78 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+    -            214 398013at33208        -            280   9.4e-05   19.0   0.0   2   2     0.016      0.44    7.0   0.0    99   171   122   195   119   204 0.77 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+    -             94 398013at33208        -            280   0.00012   18.7   0.0   1   2    0.0001    0.0029   14.1   0.0   209   252    14    57     8    63 0.79 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+    -             94 398013at33208        -            280   0.00012   18.7   0.0   2   2      0.19       5.2    3.5   0.0   221   240    67    86    53    94 0.63 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-     -            329 398013at33208        -            280   0.00014   18.5   0.5   1   2    0.0048      0.13    8.7   0.2    16   119    47   154    33   168 0.53 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-     -            329 398013at33208        -            280   0.00014   18.5   0.5   2   2     0.053       1.5    5.3   0.0    22    56   264   298   248   309 0.86 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+      -            299 398013at33208        -            280    0.0002   18.0   0.2   1   2     0.001     0.028   10.9   0.0   193   250    47   110    42   129 0.76 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+      -            299 398013at33208        -            280    0.0002   18.0   0.2   2   2      0.37        10    2.5   0.0    93   133   233   278   218   292 0.62 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+       -            285 398013at33208        -            280   0.00025   17.6   0.1   1   3     0.022      0.61    6.5   0.0    12    49    29    66    18    75 0.83 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+       -            285 398013at33208        -            280   0.00025   17.6   0.1   2   3      0.11       3.1    4.2   0.0    21    52   169   200   152   205 0.83 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+       -            285 398013at33208        -            280   0.00025   17.6   0.1   3   3      0.87        24    1.3   0.0   221   246   226   252   213   264 0.74 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-      -            138 398013at33208        -            280   0.00035   17.1   0.1   1   1   3.8e-05    0.0011   15.6   0.1    79   205     4   134     1   138 0.62 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-     -            220 398013at33208        -            280   0.00044   16.8   0.2   1   3       0.1       2.9    4.3   0.0   107   128    18    39     2    69 0.70 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-     -            220 398013at33208        -            280   0.00044   16.8   0.2   2   3     0.014      0.39    7.2   0.0   115   138    96   119    88   137 0.84 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-     -            220 398013at33208        -            280   0.00044   16.8   0.2   3   3      0.55        15    1.9   0.0   222   249   165   192   124   201 0.71 -
304388at33208_7536_0:000423|TRINITY_DN72935_c10_g4_i1:234-1166|+      -            311 398013at33208        -            280   0.00077   16.0   0.1   1   2      0.23       6.2    3.2   0.0   167   209    79   123    66   133 0.74 -
304388at33208_7536_0:000423|TRINITY_DN72935_c10_g4_i1:234-1166|+      -            311 398013at33208        -            280   0.00077   16.0   0.1   2   2    0.0023     0.064    9.7   0.0   112   147   150   188   132   218 0.67 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 398013at33208        -            280   0.00091   15.8   0.0   1   4      0.23       6.4    3.2   0.0   115   141    10    36     2    81 0.58 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 398013at33208        -            280   0.00091   15.8   0.0   2   4       1.9        52    0.2   0.0   220   247    96   123    91   131 0.77 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 398013at33208        -            280   0.00091   15.8   0.0   3   4      0.21       5.8    3.3   0.0    19    54   136   171   126   179 0.81 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-    -            265 398013at33208        -            280   0.00091   15.8   0.0   4   4      0.21       5.8    3.3   0.0   110   137   205   232   192   264 0.71 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-     -             95 398013at33208        -            280   0.00096   15.7   0.1   1   2    0.0038      0.11    9.0   0.0    23    49    11    37     3    52 0.88 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-     -             95 398013at33208        -            280   0.00096   15.7   0.1   2   2     0.046       1.3    5.5   0.0   219   245    69    95    43    95 0.64 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-    -            179 398013at33208        -            280   0.00099   15.7   0.0   1   1   9.8e-05    0.0027   14.2   0.0    25   128    69   178    64   179 0.74 -
414579at33208_8022_0:004e1f|TRINITY_DN82725_c2_g1_i6:2392-2649|+      -             86 398013at33208        -            280    0.0016   15.0   0.0   1   1   5.9e-05    0.0016   15.0   0.0   219   273    11    70     1    79 0.74 -
222489at33208_6239_0:0039d8|TRINITY_DN91534_c7_g1_i7:1420-2211|+      -            264 398013at33208        -            280    0.0019   14.7   0.0   1   2      0.12       3.3    4.1   0.0    96   132   113   156    79   169 0.78 -
222489at33208_6239_0:0039d8|TRINITY_DN91534_c7_g1_i7:1420-2211|+      -            264 398013at33208        -            280    0.0019   14.7   0.0   2   2    0.0052      0.14    8.6   0.0   192   247   192   244   181   254 0.76 -
356175at33208_30419_0:0027b1|TRINITY_DN76062_c4_g3_i5:3496-3747|-     -             84 398013at33208        -            280    0.0023   14.5   0.0   1   1    0.0001    0.0029   14.1   0.0    22   253    21    57     6    77 0.67 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+     -            170 398013at33208        -            280    0.0066   13.0   0.8   1   3      0.18       5.1    3.5   0.0   223   264     3    44     1    48 0.75 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+     -            170 398013at33208        -            280    0.0066   13.0   0.8   2   3     0.018      0.49    6.8   0.1    98   143    48    97    43   124 0.65 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+     -            170 398013at33208        -            280    0.0066   13.0   0.8   3   3       2.4        66   -0.2   0.0    22   243   143   168   131   170 0.59 -
103854at33208_35525_0:001778|TRINITY_DN91361_c6_g1_i9:260-2853|+      -            828 398013at33208        -            280    0.0067   12.9   0.1   1   2      0.29       7.9    2.9   0.0   224   251    33    60    28    65 0.87 -
103854at33208_35525_0:001778|TRINITY_DN91361_c6_g1_i9:260-2853|+      -            828 398013at33208        -            280    0.0067   12.9   0.1   2   2    0.0067      0.18    8.2   0.1    14    53    60    99    58   108 0.86 -
266808at33208_378494_0:0019ed|TRINITY_DN88294_c4_g1_i9:2014-2472|+    -            153 398013at33208        -            280    0.0072   12.8   0.1   1   2      0.32       8.8    2.7   0.0   143   165     6    28     1    34 0.84 -
266808at33208_378494_0:0019ed|TRINITY_DN88294_c4_g1_i9:2014-2472|+    -            153 398013at33208        -            280    0.0072   12.8   0.1   2   2     0.012      0.33    7.4   0.0    99   134    56    92    47   104 0.77 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+     -            268 398013at33208        -            280    0.0074   12.8   0.1   1   2    0.0039      0.11    9.0   0.0   114   212    61   163    38   176 0.63 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+     -            268 398013at33208        -            280    0.0074   12.8   0.1   2   2      0.03      0.83    6.1   0.0    21    51   132   163   128   265 0.55 -
