#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249     1e-63  212.2   0.4   1   1   3.1e-63     1e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 581717at33208        -            249     6e-06   23.0   0.1   2   3    0.0049      0.16    8.5   0.0   179   211   116   148   108   168 0.84 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 581717at33208        -            249     6e-06   23.0   0.1   3   3     0.054       1.8    5.1   0.0   130   212   182   275   160   297 0.58 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 581717at33208        -            249   9.3e-06   22.4   0.9   1   1   8.7e-07   2.9e-05   20.8   0.8    86   213    14   147     9   173 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   1   6      0.82        27    1.2   0.0   175   214    97   137    72   158 0.65 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   2   6   6.7e-05    0.0022   14.6   0.0   173   219   184   230   165   248 0.84 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   3   6       5.9     2e+02   -1.6   0.0   118   137   354   373   344   405 0.75 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   4   6       5.9     2e+02   -1.6   0.0    40    69   437   466   420   474 0.79 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   5   6       9.1   3.1e+02   -2.2   0.0   176   210   522   556   500   564 0.63 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 581717at33208        -            249   1.1e-05   22.2   0.4   6   6       4.3   1.4e+02   -1.2   0.0   174   213   562   601   524   606 0.65 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 581717at33208        -            249   1.3e-05   22.0   0.0   1   2      0.35        12    2.4   0.0    74   124    24    76    22    98 0.79 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 581717at33208        -            249   1.3e-05   22.0   0.0   2   2   1.2e-05   0.00041   17.0   0.0   176   222   156   203   128   207 0.83 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 581717at33208        -            249   2.2e-05   21.2   0.0   1   2   0.00012     0.004   13.8   0.0    73   223    11   172     6   176 0.68 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 581717at33208        -            249   2.2e-05   21.2   0.0   2   2       3.6   1.2e+02   -0.9   0.0   175   207   210   242   183   243 0.70 -
380583at33208_294128_0:0041aa|TRINITY_DN84255_c7_g1_i5:824-1366|+   -            181 581717at33208        -            249   2.4e-05   21.1   0.0   1   2     0.018       0.6    6.6   0.0   110   199     2    97     1    99 0.65 -
380583at33208_294128_0:0041aa|TRINITY_DN84255_c7_g1_i5:824-1366|+   -            181 581717at33208        -            249   2.4e-05   21.1   0.0   2   2   0.00013    0.0042   13.7   0.0   147   212    88   153    72   175 0.75 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 581717at33208        -            249   3.2e-05   20.6   0.7   1   4       1.4        46    0.5   0.0   183   212    11    40     2    63 0.79 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 581717at33208        -            249   3.2e-05   20.6   0.7   2   4       2.1        69   -0.1   0.1    10    33    92   114    89   124 0.77 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 581717at33208        -            249   3.2e-05   20.6   0.7   3   4      0.34        11    2.5   0.0   184   235   160   212   155   215 0.83 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 581717at33208        -            249   3.2e-05   20.6   0.7   4   4   0.00016    0.0055   13.3   0.0   119   203   212   302   201   306 0.82 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 581717at33208        -            249   4.3e-05   20.2   0.1   1   3   0.00053     0.018   11.6   0.1   172   212   228   268   197   275 0.84 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 581717at33208        -            249   4.3e-05   20.2   0.1   2   3       1.2        39    0.7   0.0   168   211   266   309   263   319 0.87 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 581717at33208        -            249   4.3e-05   20.2   0.1   3   3     0.057       1.9    5.0   0.0   184   213   372   401   356   407 0.86 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 581717at33208        -            249   5.1e-05   20.0   0.0   1   2     0.018      0.59    6.7   0.0   154   213   106   167    57   210 0.72 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 581717at33208        -            249   5.1e-05   20.0   0.0   2   2   0.00075     0.025   11.1   0.0   183   225   264   306   231   319 0.83 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 581717at33208        -            249   6.3e-05   19.7   0.6   1   2       0.1       3.4    4.2   0.0   181   213    34    66    11    83 0.81 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 581717at33208        -            249   6.3e-05   19.7   0.6   2   2     0.001     0.034   10.7   0.2    72   215   132   287    84   294 0.69 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 581717at33208        -            249   6.4e-05   19.7   0.0   1   2    0.0012     0.039   10.5   0.0   161   215   147   204   136   208 0.78 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 581717at33208        -            249   6.4e-05   19.7   0.0   2   2     0.019      0.64    6.5   0.0   190   219   224   253   215   260 0.81 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 581717at33208        -            249   9.5e-05   19.1   0.9   1   3      0.29       9.7    2.7   0.0   187   218    19    50    10    57 0.74 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 581717at33208        -            249   9.5e-05   19.1   0.9   2   3     0.008      0.27    7.8   0.0   180   221    56    99    46   115 0.77 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 581717at33208        -            249   9.5e-05   19.1   0.9   3   3      0.05       1.7    5.2   0.0    63   129   168   238   119   245 0.64 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 581717at33208        -            249   9.7e-05   19.1   0.5   1   4       2.4        80   -0.3   0.0    70    96   113   139   102   151 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 581717at33208        -            249   9.7e-05   19.1   0.5   2   4     0.024       0.8    6.2   0.0   180   219   163   202   154   215 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 581717at33208        -            249   9.7e-05   19.1   0.5   3   4     0.015       0.5    6.9   0.1   139   213   252   329   237   357 0.76 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 581717at33208        -            249   9.7e-05   19.1   0.5   4   4       8.9     3e+02   -2.2   0.0   179   202   386   409   364   415 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 581717at33208        -            249   0.00012   18.8   2.1   1   4       1.6        55    0.2   0.0   184   229   217   263   213   274 0.73 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 581717at33208        -            249   0.00012   18.8   2.1   2   4   0.00021     0.007   13.0   0.1   181   216   307   342   277   362 0.78 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 581717at33208        -            249   0.00012   18.8   2.1   3   4         1        34    0.9   0.1    44    62   362   380   348   389 0.84 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 581717at33208        -            249   0.00012   18.8   2.1   4   4       2.4        82   -0.4   0.1   118   184   410   476   395   492 0.66 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 581717at33208        -            249   0.00012   18.7   0.0   1   2   2.7e-05   0.00092   15.9   0.0   123   220     7   116     2   122 0.71 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 581717at33208        -            249   0.00012   18.7   0.0   2   2       3.8   1.3e+02   -1.0   0.0   184   220   142   178   137   187 0.73 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 581717at33208        -            249   0.00013   18.7   0.1   1   3    0.0002    0.0067   13.0   0.0   175   213    39    78    35    83 0.86 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 581717at33208        -            249   0.00013   18.7   0.1   2   3      0.36        12    2.4   0.0   171   226    79   133    77   144 0.81 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 581717at33208        -            249   0.00013   18.7   0.1   3   3       3.7   1.2e+02   -0.9   0.0   169   215   211   262   197   266 0.53 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-    -            196 581717at33208        -            249   0.00017   18.2   0.2   1   2   2.3e-05   0.00076   16.1   0.2    75   212     5   158     1   163 0.78 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-    -            196 581717at33208        -            249   0.00017   18.2   0.2   2   2       5.4   1.8e+02   -1.5   0.0   167   205   153   196   148   196 0.62 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 581717at33208        -            249   0.00018   18.2   0.1   1   3     0.025      0.85    6.1   0.0   121   209    14   108     1   113 0.69 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 581717at33208        -            249   0.00018   18.2   0.1   2   3   0.00095     0.032   10.8   0.0    69   176    46   154    34   184 0.65 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 581717at33208        -            249   0.00018   18.2   0.1   3   3      0.36        12    2.4   0.0    73    98   231   254   221   274 0.71 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 581717at33208        -            249   0.00021   18.0   0.0   1   2   0.00082     0.028   11.0   0.0   139   195    80   138    71   143 0.83 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 581717at33208        -            249   0.00021   18.0   0.0   2   2     0.078       2.6    4.5   0.0   162   212   146   200   139   226 0.80 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 581717at33208        -            249    0.0003   17.5   0.1   1   3      0.21       7.1    3.1   0.0   158   204    39    90    31   106 0.69 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 581717at33208        -            249    0.0003   17.5   0.1   2   3      0.55        19    1.8   0.0   106   145   120   161   117   170 0.68 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 581717at33208        -            249    0.0003   17.5   0.1   3   3   0.00096     0.032   10.8   0.0   162   215   143   197   130   209 0.73 -
398013at33208_6850_0:003fd3|TRINITY_DN75538_c8_g1_i1:285-560|-      -             92 581717at33208        -            249    0.0003   17.5   0.0   1   1     1e-05   0.00035   17.2   0.0   167   212    44    90    33    92 0.85 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 581717at33208        -            249   0.00049   16.8   0.0   1   3         4   1.3e+02   -1.1   0.0    44    61    16    33    11    36 0.85 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 581717at33208        -            249   0.00049   16.8   0.0   2   3   0.00047     0.016   11.8   0.0   173   212    37    76    30    94 0.89 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 581717at33208        -            249   0.00049   16.8   0.0   3   3      0.67        23    1.5   0.0   194   210   156   172   145   189 0.83 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-  -            606 581717at33208        -            249    0.0005   16.7   0.5   1   2   0.00083     0.028   11.0   0.3   151   212    59   124    42   139 0.78 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-  -            606 581717at33208        -            249    0.0005   16.7   0.5   2   2      0.48        16    2.0   0.0    67    99   341   373   315   415 0.76 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 581717at33208        -            249   0.00051   16.7   0.0   1   3     0.018      0.59    6.7   0.0   158   210    18    73     5    79 0.69 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 581717at33208        -            249   0.00051   16.7   0.0   2   3      0.19       6.4    3.3   0.0   173   229    78   138    75   146 0.72 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 581717at33208        -            249   0.00051   16.7   0.0   3   3      0.19       6.4    3.3   0.0   174   207   167   200   149   201 0.87 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-    -            138 581717at33208        -            249   0.00067   16.3   0.1   1   2   0.00033     0.011   12.3   0.0   184   220    29    68    23    84 0.72 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-    -            138 581717at33208        -            249   0.00067   16.3   0.1   2   2      0.67        23    1.5   0.0    75    90    85   100    81   105 0.90 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 581717at33208        -            249   0.00072   16.2   0.2   1   4      0.12       4.1    3.9   0.0   177   213   268   304   258   322 0.85 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 581717at33208        -            249   0.00072   16.2   0.2   2   4       7.2   2.4e+02   -1.9   0.0   173   211   399   436   394   442 0.76 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 581717at33208        -            249   0.00072   16.2   0.2   3   4     0.027       0.9    6.1   0.0   155   227   463   537   444   544 0.79 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 581717at33208        -            249   0.00072   16.2   0.2   4   4       2.2        72   -0.2   0.0   184   207   589   612   586   613 0.89 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 581717at33208        -            249    0.0009   15.9   0.0   1   2      0.81        27    1.2   0.0    77    90    34    47    28    53 0.88 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 581717at33208        -            249    0.0009   15.9   0.0   2   2   0.00059      0.02   11.5   0.0   160   223    80   146    66   153 0.83 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 581717at33208        -            249     0.001   15.7   0.1   1   4       0.1       3.5    4.1   0.0   180   214    17    51     7    55 0.88 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 581717at33208        -            249     0.001   15.7   0.1   2   4     0.076       2.5    4.6   0.0   183   221    67   105    54   124 0.84 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 581717at33208        -            249     0.001   15.7   0.1   3   4       1.1        38    0.7   0.0   123   172   124   183   117   186 0.52 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 581717at33208        -            249     0.001   15.7   0.1   4   4      0.47        16    2.0   0.0   113   171   157   216   148   245 0.75 -
414579at33208_45351_0:002918|TRINITY_DN90394_c3_g1_i5:189-1022|-    -            278 581717at33208        -            249    0.0012   15.5   0.0   1   3       1.4        46    0.5   0.0    13    36     6    30     3    34 0.82 -
414579at33208_45351_0:002918|TRINITY_DN90394_c3_g1_i5:189-1022|-    -            278 581717at33208        -            249    0.0012   15.5   0.0   2   3    0.0055      0.18    8.3   0.0    97   151    49   103    40   124 0.80 -
414579at33208_45351_0:002918|TRINITY_DN90394_c3_g1_i5:189-1022|-    -            278 581717at33208        -            249    0.0012   15.5   0.0   3   3      0.39        13    2.2   0.0   148   193   164   213   145   245 0.60 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+  -             94 581717at33208        -            249    0.0013   15.4   0.0   1   2   0.00028    0.0093   12.6   0.0   171   209    10    48     7    53 0.92 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+  -             94 581717at33208        -            249    0.0013   15.4   0.0   2   2         1        35    0.9   0.0   173   203    54    84    51    87 0.83 -
472352at33208_378494_0:003283|TRINITY_DN75137_c7_g5_i1:800-1183|-   -            128 581717at33208        -            249    0.0013   15.4   0.0   1   1   5.2e-05    0.0017   15.0   0.0   153   205     8    64     3    77 0.79 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 581717at33208        -            249    0.0013   15.4   0.5   1   2         1        33    0.9   0.0    45    63     6    24     1    31 0.80 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 581717at33208        -            249    0.0013   15.4   0.5   2   2     0.023      0.76    6.3   0.2    75    91    66    82    59   175 0.67 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 581717at33208        -            249    0.0015   15.1   0.0   1   2      0.19       6.4    3.3   0.0    42    71    27    56    17    62 0.75 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 581717at33208        -            249    0.0015   15.1   0.0   2   2    0.0052      0.18    8.4   0.0   121   209   119   220   112   229 0.70 -
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 581717at33208        -            249    0.0018   14.9   0.2   1   1     0.004      0.13    8.8   0.1   120   148   128   155   124   248 0.70 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 581717at33208        -            249    0.0019   14.8   0.2   1   3      0.33        11    2.5   0.0    73   100     9    36     4    49 0.81 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 581717at33208        -            249    0.0019   14.8   0.2   2   3      0.12         4    3.9   0.0   184   228    53   100    46   109 0.75 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 581717at33208        -            249    0.0019   14.8   0.2   3   3     0.063       2.1    4.9   0.0    72    88   153   169   131   170 0.80 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 581717at33208        -            249     0.002   14.8   0.0   1   3      0.81        27    1.2   0.0   192   212     5    25     1    63 0.84 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 581717at33208        -            249     0.002   14.8   0.0   2   3      0.93        31    1.0   0.0   194   210   105   121    95   138 0.83 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 581717at33208        -            249     0.002   14.8   0.0   3   3    0.0065      0.22    8.1   0.0   184   228   197   241   194   254 0.77 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 581717at33208        -            249    0.0024   14.5   0.0   1   3       1.3        45    0.5   0.0   179   211     4    37     1    42 0.83 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 581717at33208        -            249    0.0024   14.5   0.0   2   3     0.011      0.38    7.3   0.0   174   222    49    99    41   110 0.81 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 581717at33208        -            249    0.0024   14.5   0.0   3   3      0.15       4.9    3.6   0.0   115   161   108   154    93   165 0.77 -
380583at33208_438502_0:0037f3|TRINITY_DN82334_c12_g2_i1:139-291|+   -             51 581717at33208        -            249     0.003   14.2   0.0   1   1   9.3e-05    0.0031   14.1   0.0   176   214     4    43     2    51 0.86 -
304388at33208_7536_0:000423|TRINITY_DN72935_c10_g4_i1:234-1166|+    -            311 581717at33208        -            249    0.0035   14.0   0.0   1   3     0.099       3.3    4.2   0.0   154   218    16    88     3   102 0.71 -
304388at33208_7536_0:000423|TRINITY_DN72935_c10_g4_i1:234-1166|+    -            311 581717at33208        -            249    0.0035   14.0   0.0   2   3     0.015      0.51    6.9   0.0   155   214   109   170   102   187 0.71 -
304388at33208_7536_0:000423|TRINITY_DN72935_c10_g4_i1:234-1166|+    -            311 581717at33208        -            249    0.0035   14.0   0.0   3   3     0.034       1.1    5.7   0.0    77   133   154   210   128   216 0.58 -
103854at33208_35525_0:001778|TRINITY_DN91361_c6_g1_i9:260-2853|+    -            828 581717at33208        -            249    0.0039   13.8   0.0   1   1   0.00032     0.011   12.4   0.0   154   212    38    97    26   117 0.84 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+ -            173 581717at33208        -            249    0.0045   13.6   0.0   1   2     0.012      0.39    7.2   0.0    74    91    28    45    15    48 0.86 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+ -            173 581717at33208        -            249    0.0045   13.6   0.0   2   2       0.1       3.5    4.1   0.0   173   228    48   107    46   119 0.74 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 581717at33208        -            249    0.0049   13.5   0.0   1   2       2.2        74   -0.2   0.0   176   218   100   143    80   171 0.74 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 581717at33208        -            249    0.0049   13.5   0.0   2   2   0.00098     0.033   10.8   0.0   164   212   208   260   199   269 0.81 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 581717at33208        -            249    0.0054   13.3   0.0   1   2         3     1e+02   -0.7   0.0   182   210    65    93    59   107 0.69 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 581717at33208        -            249    0.0054   13.3   0.0   2   2   0.00062     0.021   11.4   0.0   106   141   106   141    98   164 0.86 -
502128at33208_7962_0:0096d6|TRINITY_DN79934_c8_g3_i2:2444-2572|-    -             43 581717at33208        -            249     0.006   13.2   0.0   1   1   0.00018    0.0061   13.2   0.0   184   217     8    41     2    43 0.92 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 581717at33208        -            249    0.0062   13.1   0.0   1   2     0.069       2.3    4.7   0.0   180   210     7    37     1    41 0.87 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 581717at33208        -            249    0.0062   13.1   0.0   2   2     0.015       0.5    6.9   0.0   172   209    57    94    45    95 0.88 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 581717at33208        -            249    0.0064   13.1   3.2   1   4         1        34    0.9   0.0   192   212    16    36     7    40 0.86 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 581717at33208        -            249    0.0064   13.1   3.2   2   4      0.54        18    1.8   0.0   174   209    41    78    38    95 0.70 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 581717at33208        -            249    0.0064   13.1   3.2   3   4     0.014      0.48    7.0   0.1   186   217   103   134    93   139 0.84 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 581717at33208        -            249    0.0064   13.1   3.2   4   4      0.31        10    2.6   0.0   173   212   132   174   130   199 0.83 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 581717at33208        -            249    0.0072   12.9   0.1   1   2      0.44        15    2.1   0.0   180   213     6    38     1    52 0.76 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 581717at33208        -            249    0.0072   12.9   0.1   2   2    0.0024      0.08    9.5   0.0   155   212    68   127    37   132 0.81 -
365323at33208_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 581717at33208        -            249    0.0085   12.7   0.0   1   1    0.0008     0.027   11.1   0.0   174   212     3    41     1    51 0.88 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 581717at33208        -            249     0.013   12.1   0.4   1   3      0.35        12    2.4   0.0   188   213    14    39     3    62 0.79 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 581717at33208        -            249     0.013   12.1   0.4   2   3       4.8   1.6e+02   -1.3   0.0    84    97    72    85    50    90 0.63 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 581717at33208        -            249     0.013   12.1   0.4   3   3     0.031         1    5.9   0.0   164   211   136   189   115   199 0.58 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 581717at33208        -            249     0.014   12.0   0.2   1   2      0.02      0.68    6.5   0.1   171   200    40    69    22   108 0.81 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 581717at33208        -            249     0.014   12.0   0.2   2   2      0.36        12    2.4   0.0    28    59   306   337   294   340 0.87 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 581717at33208        -            249     0.017   11.7   0.0   1   2       9.6   3.2e+02   -2.3   0.0   171   209    27    65     8    94 0.58 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 581717at33208        -            249     0.017   11.7   0.0   2   2    0.0013     0.042   10.4   0.0   156   214   136   201   109   225 0.78 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 581717at33208        -            249     0.026   11.1   0.0   1   2     0.033       1.1    5.8   0.0   172   214     9    51     2    55 0.86 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 581717at33208        -            249     0.026   11.1   0.0   2   2     0.014      0.47    7.0   0.0   157   228    34   107    30   136 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/581717at33208.hmm
