#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 197652at33208        -            436  7.2e-225  744.1  11.0   1   1  5.1e-222  1.2e-220  730.2  11.0     1   436     3   509     3   509 0.91 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 197652at33208        -            436   1.3e-10   38.0   2.1   2   3    0.0041     0.093    8.9   0.0   276   305   110   139    90   150 0.87 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 197652at33208        -            436   1.3e-10   38.0   2.1   3   3   3.3e-07   7.5e-06   22.3   0.0   275   333   152   212   142   212 0.87 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 197652at33208        -            436   1.3e-10   38.0   0.1   1   3   8.6e-05     0.002   14.4   0.0   263   338     4    80     2   104 0.88 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 197652at33208        -            436   1.3e-10   38.0   0.1   2   3   1.4e-05   0.00033   16.9   0.0   266   340   145   219   135   230 0.86 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 197652at33208        -            436   1.3e-10   38.0   0.1   3   3      0.27       6.2    2.9   0.0   301   335   280   314   264   320 0.82 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 197652at33208        -            436   1.4e-10   37.9   7.2   1   3      0.37       8.4    2.4   0.2   276   336   110   180    94   186 0.68 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 197652at33208        -            436   1.4e-10   37.9   7.2   2   3   5.6e-06   0.00013   18.3   0.3   185   333   194   333   183   338 0.83 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 197652at33208        -            436   1.4e-10   37.9   7.2   3   3   4.1e-06   9.4e-05   18.7   0.1   257   334   343   422   337   424 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 197652at33208        -            436   1.5e-10   37.9   0.6   1   1   4.4e-11     1e-09   35.1   0.6   208   335    15   151     8   153 0.82 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 197652at33208        -            436   1.5e-10   37.9   0.4   1   1   6.9e-08   1.6e-06   24.6   0.3   266   339    79   153    70   178 0.91 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+  -             94 197652at33208        -            436   1.6e-10   37.7   0.0   1   1   1.1e-11   2.6e-10   37.0   0.0   260   331    15    87     7    93 0.88 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 197652at33208        -            436   1.6e-10   37.7   1.0   1   2      0.16       3.6    3.6   0.0   277   339    56   118    31   153 0.75 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 197652at33208        -            436   1.6e-10   37.7   1.0   2   2   2.4e-10   5.5e-09   32.7   0.2   238   335   238   337   174   354 0.80 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 197652at33208        -            436   5.4e-10   36.0   0.9   1   3   1.2e-08   2.7e-07   27.1   0.1   259   336     3    78     1    87 0.88 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 197652at33208        -            436   5.4e-10   36.0   0.9   2   3      0.51        12    1.9   0.1   268   335   117   188    96   199 0.68 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 197652at33208        -            436   5.4e-10   36.0   0.9   3   3     0.085         2    4.5   0.0   198   232   216   250   189   265 0.73 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 197652at33208        -            436   8.8e-10   35.3   0.2   1   3     0.002     0.046    9.9   0.0   186   225     2    41     1    47 0.80 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 197652at33208        -            436   8.8e-10   35.3   0.2   2   3    0.0011     0.025   10.7   0.0   275   334    56   118    35   124 0.80 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 197652at33208        -            436   8.8e-10   35.3   0.2   3   3    0.0037     0.084    9.0   0.0   189   251   145   210   131   212 0.74 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 197652at33208        -            436     9e-10   35.3   0.0   1   2       3.8        87   -0.9   0.0   235   264     7    36     2    42 0.76 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 197652at33208        -            436     9e-10   35.3   0.0   2   2   8.2e-11   1.9e-09   34.2   0.0   180   333    37   201    24   201 0.83 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 197652at33208        -            436   1.3e-09   34.7   0.3   1   3       2.1        49   -0.1   0.0   190   217    22    49    11    81 0.83 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 197652at33208        -            436   1.3e-09   34.7   0.3   2   3   7.2e-06   0.00017   17.9   0.0   276   336   125   185   110   195 0.86 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 197652at33208        -            436   1.3e-09   34.7   0.3   3   3   0.00026     0.006   12.8   0.0   255   334   239   321   228   322 0.82 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 197652at33208        -            436   1.7e-09   34.4   0.0   1   3      0.17         4    3.5   0.0   312   337    21    47    15    59 0.78 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 197652at33208        -            436   1.7e-09   34.4   0.0   2   3   7.1e-08   1.6e-06   24.5   0.0   267   336    64   134    53   158 0.83 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 197652at33208        -            436   1.7e-09   34.4   0.0   3   3      0.35       8.1    2.5   0.0   244   322   163   251   157   263 0.63 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 197652at33208        -            436   1.8e-09   34.3   0.6   1   4      0.13       2.9    3.9   0.0   304   334     8    37     1    63 0.62 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 197652at33208        -            436   1.8e-09   34.3   0.6   2   4    0.0037     0.085    9.0   0.1   274   334    70   128    47   140 0.82 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 197652at33208        -            436   1.8e-09   34.3   0.6   3   4   8.1e-06   0.00019   17.8   0.1   277   340   161   221   153   235 0.83 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 197652at33208        -            436   1.8e-09   34.3   0.6   4   4      0.19       4.3    3.4   0.0   278   333   201   254   199   255 0.81 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 197652at33208        -            436   1.8e-09   34.2   0.0   1   2   1.8e-06   4.2e-05   19.9   0.0   282   337   145   201   116   208 0.83 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 197652at33208        -            436   1.8e-09   34.2   0.0   2   2   1.5e-06   3.4e-05   20.2   0.0   274   417   180   329   180   340 0.81 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 197652at33208        -            436   3.9e-09   33.2   0.4   1   2   4.8e-09   1.1e-07   28.4   0.1   235   336    47   145     1   164 0.68 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 197652at33208        -            436   3.9e-09   33.2   0.4   2   2      0.82        19    1.2   0.0   186   221   207   242   155   250 0.67 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 197652at33208        -            436   8.2e-09   32.1   0.0   1   3   6.1e-09   1.4e-07   28.0   0.0   186   336    16   174    11   178 0.82 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 197652at33208        -            436   8.2e-09   32.1   0.0   2   3       2.2        50   -0.2   0.0   303   350   182   232   170   241 0.72 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 197652at33208        -            436   8.2e-09   32.1   0.0   3   3         1        24    0.9   0.0   183   214   222   253   197   256 0.79 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-    -            138 197652at33208        -            436   1.2e-08   31.5   0.0   1   2   2.3e-09   5.2e-08   29.5   0.1   258   337    19   101     1   117 0.87 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-    -            138 197652at33208        -            436   1.2e-08   31.5   0.0   2   2       1.2        26    0.8   0.0   304   333   109   137   102   138 0.83 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 197652at33208        -            436   1.5e-08   31.2   0.4   1   3   1.1e-05   0.00024   17.4   0.1   184   313    31   165    17   198 0.60 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 197652at33208        -            436   1.5e-08   31.2   0.4   2   3       2.5        59   -0.4   0.0   203   240   177   211   140   224 0.67 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 197652at33208        -            436   1.5e-08   31.2   0.4   3   3   0.00078     0.018   11.2   0.0   317   347   255   285   235   299 0.74 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 197652at33208        -            436   4.9e-08   29.6   0.0   1   3   0.00043    0.0099   12.1   0.0   279   336    48   107     1   121 0.84 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 197652at33208        -            436   4.9e-08   29.6   0.0   2   3    0.0028     0.064    9.4   0.0   257   304   131   179   123   184 0.84 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 197652at33208        -            436   4.9e-08   29.6   0.0   3   3     0.078       1.8    4.6   0.0   287   315   209   237   199   239 0.87 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 197652at33208        -            436   5.6e-08   29.4   2.6   1   5      0.24       5.6    3.0   0.0   304   337    11    44     6    56 0.90 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 197652at33208        -            436   5.6e-08   29.4   2.6   2   5     0.062       1.4    4.9   0.0   278   334    27    87    24    89 0.79 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 197652at33208        -            436   5.6e-08   29.4   2.6   3   5     1e-05   0.00024   17.4   0.1   279   343    74   142    53   158 0.78 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 197652at33208        -            436   5.6e-08   29.4   2.6   4   5      0.18       4.2    3.4   0.0   193   218   171   196   150   206 0.83 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 197652at33208        -            436   5.6e-08   29.4   2.6   5   5     0.067       1.5    4.8   0.1   279   339   180   248   178   274 0.68 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 197652at33208        -            436     1e-07   28.5   0.1   1   2   8.7e-06    0.0002   17.6   0.3   183   333    46   204    34   210 0.80 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 197652at33208        -            436     1e-07   28.5   0.1   2   2    0.0061      0.14    8.3   0.0   286   339   241   295   210   310 0.72 -
414579at33208_45351_0:002918|TRINITY_DN90394_c3_g1_i5:189-1022|-    -            278 197652at33208        -            436   1.9e-07   27.6   0.1   1   2   7.8e-06   0.00018   17.8   0.1   304   383   106   186    99   194 0.82 -
414579at33208_45351_0:002918|TRINITY_DN90394_c3_g1_i5:189-1022|-    -            278 197652at33208        -            436   1.9e-07   27.6   0.1   2   2    0.0087       0.2    7.8   0.0   279   333   222   277   206   278 0.79 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+ -            173 197652at33208        -            436   2.9e-07   27.0   0.0   1   1   1.6e-08   3.7e-07   26.6   0.0   185   335    12   173     8   173 0.83 -
357580at33208_29058_0:002adb|TRINITY_DN89507_c4_g1_i7:487-1092|+    -            202 197652at33208        -            436   3.4e-07   26.8   0.0   1   1   1.8e-08   4.2e-07   26.5   0.0   278   335    20    77     7   107 0.89 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+  -            212 197652at33208        -            436   5.1e-07   26.2   0.0   1   2      0.21       4.9    3.2   0.0   194   233    11    50     6    74 0.81 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+  -            212 197652at33208        -            436   5.1e-07   26.2   0.0   2   2   7.7e-07   1.8e-05   21.1   0.0   191   254    94   157    81   173 0.90 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 197652at33208        -            436   1.3e-06   24.9   0.0   1   2   2.7e-07   6.3e-06   22.6   0.0   260   350    13   105     4   115 0.79 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 197652at33208        -            436   1.3e-06   24.9   0.0   2   2       3.3        76   -0.7   0.0   191   215   108   132    90   137 0.76 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 197652at33208        -            436   1.4e-06   24.8   0.2   1   3    0.0026     0.059    9.5   0.0   300   339    12    51     2    58 0.87 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 197652at33208        -            436   1.4e-06   24.8   0.2   2   3   0.00034    0.0079   12.4   0.1   261   335    61   136    54   154 0.80 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 197652at33208        -            436   1.4e-06   24.8   0.2   3   3       9.1   2.1e+02   -2.2   0.0   270   333   249   271   224   275 0.60 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 197652at33208        -            436   1.6e-06   24.6   0.1   1   2      0.01      0.24    7.5   0.0   294   334    47    87    22    93 0.82 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 197652at33208        -            436   1.6e-06   24.6   0.1   2   2     5e-05    0.0011   15.2   0.0   250   335   104   190    88   201 0.82 -
552764at33208_6526_0:0002fd|TRINITY_DN86376_c13_g1_i4:38-583|+      -            182 197652at33208        -            436     3e-06   23.6   0.0   1   1   1.5e-07   3.6e-06   23.4   0.0   133   237     5   118     1   138 0.69 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 197652at33208        -            436   3.9e-06   23.3   0.9   1   5      0.29       6.7    2.7   0.0   308   335    21    47     6    93 0.50 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 197652at33208        -            436   3.9e-06   23.3   0.9   2   5       0.1       2.4    4.2   0.0   189   253   187   251   172   252 0.65 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 197652at33208        -            436   3.9e-06   23.3   0.9   3   5    0.0037     0.085    9.0   0.1   190   248   230   292   221   294 0.72 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 197652at33208        -            436   3.9e-06   23.3   0.9   4   5     0.074       1.7    4.7   0.0   302   334   269   301   264   323 0.90 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 197652at33208        -            436   3.9e-06   23.3   0.9   5   5      0.22       5.2    3.1   0.0   299   326   378   405   337   413 0.71 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 197652at33208        -            436     6e-06   22.7   3.1   1   3    0.0023     0.054    9.6   0.0   192   235     1    46     1    65 0.75 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 197652at33208        -            436     6e-06   22.7   3.1   2   3     0.056       1.3    5.1   0.2   275   332    63   119    46   127 0.71 -
197652at33208_48498_0:000128|TRINITY_DN89994_c8_g2_i2:1299-1808|+   -            170 197652at33208        -            436     6e-06   22.7   3.1   3   3    0.0059      0.13    8.3   0.1   304   335   139   170   131   170 0.92 -
327301at33208_57068_0:00114f|TRINITY_DN93656_c5_g4_i7:173-481|+     -            103 197652at33208        -            436   9.2e-06   22.1   0.0   1   1   4.1e-07   9.4e-06   22.0   0.0   270   336     6    73     1    97 0.88 -
414579at33208_6958_0:002d5d|TRINITY_DN89543_c6_g1_i3:198-839|-      -            214 197652at33208        -            436   1.1e-05   21.8   0.5   1   3      0.16       3.7    3.6   0.1   275   337     5    72     1    80 0.76 -
414579at33208_6958_0:002d5d|TRINITY_DN89543_c6_g1_i3:198-839|-      -            214 197652at33208        -            436   1.1e-05   21.8   0.5   2   3      0.11       2.6    4.1   0.0   302   336    90   124    85   169 0.82 -
414579at33208_6958_0:002d5d|TRINITY_DN89543_c6_g1_i3:198-839|-      -            214 197652at33208        -            436   1.1e-05   21.8   0.5   3   3   0.00067     0.015   11.4   0.0   178   215   167   204   159   211 0.84 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+    -            235 197652at33208        -            436   1.3e-05   21.6   0.4   1   3     0.028      0.65    6.1   0.0   303   336     2    36     1    46 0.84 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+    -            235 197652at33208        -            436   1.3e-05   21.6   0.4   2   3   0.00027    0.0062   12.7   0.1   270   333    61   124    52   138 0.90 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+    -            235 197652at33208        -            436   1.3e-05   21.6   0.4   3   3     0.032      0.74    5.9   0.0   277   329   110   163   103   193 0.86 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 197652at33208        -            436   1.3e-05   21.6   0.4   1   2   0.00059     0.014   11.6   0.1   272   389     3   138     1   172 0.66 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 197652at33208        -            436   1.3e-05   21.6   0.4   2   2      0.25       5.7    3.0   0.0   187   226   221   261   210   272 0.82 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 197652at33208        -            436   1.4e-05   21.5   0.2   1   1   1.2e-06   2.8e-05   20.4   0.2   179   337   313   483   290   495 0.73 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-   -            324 197652at33208        -            436   1.8e-05   21.1   0.0   1   1     8e-06   0.00018   17.8   0.0   192   333   158   324   143   324 0.63 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 197652at33208        -            436   2.5e-05   20.6   0.0   1   2   0.00071     0.016   11.3   0.0   176   223   260   308   224   319 0.62 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 197652at33208        -            436   2.5e-05   20.6   0.0   2   2     0.038      0.86    5.7   0.0   190   253   492   555   466   562 0.51 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 197652at33208        -            436   3.2e-05   20.3   0.1   1   3     0.026      0.61    6.2   0.0   179   216    38    75    29    87 0.70 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 197652at33208        -            436   3.2e-05   20.3   0.1   2   3   0.00078     0.018   11.2   0.0   273   348    97   171    87   175 0.85 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 197652at33208        -            436   3.2e-05   20.3   0.1   3   3       7.3   1.7e+02   -1.9   0.0   300   336   217   258   204   263 0.73 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 197652at33208        -            436   3.4e-05   20.2   0.0   1   3     0.089       2.1    4.4   0.0   303   335     3    36     1    44 0.79 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 197652at33208        -            436   3.4e-05   20.2   0.0   2   3      0.12       2.7    4.0   0.0   279   340    22    91    18    98 0.64 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 197652at33208        -            436   3.4e-05   20.2   0.0   3   3   0.00083     0.019   11.1   0.0   264   340    98   180    91   187 0.78 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-  -            606 197652at33208        -            436   4.4e-05   19.8   0.6   1   1   4.6e-06    0.0001   18.6   0.4   260   341    45   128    40   142 0.86 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 197652at33208        -            436   5.4e-05   19.5   0.2   1   4      0.38       8.8    2.3   0.0   303   339   201   240   171   267 0.57 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 197652at33208        -            436   5.4e-05   19.5   0.2   2   4     0.018      0.41    6.7   0.0   269   332   355   420   349   428 0.88 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 197652at33208        -            436   5.4e-05   19.5   0.2   3   4       2.1        48   -0.1   0.0   285   333   591   639   581   653 0.73 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 197652at33208        -            436   5.4e-05   19.5   0.2   4   4     0.041      0.95    5.5   0.2   271   342   619   700   607   729 0.59 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+  -           1204 197652at33208        -            436   5.7e-05   19.4   0.1   1   2     1e-05   0.00023   17.4   0.0   262   336    16    89     9   116 0.80 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+  -           1204 197652at33208        -            436   5.7e-05   19.4   0.1   2   2       7.5   1.7e+02   -1.9   0.0   186   219   267   300   243   320 0.74 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 197652at33208        -            436   6.6e-05   19.2   0.3   1   3    0.0012     0.028   10.6   0.0   275   334    33    95    23   109 0.82 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 197652at33208        -            436   6.6e-05   19.2   0.3   2   3      0.68        16    1.5   0.0   188   220   122   155   114   170 0.77 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 197652at33208        -            436   6.6e-05   19.2   0.3   3   3     0.099       2.3    4.3   0.0   277   306   176   205   151   210 0.79 -
356175at33208_294128_0:002d0c|TRINITY_DN78626_c10_g1_i1:837-2192|-  -            452 197652at33208        -            436   6.6e-05   19.2   0.0   1   1   1.6e-05   0.00036   16.8   0.0   189   231   197   239   180   260 0.82 -
537718at33208_127582_0:0047f0|TRINITY_DN84623_c10_g1_i1:4243-4635|+ -            131 197652at33208        -            436   6.7e-05   19.2   0.4   1   1     5e-05    0.0011   15.1   0.4   263   331     1    67     1   120 0.77 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 197652at33208        -            436   8.5e-05   18.9   0.2   1   3     0.011      0.26    7.4   0.0   275   337     9    70     3    76 0.81 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 197652at33208        -            436   8.5e-05   18.9   0.2   2   3    0.0052      0.12    8.5   0.1   171   215    64   108    56   246 0.82 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 197652at33208        -            436   8.5e-05   18.9   0.2   3   3      0.67        15    1.5   0.0   191   226   222   258   205   275 0.66 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 197652at33208        -            436   8.5e-05   18.9   0.2   1   2   0.00061     0.014   11.6   0.0   185   219    56    90    45   129 0.78 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 197652at33208        -            436   8.5e-05   18.9   0.2   2   2     0.068       1.6    4.8   0.1   190   334   152   302   123   325 0.58 -
399439at33208_294128_0:002695|TRINITY_DN89960_c7_g3_i3:953-2008|-   -            352 197652at33208        -            436   9.6e-05   18.7   0.0   1   1   6.9e-06   0.00016   18.0   0.0   269   336   108   177    93   190 0.86 -
398013at33208_6850_0:003fd3|TRINITY_DN75538_c8_g1_i1:285-560|-      -             92 197652at33208        -            436   0.00012   18.4   0.1   1   1   6.2e-06   0.00014   18.1   0.1   298   337    51    90    40    91 0.92 -
502128at33208_7962_0:0096d6|TRINITY_DN79934_c8_g3_i2:2444-2572|-    -             43 197652at33208        -            436   0.00015   18.1   0.0   1   1   6.5e-06   0.00015   18.1   0.0   304   339     3    38     1    43 0.90 -
357580at33208_133434_0:001ead|TRINITY_DN75507_c5_g2_i8:977-1660|+   -            228 197652at33208        -            436   0.00018   17.8   0.4   1   2   4.3e-05   0.00098   15.4   0.1   303   339     4    40     1    78 0.80 -
357580at33208_133434_0:001ead|TRINITY_DN75507_c5_g2_i8:977-1660|+   -            228 197652at33208        -            436   0.00018   17.8   0.4   2   2       1.2        28    0.7   0.1   319   342    69    92    58   112 0.80 -
414579at33208_10228_0:002659|TRINITY_DN90496_c0_g1_i6:1386-1919|-   -            178 197652at33208        -            436   0.00021   17.6   0.1   1   2   0.00046      0.01   12.0   0.1   305   334     1    30     1    49 0.87 -
414579at33208_10228_0:002659|TRINITY_DN90496_c0_g1_i6:1386-1919|-   -            178 197652at33208        -            436   0.00021   17.6   0.1   2   2      0.14       3.1    3.8   0.0   292   333   134   175   128   178 0.90 -
552764at33208_7719_0:0001f9|TRINITY_DN93082_c2_g2_i2:380-856|+      -            159 197652at33208        -            436   0.00029   17.1   0.0   1   1   1.6e-05   0.00036   16.8   0.0   140   238     4   110     2   124 0.78 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-   -            220 197652at33208        -            436    0.0003   17.1   1.2   1   2   0.00095     0.022   10.9   0.0   302   339     8    43     3    51 0.78 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-   -            220 197652at33208        -            436    0.0003   17.1   1.2   2   2      0.52        12    1.9   0.1   197   220   169   192   151   201 0.78 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-   -            144 197652at33208        -            436   0.00037   16.8   0.1   1   2     6e-05    0.0014   14.9   0.1   277   337    33    95    17   110 0.81 -
357580at33208_307959_0:0054da|TRINITY_DN80445_c11_g1_i4:422-853|-   -            144 197652at33208        -            436   0.00037   16.8   0.1   2   2         2        47   -0.1   0.0   262   293   105   136    94   140 0.58 -
