#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243   3.1e-65  217.4   3.0   1   1   5.3e-66   1.2e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   1.4e-12   45.0   1.6   3   4   1.6e-05   0.00038   17.4   0.0    41   128   203   298   195   303 0.83 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   1.4e-12   45.0   1.6   4   4   3.7e-06   8.6e-05   19.5   0.2    34   132   490   593   461   640 0.77 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 537718at33208        -            243   2.5e-12   44.1   0.0   1   3      0.94        22    1.8   0.0   112   134    14    36     2    55 0.60 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 537718at33208        -            243   2.5e-12   44.1   0.0   2   3   1.7e-06   3.8e-05   20.6   0.0    36    89    58   116    44   125 0.85 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-   -            216 537718at33208        -            243   2.5e-12   44.1   0.0   3   3   8.5e-06    0.0002   18.3   0.0    29    89   149   215   143   216 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 537718at33208        -            243   3.2e-12   43.8   1.0   1   3       2.1        48    0.7   0.0    37    69     2    34     1    43 0.56 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 537718at33208        -            243   3.2e-12   43.8   1.0   2   3   0.00059     0.014   12.3   0.0    35    74    43    81    26    88 0.85 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 537718at33208        -            243   3.2e-12   43.8   1.0   3   3   5.7e-09   1.3e-07   28.7   0.2    37   103    87   158    82   169 0.87 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 537718at33208        -            243   3.5e-12   43.7   4.1   1   4   0.00016    0.0036   14.2   1.4    20   130    95   225    91   237 0.77 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 537718at33208        -            243   3.5e-12   43.7   4.1   2   4     0.083       1.9    5.3   0.1    59   126   260   331   253   335 0.64 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 537718at33208        -            243   3.5e-12   43.7   4.1   3   4     0.026      0.59    6.9   0.0    34    75   317   361   297   365 0.79 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 537718at33208        -            243   3.5e-12   43.7   4.1   4   4     3e-06   6.8e-05   19.8   0.0    18    87   343   418   340   424 0.79 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 537718at33208        -            243   4.9e-12   43.2   3.5   1   3   2.1e-05   0.00048   17.0   0.1    64   133    33   110    20   118 0.81 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 537718at33208        -            243   4.9e-12   43.2   3.5   2   3   7.6e-07   1.7e-05   21.8   1.2    25   141   117   253    83   255 0.75 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 537718at33208        -            243   4.9e-12   43.2   3.5   3   3   0.00016    0.0037   14.2   0.0    39    90   229   282   210   290 0.88 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 537718at33208        -            243   3.2e-11   40.5   0.3   1   2   7.6e-09   1.7e-07   28.3   0.0    30   165    22   174    14   194 0.76 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 537718at33208        -            243   3.2e-11   40.5   0.3   2   2     0.019      0.45    7.3   0.2   104   147   188   231   177   255 0.72 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 537718at33208        -            243   3.6e-11   40.4   0.2   1   2   0.00018    0.0042   13.9   0.0    36    86   166   218   156   231 0.88 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 537718at33208        -            243   3.6e-11   40.4   0.2   2   2   3.1e-07   7.1e-06   23.0   0.1    35   117   331   419   318   440 0.75 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 537718at33208        -            243     4e-11   40.2   0.0   1   3   0.00029    0.0066   13.3   0.1    36   130    11   118     2   121 0.76 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 537718at33208        -            243     4e-11   40.2   0.0   2   3   4.9e-08   1.1e-06   25.6   0.0    35   151    60   186    51   188 0.79 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 537718at33208        -            243     4e-11   40.2   0.0   3   3     0.013      0.29    7.9   0.0    37    69   187   219   185   223 0.90 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 537718at33208        -            243   4.2e-11   40.1   5.9   1   2   1.6e-06   3.7e-05   20.7   0.9    64   148     2    96     1   100 0.74 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 537718at33208        -            243   4.2e-11   40.1   5.9   2   2   3.4e-07   7.9e-06   22.9   0.7    26   128    84   201    81   201 0.80 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 537718at33208        -            243   4.6e-11   40.0   0.4   1   1   4.3e-12     1e-10   38.9   0.3    35   130    46   151    39   153 0.86 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 537718at33208        -            243   1.2e-10   38.7   0.0   1   2   0.00011    0.0026   14.6   0.0    35    89    17    73     3   101 0.72 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 537718at33208        -            243   1.2e-10   38.7   0.0   2   2   1.6e-06   3.6e-05   20.7   0.0    38    94   112   170   108   197 0.83 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+ -            173 537718at33208        -            243   2.9e-10   37.4   0.1   1   2   2.6e-06   5.9e-05   20.0   0.0    35    82    26    74    21    79 0.87 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+ -            173 537718at33208        -            243   2.9e-10   37.4   0.1   2   2   9.2e-05    0.0021   14.9   0.0    39   130    73   173    71   173 0.79 -
537718at33208_127582_0:0047f0|TRINITY_DN84623_c10_g1_i1:4243-4635|+ -            131 537718at33208        -            243   6.4e-10   36.3   0.6   1   2   0.00021    0.0048   13.8   0.1    31    89     9    66     1    70 0.81 -
537718at33208_127582_0:0047f0|TRINITY_DN84623_c10_g1_i1:4243-4635|+ -            131 537718at33208        -            243   6.4e-10   36.3   0.6   2   2   8.6e-07     2e-05   21.6   0.0    35    90    71   127    68   130 0.89 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 537718at33208        -            243   7.5e-10   36.0   1.0   1   2     0.007      0.16    8.8   0.1    40    87    35    95     9   104 0.65 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 537718at33208        -            243   7.5e-10   36.0   1.0   2   2   2.6e-07   6.1e-06   23.3   0.1    39   122   182   275   171   275 0.85 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 537718at33208        -            243     9e-10   35.8   1.7   1   5         2        46    0.7   0.0   143   182    14    59     8    89 0.69 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 537718at33208        -            243     9e-10   35.8   1.7   2   5       3.9        89   -0.2   0.0    35    68    66    99    42   123 0.81 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 537718at33208        -            243     9e-10   35.8   1.7   3   5    0.0031     0.072    9.9   0.0    37    95   173   240   168   282 0.81 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 537718at33208        -            243     9e-10   35.8   1.7   4   5       1.2        28    1.4   0.0   102   135   395   431   366   436 0.77 -
279631at33208_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 537718at33208        -            243     9e-10   35.8   1.7   5   5   1.5e-05   0.00034   17.5   0.1    39    87   586   636   574   692 0.86 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 537718at33208        -            243   1.3e-09   35.2   0.0   1   3   0.00026    0.0059   13.5   0.0    35    87    11    63     7    71 0.90 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 537718at33208        -            243   1.3e-09   35.2   0.0   2   3     0.003     0.068   10.0   0.0    25    95    77   152    65   165 0.80 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 537718at33208        -            243   1.3e-09   35.2   0.0   3   3     0.017       0.4    7.5   0.0    37    75   232   270   222   274 0.92 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 537718at33208        -            243   1.5e-09   35.1   4.8   1   2     7e-09   1.6e-07   28.4   0.3    26   130    32   149    24   152 0.78 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 537718at33208        -            243   1.5e-09   35.1   4.8   2   2   5.8e-05    0.0013   15.6   0.5    46   136   101   197    92   208 0.81 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 537718at33208        -            243   2.6e-09   34.3   0.2   1   4    0.0058      0.13    9.0   0.0    66   129    20    88     6   100 0.80 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 537718at33208        -            243   2.6e-09   34.3   0.2   2   4     0.025      0.58    7.0   0.0   103   151   146   198   137   224 0.76 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 537718at33208        -            243   2.6e-09   34.3   0.2   3   4   0.00029    0.0067   13.3   0.0    36    88   240   298   200   310 0.84 -
433216at33208_8030_0:00519a|TRINITY_DN92934_c7_g1_i5:573-1811|-     -            413 537718at33208        -            243   2.6e-09   34.3   0.2   4   4       6.7   1.5e+02   -1.0   0.0    62   121   382   406   345   413 0.49 -
453052at33208_1155016_0:00267c|TRINITY_DN71112_c3_g1_i1:14-427|-    -            138 537718at33208        -            243   8.1e-09   32.7   0.4   1   1   4.2e-10   9.5e-09   32.4   0.4    41   146     1   115     1   137 0.79 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 537718at33208        -            243   1.5e-08   31.8   0.4   1   2       5.1   1.2e+02   -0.6   0.0   135   150   163   178   130   183 0.65 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 537718at33208        -            243   1.5e-08   31.8   0.4   2   2   3.3e-09   7.5e-08   29.5   0.1    36   136   180   294   161   300 0.75 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 537718at33208        -            243   2.1e-08   31.3   1.3   1   3   1.2e-07   2.7e-06   24.4   0.2    37   132   141   246   139   261 0.80 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 537718at33208        -            243   2.1e-08   31.3   1.3   2   3       1.5        34    1.1   0.0    64    90   284   311   272   335 0.57 -
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 537718at33208        -            243   2.1e-08   31.3   1.3   3   3       9.3   2.1e+02   -1.5   0.0   106   129   392   415   376   415 0.81 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 537718at33208        -            243   2.5e-08   31.1   0.0   1   2   4.2e-06   9.7e-05   19.3   0.0    60   128     3    77     1    78 0.85 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 537718at33208        -            243   2.5e-08   31.1   0.0   2   2   0.00022    0.0051   13.7   0.0    37    87    64   116    60   120 0.91 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 537718at33208        -            243     3e-08   30.8   0.1   1   3     0.013      0.29    7.9   0.0    59    91    12    47     4    52 0.79 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 537718at33208        -            243     3e-08   30.8   0.1   2   3   1.1e-05   0.00025   18.0   0.0    27   101    17   105    14   118 0.67 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 537718at33208        -            243     3e-08   30.8   0.1   3   3    0.0065      0.15    8.9   0.0    34    75   118   161   112   187 0.71 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 537718at33208        -            243   4.5e-08   30.2   0.2   1   4       3.5        81   -0.1   0.0   213   240     4    32     2    35 0.63 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 537718at33208        -            243   4.5e-08   30.2   0.2   2   4   6.5e-05    0.0015   15.4   0.0    25    87    36   101    27   111 0.84 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 537718at33208        -            243   4.5e-08   30.2   0.2   3   4    0.0071      0.16    8.8   0.0    36    56    90   110    86   119 0.82 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 537718at33208        -            243   4.5e-08   30.2   0.2   4   4     0.012      0.27    8.0   0.0   100   135   137   173   126   198 0.85 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 537718at33208        -            243     6e-08   29.8   0.1   1   2    0.0011     0.025   11.4   0.0    37    87    50   106    45   106 0.80 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 537718at33208        -            243     6e-08   29.8   0.1   2   2   7.2e-08   1.6e-06   25.1   0.0    37   164    96   236    92   262 0.77 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 537718at33208        -            243   9.7e-08   29.1   0.6   1   3      0.13       3.1    4.6   0.0   112   132    30    50    14    73 0.82 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 537718at33208        -            243   9.7e-08   29.1   0.6   2   3   7.5e-06   0.00017   18.5   0.0    36    87   126   179   111   189 0.85 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 537718at33208        -            243   9.7e-08   29.1   0.6   3   3         1        23    1.7   0.0    41    59   267   285   261   322 0.58 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+  -            317 537718at33208        -            243   1.1e-07   29.0   0.1   1   2   1.8e-05   0.00042   17.2   0.1    27   132     8   131     2   156 0.68 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+  -            317 537718at33208        -            243   1.1e-07   29.0   0.1   2   2    0.0044       0.1    9.4   0.0    41   128   217   317   206   317 0.68 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 537718at33208        -            243   1.1e-07   29.0   1.3   1   2   1.1e-07   2.4e-06   24.6   0.2    28   130     6   121     1   132 0.68 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 537718at33208        -            243   1.1e-07   29.0   1.3   2   2      0.66        15    2.3   0.0   117   130   325   338   298   340 0.74 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 537718at33208        -            243   1.1e-07   28.9   0.0   1   3   1.7e-05   0.00039   17.3   0.0    26    89     3    76     1   103 0.74 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 537718at33208        -            243   1.1e-07   28.9   0.0   2   3     0.019      0.44    7.4   0.0    28    64    98   134    85   145 0.79 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 537718at33208        -            243   1.1e-07   28.9   0.0   3   3       2.3        53    0.5   0.0    36    53   161   178   142   202 0.80 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 537718at33208        -            243   1.3e-07   28.7   3.4   1   2    0.0058      0.13    9.0   0.1    76   132    56   116    33   121 0.68 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 537718at33208        -            243   1.3e-07   28.7   3.4   2   2   9.7e-06   0.00022   18.1   0.5    65   195   177   330   173   343 0.71 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 537718at33208        -            243   1.4e-07   28.6   0.1   1   3    0.0015     0.035   11.0   0.0    38    91    25    86    22    96 0.69 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 537718at33208        -            243   1.4e-07   28.6   0.1   2   3   0.00017    0.0038   14.1   0.0    32    74   128   170   116   198 0.81 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 537718at33208        -            243   1.4e-07   28.6   0.1   3   3       4.3        99   -0.4   0.0    36    62   174   200   171   207 0.82 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-  -            606 537718at33208        -            243   1.6e-07   28.4   0.3   1   2   1.9e-07   4.4e-06   23.7   0.3    58   130    43   122    28   145 0.79 -
153034at33208_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-  -            606 537718at33208        -            243   1.6e-07   28.4   0.3   2   2       1.2        28    1.4   0.0   107   135   246   274   239   284 0.88 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 537718at33208        -            243   3.2e-07   27.4   0.5   1   2   1.2e-05   0.00028   17.8   0.1    35    87   334   389   311   399 0.85 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 537718at33208        -            243   3.2e-07   27.4   0.5   2   2    0.0013      0.03   11.2   0.1    36   138   378   489   375   496 0.72 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-   -            220 537718at33208        -            243   4.3e-07   27.0   0.1   1   3   0.00058     0.013   12.3   0.0    31    75    18    62     1    71 0.62 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-   -            220 537718at33208        -            243   4.3e-07   27.0   0.1   2   3    0.0027     0.063   10.1   0.1    38    89    95   146    88   187 0.80 -
537718at33208_6945_0:004d2a|TRINITY_DN82935_c12_g1_i1:1765-2424|-   -            220 537718at33208        -            243   4.3e-07   27.0   0.1   3   3       1.1        25    1.6   0.0    26    56   162   192   147   203 0.68 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 537718at33208        -            243   4.6e-07   26.9   0.1   1   4   0.00028    0.0065   13.3   0.1    42   137    28   129    19   135 0.79 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 537718at33208        -            243   4.6e-07   26.9   0.1   2   4   0.00032    0.0073   13.2   0.1    30    92    99   165    83   200 0.74 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 537718at33208        -            243   4.6e-07   26.9   0.1   3   4       1.3        29    1.4   0.0    36    87   148   201   142   217 0.78 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 537718at33208        -            243   4.6e-07   26.9   0.1   4   4      0.06       1.4    5.7   0.0    35    90   230   289   219   308 0.73 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 537718at33208        -            243   4.8e-07   26.9   0.0   1   2     0.051       1.2    6.0   0.0    37    58    20    41     5    49 0.74 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 537718at33208        -            243   4.8e-07   26.9   0.0   2   2   4.6e-06   0.00011   19.2   0.0    35    90    66   123    56   166 0.89 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+  -            212 537718at33208        -            243   5.5e-07   26.7   0.0   1   2      0.16       3.8    4.3   0.0   143   164     9    30     6    67 0.73 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+  -            212 537718at33208        -            243   5.5e-07   26.7   0.0   2   2    0.0015     0.035   10.9   0.0    45    98    70   126    58   132 0.87 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 537718at33208        -            243   7.4e-07   26.2   0.0   1   2       3.3        76    0.0   0.0    49    73     2    26     1    33 0.87 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 537718at33208        -            243   7.4e-07   26.2   0.0   2   2   2.4e-07   5.6e-06   23.4   0.0    35   132    30   135     9   140 0.76 -
472352at33208_378494_0:003283|TRINITY_DN75137_c7_g5_i1:800-1183|-   -            128 537718at33208        -            243   8.7e-07   26.0   0.0   1   1   4.9e-08   1.1e-06   25.6   0.0    36    88     9    65     5    77 0.85 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 537718at33208        -            243   9.6e-07   25.9   0.1   1   3      0.22       5.2    3.8   0.0    38    56    73    91    51   137 0.70 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 537718at33208        -            243   9.6e-07   25.9   0.1   2   3       4.6     1e+02   -0.4   0.0   144   186   110   162   101   204 0.66 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 537718at33208        -            243   9.6e-07   25.9   0.1   3   3   1.1e-05   0.00025   18.0   0.0    36    75   287   326   271   337 0.89 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 537718at33208        -            243   1.4e-06   25.4   0.0   1   2   7.1e-06   0.00016   18.6   0.5    36   130    29   133    24   156 0.77 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 537718at33208        -            243   1.4e-06   25.4   0.0   2   2      0.21       4.8    3.9   0.0    35    84   160   213   152   224 0.71 -
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-     -            156 537718at33208        -            243   1.7e-06   25.0   0.1   1   1   8.2e-08   1.9e-06   24.9   0.1    99   178     4    88     1   146 0.75 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 537718at33208        -            243   2.1e-06   24.8   5.5   1   2   1.9e-06   4.4e-05   20.4   1.5    26   148    16   160     5   166 0.71 -
365323at33208_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+    -            306 537718at33208        -            243   2.1e-06   24.8   5.5   2   2      0.13       2.9    4.7   0.2    36   129   178   288   162   298 0.67 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+  -            303 537718at33208        -            243   2.6e-06   24.5   1.2   1   2      0.32       7.4    3.3   0.0   175   200    51    76    38    89 0.75 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+  -            303 537718at33208        -            243   2.6e-06   24.5   1.2   2   2   4.2e-06   9.6e-05   19.3   0.5    58   131    89   170    84   197 0.80 -
502128at33208_7962_0:0096d6|TRINITY_DN79934_c8_g3_i2:2444-2572|-    -             43 537718at33208        -            243     4e-06   23.8   0.1   1   1   1.9e-07   4.3e-06   23.7   0.1   104   135     8    39     2    42 0.86 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 537718at33208        -            243   7.9e-06   22.9   1.0   1   2   0.00033    0.0076   13.1   0.6    41   132    50   146    31   202 0.69 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 537718at33208        -            243   7.9e-06   22.9   1.0   2   2      0.21       4.8    3.9   0.0    20    56   205   241   194   249 0.81 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 537718at33208        -            243   1.2e-05   22.3   0.1   1   2   0.00014    0.0032   14.3   0.0    59    92     2    38     1    44 0.83 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 537718at33208        -            243   1.2e-05   22.3   0.1   2   2     0.033      0.75    6.6   0.0    50    89    51    92    41    95 0.65 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-  -            289 537718at33208        -            243   1.2e-05   22.2   2.1   1   3       1.4        32    1.3   0.9    83   130     5    56     1    59 0.64 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-  -            289 537718at33208        -            243   1.2e-05   22.2   2.1   2   3   3.9e-05    0.0009   16.1   0.0    30    75   215   261   180   268 0.72 -
179485at33208_83485_0:002388|TRINITY_DN93718_c1_g1_i11:1912-2778|-  -            289 537718at33208        -            243   1.2e-05   22.2   2.1   3   3       1.4        33    1.2   0.0    37    52   272   287   268   289 0.67 -
414579at33208_400682_0:00168e|TRINITY_DN83196_c10_g1_i2:3448-4131|+ -            228 537718at33208        -            243   1.4e-05   22.0   0.1   1   2   6.2e-05    0.0014   15.5   0.1    30    73    15    58     8    73 0.89 -
414579at33208_400682_0:00168e|TRINITY_DN83196_c10_g1_i2:3448-4131|+ -            228 537718at33208        -            243   1.4e-05   22.0   0.1   2   2      0.18       4.1    4.2   0.0    38    85    73   119    69   147 0.78 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 537718at33208        -            243   1.8e-05   21.7   1.6   1   2     9e-05    0.0021   15.0   0.3    35   122    68   172    65   177 0.68 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 537718at33208        -            243   1.8e-05   21.7   1.6   2   2      0.14       3.2    4.5   0.1    36   131   242   259   207   272 0.59 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 537718at33208        -            243   2.2e-05   21.4   0.2   1   3   0.00014    0.0033   14.3   0.0    37    89    36    93    15   110 0.81 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 537718at33208        -            243   2.2e-05   21.4   0.2   2   3       1.2        27    1.5   0.0   211   233   134   156   114   163 0.86 -
414579at33208_156304_0:00194e|TRINITY_DN75389_c16_g1_i4:723-1364|+  -            214 537718at33208        -            243   2.2e-05   21.4   0.2   3   3      0.84        19    2.0   0.0   107   135   169   197   162   209 0.81 -
