#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 40929at6656          -            563    5e-205  679.6   0.0   1   1  3.3e-206  7.1e-205  679.1   0.0     1   464   104   619   104   619 0.91 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 40929at6656          -            563   3.4e-20   69.4   0.6   2   3   4.3e-13   9.3e-12   41.6   0.2   374   453   721   799   718   830 0.89 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 40929at6656          -            563   3.4e-20   69.4   0.6   3   3     0.002     0.042    9.7   0.0   353   412   877   938   865   945 0.85 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 40929at6656          -            563   4.5e-19   65.7   1.0   1   2   3.8e-06   8.2e-05   18.6   0.0   418   454    30    66    23    71 0.85 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 40929at6656          -            563   4.5e-19   65.7   1.0   2   2   2.6e-14   5.6e-13   45.6   0.7   333   455    73   195    67   212 0.91 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 40929at6656          -            563   5.8e-19   65.3   2.2   1   2      0.09       1.9    4.2   0.1   337   410    84   115    53   161 0.60 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 40929at6656          -            563   5.8e-19   65.3   2.2   2   2   6.4e-19   1.4e-17   60.8   0.4   323   459   203   345   184   356 0.82 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 40929at6656          -            563   1.4e-18   64.1   0.2   1   2   7.7e-18   1.6e-16   57.3   0.1   364   465     5   105     3   114 0.89 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 40929at6656          -            563   1.4e-18   64.1   0.2   2   2     0.051       1.1    5.0   0.0   492   518   113   139   102   154 0.84 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 40929at6656          -            563     2e-18   63.6   8.4   1   4   4.8e-10     1e-08   31.5   2.8   337   513    33   198    28   199 0.79 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 40929at6656          -            563     2e-18   63.6   8.4   2   4   0.00042     0.009   11.9   0.0   327   383   160   216   155   219 0.91 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 40929at6656          -            563     2e-18   63.6   8.4   3   4   3.5e-09   7.5e-08   28.7   0.2   323   402   197   277   196   324 0.81 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 40929at6656          -            563     2e-18   63.6   8.4   4   4         9   1.9e+02   -2.4   0.0   497   523   370   396   354   410 0.61 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 40929at6656          -            563   2.4e-18   63.3   5.5   1   3   1.9e-16   4.2e-15   52.6   2.4   320   450    68   198    60   201 0.93 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 40929at6656          -            563   2.4e-18   63.3   5.5   2   3       3.3        71   -1.0   0.0   331   445   390   419   374   435 0.64 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 40929at6656          -            563   2.4e-18   63.3   5.5   3   3     0.006      0.13    8.1   0.0   492   528   491   527   483   546 0.86 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 40929at6656          -            563   7.1e-18   61.8   4.5   1   3     0.049       1.1    5.1   0.0   498   519     9    30     1    46 0.48 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 40929at6656          -            563   7.1e-18   61.8   4.5   2   3   3.3e-15     7e-14   48.6   1.6   337   463    39   171    33   171 0.82 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 40929at6656          -            563   7.1e-18   61.8   4.5   3   3   0.00083     0.018   10.9   0.0   374   411   166   204   163   215 0.78 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 40929at6656          -            563   9.8e-18   61.3   2.7   1   2   2.4e-15   5.1e-14   49.0   0.2   332   446   153   280   148   310 0.77 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 40929at6656          -            563   9.8e-18   61.3   2.7   2   2    0.0014      0.03   10.2   0.0   497   525   312   340   303   349 0.87 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 40929at6656          -            563   1.1e-17   61.1   9.3   1   3   0.00039    0.0083   12.0   1.3   376   450    27    99     2   107 0.78 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 40929at6656          -            563   1.1e-17   61.1   9.3   2   3   6.3e-15   1.4e-13   47.6   1.2   332   463   109   244   105   245 0.88 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 40929at6656          -            563   1.1e-17   61.1   9.3   3   3    0.0011     0.025   10.5   0.0   329   365   236   272   232   272 0.93 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 40929at6656          -            563   9.5e-17   58.0   0.2   1   2     4e-05   0.00087   15.3   0.0   376   419    32    75     2    79 0.75 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 40929at6656          -            563   9.5e-17   58.0   0.2   2   2   7.7e-13   1.7e-11   40.7   0.1   369   449    85   165    83   165 0.98 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 40929at6656          -            563     1e-16   57.9   1.1   1   2   7.9e-05    0.0017   14.3   0.0   364   485   211   338   179   361 0.63 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 40929at6656          -            563     1e-16   57.9   1.1   2   2   7.1e-13   1.5e-11   40.9   1.0   316   410   539   634   526   645 0.86 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 40929at6656          -            563   1.2e-16   57.7   1.5   1   2     2e-14   4.2e-13   46.0   1.1   375   452    52   134     5   139 0.80 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 40929at6656          -            563   1.2e-16   57.7   1.5   2   2    0.0026     0.056    9.3   0.0   410   450   137   178   133   179 0.87 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+  -            205 40929at6656          -            563     3e-16   56.4   2.7   1   2   9.6e-13   2.1e-11   40.4   1.1   341   464     1   129     1   146 0.86 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+  -            205 40929at6656          -            563     3e-16   56.4   2.7   2   2   2.9e-05   0.00063   15.7   0.0   325   365   163   205   153   205 0.87 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 40929at6656          -            563   3.5e-16   56.2   0.4   1   1   6.6e-15   1.4e-13   47.6   0.1   377   461    15    99     9   103 0.94 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 40929at6656          -            563   7.1e-16   55.2  19.0   1   3     5e-05    0.0011   15.0   3.3   378   452   145   226   106   238 0.79 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 40929at6656          -            563   7.1e-16   55.2  19.0   2   3     0.001     0.021   10.7   0.1   412   454   256   297   252   309 0.85 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 40929at6656          -            563   7.1e-16   55.2  19.0   3   3   4.5e-11   9.6e-10   34.9   3.1   340   449   308   421   298   423 0.86 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 40929at6656          -            563   2.5e-15   53.4  13.3   1   2   6.8e-13   1.5e-11   40.9   5.4   335   457    10   140     6   201 0.72 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 40929at6656          -            563   2.5e-15   53.4  13.3   2   2   4.1e-05   0.00088   15.2   2.8   329   409   202   289   173   296 0.81 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 40929at6656          -            563   3.6e-15   52.8   3.7   1   2   1.4e-14     3e-13   46.5   1.3   328   465   185   321   178   333 0.93 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 40929at6656          -            563   3.6e-15   52.8   3.7   2   2   5.7e-05    0.0012   14.8   0.0   395   456   334   403   316   407 0.76 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-      -            155 40929at6656          -            563   4.8e-15   52.4   5.3   1   1   1.8e-15   3.8e-14   49.4   5.3   341   483     2   155     1   155 0.85 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 40929at6656          -            563   7.3e-15   51.8   3.1   1   3       3.4        73   -1.0   0.0   345   368    33    56    27    62 0.53 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 40929at6656          -            563   7.3e-15   51.8   3.1   2   3     2e-11   4.3e-10   36.1   0.2   340   449    72   180    59   190 0.89 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 40929at6656          -            563   7.3e-15   51.8   3.1   3   3   3.6e-05   0.00077   15.4   0.1   379   444   193   257   187   257 0.86 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 40929at6656          -            563   7.9e-15   51.7   4.7   1   3    0.0034     0.072    8.9   1.5   398   453    53   106     1   114 0.66 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 40929at6656          -            563   7.9e-15   51.7   4.7   2   3     3e-07   6.4e-06   22.3   0.0   372   459   133   220   127   257 0.84 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 40929at6656          -            563   7.9e-15   51.7   4.7   3   3   1.3e-06   2.7e-05   20.2   0.0   330   365   256   291   241   291 0.88 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+     -            153 40929at6656          -            563   9.5e-15   51.4   1.3   1   2   0.00048      0.01   11.7   0.0   438   461     6    29     2    34 0.65 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+     -            153 40929at6656          -            563   9.5e-15   51.4   1.3   2   2     5e-12   1.1e-10   38.1   0.5   340   449    40   153    37   153 0.87 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 40929at6656          -            563   1.4e-14   50.9   2.9   1   2     1e-06   2.2e-05   20.5   0.1   372   457   254   345   252   365 0.77 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 40929at6656          -            563   1.4e-14   50.9   2.9   2   2   1.2e-09   2.5e-08   30.3   0.3   344   449   439   548   421   554 0.84 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 40929at6656          -            563   2.6e-14   50.0   3.1   1   1   1.1e-14   2.5e-13   46.8   3.1   337   449     7   136     4   137 0.74 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 40929at6656          -            563   2.6e-14   50.0   1.9   1   2     4e-09   8.6e-08   28.5   0.2   349   450     6   114     1   115 0.64 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 40929at6656          -            563   2.6e-14   50.0   1.9   2   2   5.4e-09   1.2e-07   28.1   0.1   341   423    47   129    31   167 0.79 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 40929at6656          -            563     5e-14   49.1   3.6   1   4   8.4e-10   1.8e-08   30.7   0.0   418   461   268   311   261   322 0.90 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 40929at6656          -            563     5e-14   49.1   3.6   2   4     0.058       1.2    4.8   0.1   403   439   380   420   376   434 0.84 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 40929at6656          -            563     5e-14   49.1   3.6   3   4     0.073       1.6    4.5   0.1   359   446   468   555   450   564 0.86 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 40929at6656          -            563     5e-14   49.1   3.6   4   4     0.013      0.28    7.0   0.0   340   365   588   613   573   613 0.86 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-      -            107 40929at6656          -            563   5.1e-14   49.0   0.8   1   1   9.4e-15     2e-13   47.1   0.8   354   452     2   106     1   107 0.86 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 40929at6656          -            563   5.7e-14   48.9   5.0   1   2   1.4e-12     3e-11   39.9   0.6   333   454    40   164    32   173 0.89 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 40929at6656          -            563   5.7e-14   48.9   5.0   2   2   0.00075     0.016   11.1   0.3   380   453   174   259   169   268 0.59 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 40929at6656          -            563   7.8e-14   48.4   0.8   1   3   2.3e-06   4.9e-05   19.4   0.0   379   459     1    86     1    98 0.84 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 40929at6656          -            563   7.8e-14   48.4   0.8   2   3   6.3e-06   0.00014   17.9   0.1   337   464    48   178    42   197 0.81 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 40929at6656          -            563   7.8e-14   48.4   0.8   3   3   1.4e-05    0.0003   16.8   0.0   342   407   231   305   221   305 0.80 -
107802at6656_113334_0:0021ae|TRINITY_DN81367_c0_g2_i1:5-349|-      -            115 40929at6656          -            563   1.1e-13   47.9   1.5   1   1   1.5e-13   3.2e-12   43.1   1.5   336   450     1   114     1   114 0.89 -
83755at6656_29058_0:002adb|TRINITY_DN89507_c4_g1_i7:487-1092|+     -            202 40929at6656          -            563   1.5e-13   47.5   0.1   1   1   9.6e-15   2.1e-13   47.0   0.1   334   427     2    95     1   102 0.94 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 40929at6656          -            563   5.4e-13   45.6   8.7   1   4   1.4e-10   3.1e-09   33.3   2.6   329   455    64   188    45   195 0.89 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 40929at6656          -            563   5.4e-13   45.6   8.7   2   4       0.5        11    1.7   0.0   436   461   210   235   188   242 0.78 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 40929at6656          -            563   5.4e-13   45.6   8.7   3   4      0.18       3.9    3.2   0.0   321   364   220   267   214   276 0.63 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 40929at6656          -            563   5.4e-13   45.6   8.7   4   4    0.0026     0.055    9.3   0.1   423   473   338   390   296   408 0.76 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 40929at6656          -            563     1e-12   44.8   0.6   1   2    0.0026     0.055    9.3   0.0   424   456    75   107    69   167 0.82 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 40929at6656          -            563     1e-12   44.8   0.6   2   2   3.7e-10     8e-09   31.9   0.1   329   391   164   227   161   245 0.86 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 40929at6656          -            563   2.3e-12   43.6   3.0   1   2   9.9e-12   2.1e-10   37.1   0.3   327   484    91   258    81   263 0.84 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 40929at6656          -            563   2.3e-12   43.6   3.0   2   2     3e-05   0.00063   15.7   0.1   377   453   186   266   185   284 0.85 -
58110at6656_38123_0:0006c3|TRINITY_DN73000_c10_g2_i1:89-280|+      -             64 40929at6656          -            563   2.8e-12   43.3   0.0   1   1   1.4e-13   3.1e-12   43.1   0.0   378   441     1    64     1    64 0.99 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 40929at6656          -            563   2.9e-12   43.2   1.7   1   3    0.0025     0.053    9.4   0.0   422   451     2    32     1    49 0.77 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 40929at6656          -            563   2.9e-12   43.2   1.7   2   3   5.8e-08   1.2e-06   24.6   0.0   307   367    59   119    45   127 0.74 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 40929at6656          -            563   2.9e-12   43.2   1.7   3   3    0.0064      0.14    8.0   0.1   330   365   143   179   121   181 0.84 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 40929at6656          -            563   6.3e-12   42.1   1.0   1   3     3e-09   6.5e-08   28.9   0.1   376   519     5   146     1   159 0.78 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 40929at6656          -            563   6.3e-12   42.1   1.0   2   3    0.0028      0.06    9.2   0.0   404   452   137   189   134   197 0.81 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 40929at6656          -            563   6.3e-12   42.1   1.0   3   3     0.023      0.49    6.2   0.0   498   527   217   246   209   264 0.58 -
71018at6656_168631_0:00011f|TRINITY_DN82339_c12_g2_i1:598-852|+    -             85 40929at6656          -            563   6.4e-12   42.1   0.3   1   1   3.1e-13   6.7e-12   42.0   0.3   397   472     3    76     1    84 0.90 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 40929at6656          -            563   2.2e-11   40.3   4.9   1   2   3.8e-07   8.2e-06   21.9   1.2   399   456     1    58     1    66 0.87 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 40929at6656          -            563   2.2e-11   40.3   4.9   2   2   1.1e-06   2.3e-05   20.5   0.2   417   464    67   112    59   112 0.90 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-     -            203 40929at6656          -            563     5e-11   39.2   0.5   1   1   2.2e-11   4.6e-10   36.0   0.6   333   449     5   145     1   194 0.70 -
81307at6656_121225_0:00011e|TRINITY_DN89960_c7_g3_i3:1475-2050|-   -            192 40929at6656          -            563   8.1e-11   38.5   1.9   1   3    0.0015     0.033   10.0   0.0   267   301     8    42     4    49 0.88 -
81307at6656_121225_0:00011e|TRINITY_DN89960_c7_g3_i3:1475-2050|-   -            192 40929at6656          -            563   8.1e-11   38.5   1.9   2   3    0.0025     0.053    9.4   0.1   269   364    51   143    44   146 0.81 -
81307at6656_121225_0:00011e|TRINITY_DN89960_c7_g3_i3:1475-2050|-   -            192 40929at6656          -            563   8.1e-11   38.5   1.9   3   3     9e-06   0.00019   17.4   0.0   335   365   157   188   148   191 0.86 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 40929at6656          -            563   8.3e-11   38.4   0.2   1   3     3e-08   6.5e-07   25.6   0.0   340   450    25   133     9   143 0.84 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 40929at6656          -            563   8.3e-11   38.4   0.2   2   3       2.4        52   -0.5   0.0   281   298   159   176   146   197 0.69 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 40929at6656          -            563   8.3e-11   38.4   0.2   3   3    0.0028     0.059    9.2   0.0   425   455   246   276   241   293 0.82 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 40929at6656          -            563   1.5e-10   37.6   4.4   1   2    0.0012     0.027   10.3   0.6   382   449     5    78     1    95 0.73 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 40929at6656          -            563   1.5e-10   37.6   4.4   2   2   4.8e-11     1e-09   34.8   3.1   330   481    41   202    35   213 0.78 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 40929at6656          -            563   1.7e-10   37.4   1.3   1   4     8e-08   1.7e-06   24.2   0.2   344   433     2    90     1    96 0.90 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 40929at6656          -            563   1.7e-10   37.4   1.3   2   4   4.2e-05   0.00089   15.2   0.1   335   442    35   142    30   153 0.74 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 40929at6656          -            563   1.7e-10   37.4   1.3   3   4      0.06       1.3    4.8   0.0   414   452   159   199   127   207 0.82 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 40929at6656          -            563   1.7e-10   37.4   1.3   4   4     0.034      0.74    5.6   0.0   428   465   228   266   206   274 0.88 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+     -            273 40929at6656          -            563   2.9e-10   36.6   0.0   1   2   4.2e-09   8.9e-08   28.4   0.0   419   477     2    61     1    76 0.89 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+     -            273 40929at6656          -            563   2.9e-10   36.6   0.0   2   2   0.00027    0.0057   12.6   0.0   335   451    45   177    45   186 0.81 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 40929at6656          -            563     3e-10   36.6   0.0   1   1   2.1e-11   4.5e-10   36.0   0.0   334   461     2   138     1   157 0.82 -
31196at6656_52612_0:00426e|TRINITY_DN87574_c7_g1_i6:4671-5030|-    -            120 40929at6656          -            563   5.1e-10   35.8   0.8   1   2   2.8e-06   6.1e-05   19.1   0.0   376   425    30    79    25    81 0.88 -
31196at6656_52612_0:00426e|TRINITY_DN87574_c7_g1_i6:4671-5030|-    -            120 40929at6656          -            563   5.1e-10   35.8   0.8   2   2   1.8e-05   0.00039   16.4   0.2   368   407    80   119    76   120 0.86 -
31196at6656_1218281_0:002752|TRINITY_DN82334_c12_g1_i3:715-1107|+  -            131 40929at6656          -            563   5.9e-10   35.6   0.0   1   2   8.9e-07   1.9e-05   20.7   0.0   418   459    22    63    13    69 0.85 -
31196at6656_1218281_0:002752|TRINITY_DN82334_c12_g1_i3:715-1107|+  -            131 40929at6656          -            563   5.9e-10   35.6   0.0   2   2   0.00017    0.0037   13.2   0.0   340   402    70   131    64   131 0.84 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 40929at6656          -            563     6e-10   35.6   2.5   1   3   1.2e-08   2.5e-07   26.9   0.1   333   438    11   122     4   145 0.77 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 40929at6656          -            563     6e-10   35.6   2.5   2   3      0.45       9.6    1.9   0.2   331   362    99   131    94   252 0.74 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 40929at6656          -            563     6e-10   35.6   2.5   3   3     0.012      0.25    7.1   0.1   409   463   238   295   200   304 0.72 -
60356at6656_126957_0:001075|TRINITY_DN74360_c12_g2_i2:0-1751|+     -            584 40929at6656          -            563   9.4e-10   35.0   0.9   1   1   9.6e-11   2.1e-09   33.8   0.9   338   432   231   325   219   349 0.94 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 40929at6656          -            563   1.2e-09   34.6   0.0   1   1   6.8e-11   1.5e-09   34.3   0.0   382   481    66   166    59   175 0.86 -
96971at6656_143948_0:000b2a|TRINITY_DN80445_c11_g1_i4:389-766|-    -            126 40929at6656          -            563   2.8e-09   33.4   0.7   1   1   1.5e-10   3.3e-09   33.2   0.7   350   455     3   111     1   117 0.87 -
31196at6656_407821_0:0026f5|TRINITY_DN82339_c12_g1_i8:1346-1537|-  -             64 40929at6656          -            563   5.4e-09   32.4   0.2   1   1   2.6e-10   5.5e-09   32.4   0.2   416   476     1    63     1    64 0.84 -
44504at6656_597456_0:001164|TRINITY_DN91534_c7_g1_i7:1564-2211|+   -            216 40929at6656          -            563   5.6e-09   32.4   0.3   1   2     0.015      0.33    6.7   0.1   417   459    64   112    56   122 0.71 -
44504at6656_597456_0:001164|TRINITY_DN91534_c7_g1_i7:1564-2211|+   -            216 40929at6656          -            563   5.6e-09   32.4   0.3   2   2     1e-07   2.2e-06   23.8   0.0   351   423   136   208   130   211 0.94 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 40929at6656          -            563   8.9e-09   31.7   0.2   1   2       2.7        59   -0.7   0.0   388   407     7    26     3    50 0.65 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 40929at6656          -            563   8.9e-09   31.7   0.2   2   2   1.8e-09   3.8e-08   29.6   0.1   316   373    99   156    65   163 0.86 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+    -            203 40929at6656          -            563   9.4e-09   31.7   0.4   1   1   4.7e-08     1e-06   24.9   0.4   393   516     9   156     2   170 0.62 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 40929at6656          -            563   1.2e-08   31.3   0.2   1   2   1.5e-08   3.2e-07   26.6   0.0   333   415     5    91     1    99 0.87 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 40929at6656          -            563   1.2e-08   31.3   0.2   2   2      0.26       5.5    2.7   0.0   340   365   230   255   211   257 0.74 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 40929at6656          -            563   1.5e-08   30.9   0.8   1   4     0.059       1.3    4.8   0.0   492   522   185   215   170   225 0.81 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 40929at6656          -            563   1.5e-08   30.9   0.8   2   4    0.0014     0.031   10.1   0.2   377   452   277   359   226   387 0.71 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 40929at6656          -            563   1.5e-08   30.9   0.8   3   4    0.0077      0.16    7.7   0.0   388   442   384   441   380   444 0.72 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 40929at6656          -            563   1.5e-08   30.9   0.8   4   4       1.8        38   -0.1   0.0   423   478   470   528   461   533 0.72 -
