#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 81307at6656          -            284  1.7e-125  415.4  14.4   1   1    9e-127    2e-125  415.2  14.4     1   284     4   321     4   321 0.90 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 81307at6656          -            284   3.1e-15   53.6   0.0   2   2   8.4e-16   1.9e-14   51.1   0.0     2   125   490   618   489   619 0.87 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 81307at6656          -            284   3.2e-15   53.6   1.5   1   3         4        88   -0.4   0.0   181   210     6    34     3    48 0.69 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 81307at6656          -            284   3.2e-15   53.6   1.5   2   3   0.00028    0.0063   13.2   0.1     8    70    83   145    76   204 0.56 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 81307at6656          -            284   3.2e-15   53.6   1.5   3   3   5.4e-10   1.2e-08   32.0   0.0    32   110   212   289   210   289 0.94 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 81307at6656          -            284   3.3e-15   53.5   0.1   1   4   2.8e-09   6.3e-08   29.7   0.2    37   115     3    80     1    96 0.92 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 81307at6656          -            284   3.3e-15   53.5   0.1   2   4   1.9e-05   0.00042   17.1   0.5     3    56    46   105    44   110 0.59 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 81307at6656          -            284   3.3e-15   53.5   0.1   3   4   4.2e-05   0.00093   16.0   0.0    45   113   148   215   135   235 0.70 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 81307at6656          -            284   3.3e-15   53.5   0.1   4   4      0.37       8.1    3.0   0.0    77   116   279   318   272   322 0.66 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 81307at6656          -            284   7.3e-15   52.4   5.1   1   4    0.0023     0.052   10.2   0.0   179   200    44    65    23    75 0.83 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 81307at6656          -            284   7.3e-15   52.4   5.1   2   4       1.3        29    1.2   0.0    81   106   120   145   108   154 0.88 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 81307at6656          -            284   7.3e-15   52.4   5.1   3   4   1.9e-12   4.3e-11   40.0   0.1    34   115   201   282   197   296 0.94 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 81307at6656          -            284   7.3e-15   52.4   5.1   4   4       6.5   1.4e+02   -1.1   0.0   178   195   385   402   352   405 0.59 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 81307at6656          -            284   8.9e-15   52.1   0.3   1   3     0.011      0.25    8.0   0.0    41   113    49   119     3   132 0.60 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 81307at6656          -            284   8.9e-15   52.1   0.3   2   3   1.2e-10   2.8e-09   34.1   0.0     1   115   169   288   169   295 0.88 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 81307at6656          -            284   8.9e-15   52.1   0.3   3   3     0.024      0.53    6.9   0.1    36    68   298   330   288   351 0.70 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 81307at6656          -            284   1.4e-14   51.4   2.6   1   2       4.2        94   -0.5   0.0   131   173   117   159    89   179 0.77 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 81307at6656          -            284   1.4e-14   51.4   2.6   2   2   2.8e-15   6.2e-14   49.3   0.9    36   250   191   400   185   407 0.85 -
107802at6656_113334_0:0021ae|TRINITY_DN81367_c0_g2_i1:5-349|-      -            115 81307at6656          -            284   1.5e-14   51.3   4.5   1   3   4.5e-06   9.9e-05   19.2   0.0   168   196     2    30     1    37 0.89 -
107802at6656_113334_0:0021ae|TRINITY_DN81367_c0_g2_i1:5-349|-      -            115 81307at6656          -            284   1.5e-14   51.3   4.5   2   3   4.1e-05   0.00091   16.0   0.2   161   196    35    70    29    82 0.85 -
107802at6656_113334_0:0021ae|TRINITY_DN81367_c0_g2_i1:5-349|-      -            115 81307at6656          -            284   1.5e-14   51.3   4.5   3   3     9e-06    0.0002   18.2   0.4   160   195    81   114    74   115 0.88 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 81307at6656          -            284     3e-14   50.4   7.2   1   2   5.2e-07   1.1e-05   22.2   1.4   174   213    15    53     2    54 0.66 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 81307at6656          -            284     3e-14   50.4   7.2   2   2   2.1e-10   4.7e-09   33.3   3.0   157   246    40   136    38   137 0.88 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 81307at6656          -            284   3.8e-14   50.1   0.0   1   2   7.8e-09   1.7e-07   28.2   0.0    84   202    18   138     2   150 0.78 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 81307at6656          -            284   3.8e-14   50.1   0.0   2   2   3.6e-06     8e-05   19.5   0.0    76   143   225   296   180   304 0.56 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 81307at6656          -            284   4.1e-14   50.0   0.3   1   2   1.7e-14   3.8e-13   46.8   0.1    79   197    30   150    25   165 0.89 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 81307at6656          -            284   4.1e-14   50.0   0.3   2   2       1.3        30    1.2   0.0    52    73   174   195   167   206 0.69 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 81307at6656          -            284   4.4e-14   49.9   0.2   1   3      0.29       6.4    3.4   0.0   167   195     7    37     2    46 0.64 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 81307at6656          -            284   4.4e-14   49.9   0.2   2   3   1.4e-06   3.1e-05   20.8   0.1   163   197    56    92    46   137 0.85 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 81307at6656          -            284   4.4e-14   49.9   0.2   3   3     5e-07   1.1e-05   22.3   0.0   130   240   162   266   147   266 0.51 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 81307at6656          -            284   8.4e-14   48.9   7.6   1   2   7.9e-07   1.8e-05   21.6   2.2   139   199     2    63     1    79 0.53 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 81307at6656          -            284   8.4e-14   48.9   7.6   2   2   2.2e-09   4.9e-08   30.0   0.6    18   109    88   183    69   184 0.62 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 81307at6656          -            284   1.1e-13   48.5   0.1   1   2   0.00043    0.0095   12.7   0.0    41   125    74   162    59   170 0.76 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 81307at6656          -            284   1.1e-13   48.5   0.1   2   2   8.3e-11   1.9e-09   34.7   0.0    33   110   166   244   153   245 0.82 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 81307at6656          -            284   1.2e-13   48.4   0.2   1   2   0.00096     0.021   11.5   0.0   215   246     2    34     1    42 0.67 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 81307at6656          -            284   1.2e-13   48.4   0.2   2   2   6.7e-11   1.5e-09   35.0   0.0    36   110    52   126    42   163 0.83 -
31196at6656_52612_0:00426e|TRINITY_DN87574_c7_g1_i6:4671-5030|-    -            120 81307at6656          -            284   1.4e-13   48.2   1.8   1   2   7.6e-08   1.7e-06   25.0   0.1    78   115    29    65    13    80 0.84 -
31196at6656_52612_0:00426e|TRINITY_DN87574_c7_g1_i6:4671-5030|-    -            120 81307at6656          -            284   1.4e-13   48.2   1.8   2   2   2.1e-07   4.7e-06   23.5   0.2    27    68    79   120    66   120 0.77 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-      -            155 81307at6656          -            284   1.9e-13   47.7   3.3   1   1   7.8e-14   1.7e-12   44.6   3.3    44   195     3   154     1   155 0.83 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 81307at6656          -            284     2e-13   47.7   2.3   1   2   3.8e-12   8.4e-11   39.1   0.3    19   153    19   160     2   189 0.67 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 81307at6656          -            284     2e-13   47.7   2.3   2   2    0.0086      0.19    8.4   0.1    64   116   204   261   200   265 0.80 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-     -            203 81307at6656          -            284   2.7e-13   47.2   0.3   1   3   1.4e-08   3.1e-07   27.4   0.0   163   277     4   120     2   125 0.81 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-     -            203 81307at6656          -            284   2.7e-13   47.2   0.3   2   3     0.057       1.3    5.7   0.1    40    93    58   114    44   148 0.51 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-     -            203 81307at6656          -            284   2.7e-13   47.2   0.3   3   3   2.3e-05   0.00052   16.8   0.2    18    68   133   189   125   197 0.78 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 81307at6656          -            284   3.6e-13   46.9   0.5   1   2   1.4e-08   3.1e-07   27.4   0.3    35   115     4    80     1    92 0.84 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 81307at6656          -            284   3.6e-13   46.9   0.5   2   2   2.1e-05   0.00046   17.0   0.0    83   209   114   247    82   261 0.72 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 81307at6656          -            284   6.5e-13   46.0   0.0   1   2   5.9e-10   1.3e-08   31.9   0.0    36   196    12   184     5   195 0.77 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 81307at6656          -            284   6.5e-13   46.0   0.0   2   2   0.00051     0.011   12.4   0.0    40   152   206   324   185   324 0.75 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 81307at6656          -            284   2.2e-12   44.3   1.3   1   3   1.9e-05   0.00043   17.1   0.0   100   198   245   349   213   361 0.76 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 81307at6656          -            284   2.2e-12   44.3   1.3   2   3   2.2e-06     5e-05   20.1   2.0    17   114   493   593   477   608 0.83 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 81307at6656          -            284   2.2e-12   44.3   1.3   3   3   6.6e-07   1.5e-05   21.9   0.5    31   117   551   638   529   644 0.75 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 81307at6656          -            284   3.9e-12   43.4   5.2   1   3   2.2e-05   0.00049   16.9   0.8    42   112     2    73     1    83 0.86 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 81307at6656          -            284   3.9e-12   43.4   5.2   2   3   0.00013     0.003   14.3   0.4    83   116   175   213   116   235 0.64 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 81307at6656          -            284   3.9e-12   43.4   5.2   3   3   0.00055     0.012   12.3   0.0    46   111   285   350   273   362 0.84 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 81307at6656          -            284   4.2e-12   43.3   0.2   1   2    0.0014     0.032   10.9   0.0    82   142   631   692   617   697 0.77 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 81307at6656          -            284   4.2e-12   43.3   0.2   2   2   4.5e-09     1e-07   29.0   0.0     2   199   724   938   723   951 0.79 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 81307at6656          -            284   6.3e-12   42.8   6.4   1   3    0.0073      0.16    8.6   0.2   156   223    75   142    69   159 0.78 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 81307at6656          -            284   6.3e-12   42.8   6.4   2   3      0.26       5.9    3.5   0.1   224   280   182   240   161   244 0.67 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-    -            430 81307at6656          -            284   6.3e-12   42.8   6.4   3   3   4.2e-10   9.3e-09   32.4   0.4    35   115   260   340   245   362 0.89 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 81307at6656          -            284   1.6e-11   41.4   0.1   1   1   2.3e-12   5.2e-11   39.8   0.1    65   203     4   143     2   158 0.86 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 81307at6656          -            284     2e-11   41.1   1.6   1   2     2e-06   4.5e-05   20.3   0.2    95   203    69   182    58   188 0.80 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 81307at6656          -            284     2e-11   41.1   1.6   2   2   1.9e-06   4.3e-05   20.4   0.1     2   104   186   299   185   307 0.80 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 81307at6656          -            284   3.1e-11   40.5   0.1   1   2      0.42       9.3    2.8   0.0   210   266    79   135    66   141 0.80 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 81307at6656          -            284   3.1e-11   40.5   0.1   2   2   5.7e-12   1.3e-10   38.5   0.1    35   196   125   284   101   294 0.81 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 81307at6656          -            284   6.4e-11   39.5   0.0   1   2   5.3e-08   1.2e-06   25.5   0.0    47   139     3    93     1   204 0.70 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 81307at6656          -            284   6.4e-11   39.5   0.0   2   2    0.0023     0.052   10.2   0.0    87   144   226   285   172   286 0.79 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 81307at6656          -            284   7.4e-11   39.3   0.8   1   3   1.1e-06   2.4e-05   21.2   0.0    37    97   269   327   262   366 0.84 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 81307at6656          -            284   7.4e-11   39.3   0.8   2   3       1.2        27    1.3   0.0   120   140   397   418   374   437 0.60 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 81307at6656          -            284   7.4e-11   39.3   0.8   3   3     0.005      0.11    9.2   0.0    85   163   491   569   469   573 0.73 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 81307at6656          -            284   1.4e-10   38.4   0.0   1   1   7.5e-11   1.7e-09   34.8   0.0     8   112    67   178    62   179 0.66 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+  -            205 81307at6656          -            284   1.9e-10   37.9   0.9   1   2   3.2e-09     7e-08   29.5   0.6    37   114    40   118    28   149 0.91 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+  -            205 81307at6656          -            284   1.9e-10   37.9   0.9   2   2     0.026      0.58    6.8   0.0    65   107   160   202   142   205 0.60 -
81307at6656_441921_0:001885|TRINITY_DN83055_c5_g1_i4:537-1175|+    -            213 81307at6656          -            284   4.1e-10   36.8   0.6   1   2   4.7e-07     1e-05   22.4   0.1     7   115     2   126     1   133 0.77 -
81307at6656_441921_0:001885|TRINITY_DN83055_c5_g1_i4:537-1175|+    -            213 81307at6656          -            284   4.1e-10   36.8   0.6   2   2   6.3e-06   0.00014   18.7   0.2    10   104    98   197    94   203 0.83 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 81307at6656          -            284   4.9e-10   36.6   0.3   1   2   1.5e-08   3.4e-07   27.3   0.1     4   113     1   120     1   125 0.75 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 81307at6656          -            284   4.9e-10   36.6   0.3   2   2       0.1       2.2    4.9   0.0    38    68   150   180   134   181 0.80 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 81307at6656          -            284   7.4e-10   36.0   0.3   1   2     0.078       1.7    5.2   0.0    34   109   174   252   161   272 0.58 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-   -            645 81307at6656          -            284   7.4e-10   36.0   0.3   2   2     6e-08   1.3e-06   25.3   0.6    36   253   276   503   268   524 0.70 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 81307at6656          -            284   7.8e-10   35.9   1.0   1   2     0.055       1.2    5.7   0.0    91   120     7    36     3    63 0.77 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 81307at6656          -            284   7.8e-10   35.9   1.0   2   2     4e-09   8.9e-08   29.1   0.2    45   119    85   157    76   166 0.81 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 81307at6656          -            284     1e-09   35.5   1.2   1   3   7.9e-08   1.8e-06   24.9   0.0    38   127     8   100     3   114 0.84 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 81307at6656          -            284     1e-09   35.5   1.2   2   3       1.5        33    1.0   0.0   253   282   119   147   109   150 0.71 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 81307at6656          -            284     1e-09   35.5   1.2   3   3     0.057       1.3    5.7   0.4    85   111   230   256   148   257 0.64 -
31196at6656_1218281_0:002752|TRINITY_DN82334_c12_g1_i3:715-1107|+  -            131 81307at6656          -            284   1.3e-09   35.2   0.0   1   1   7.3e-11   1.6e-09   34.9   0.0    38   145    24   129     3   131 0.85 -
118807at6656_7536_0:0003d0|TRINITY_DN82339_c12_g1_i8:756-1031|-    -             92 81307at6656          -            284   1.5e-09   35.0   0.0   1   2     7e-07   1.5e-05   21.8   0.0   163   220    10    66     2    68 0.87 -
118807at6656_7536_0:0003d0|TRINITY_DN82339_c12_g1_i8:756-1031|-    -             92 81307at6656          -            284   1.5e-09   35.0   0.0   2   2   9.6e-05    0.0021   14.8   0.1   166   194    63    91    56    92 0.89 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 81307at6656          -            284   1.5e-09   35.0   0.4   1   2   1.2e-07   2.7e-06   24.3   0.2    47   180    14   146     5   159 0.68 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 81307at6656          -            284   1.5e-09   35.0   0.4   2   2     0.021      0.47    7.1   0.0    85   114   264   293   230   304 0.79 -
58110at6656_38123_0:0006c3|TRINITY_DN73000_c10_g2_i1:89-280|+      -             64 81307at6656          -            284   1.9e-09   34.6   0.0   1   1   9.3e-11   2.1e-09   34.5   0.0    38   101     1    63     1    64 0.93 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+   -           1204 81307at6656          -            284   2.2e-09   34.5   0.8   1   2   1.3e-08   2.9e-07   27.5   0.1    36   143    14   117     2   119 0.72 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+   -           1204 81307at6656          -            284   2.2e-09   34.5   0.8   2   2     0.042      0.93    6.1   0.2     4    94    98   193    94   196 0.69 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+    -            203 81307at6656          -            284   2.3e-09   34.4   5.9   1   2   6.6e-07   1.5e-05   21.9   2.6    93   175     6    90     1   117 0.72 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+    -            203 81307at6656          -            284   2.3e-09   34.4   5.9   2   2   0.00018     0.004   13.9   0.1    36    73   121   159   113   177 0.84 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 81307at6656          -            284   2.8e-09   34.1   0.4   1   3    0.0074      0.16    8.6   0.0    85   116     4    35     1    39 0.87 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 81307at6656          -            284   2.8e-09   34.1   0.4   2   3    0.0014     0.031   11.0   0.0    36   141    45   151    39   167 0.75 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 81307at6656          -            284   2.8e-09   34.1   0.4   3   3    0.0013      0.03   11.0   0.1   171   245   229   304   211   305 0.68 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+  -            295 81307at6656          -            284   3.9e-09   33.6   0.3   1   2   1.9e-08   4.2e-07   26.9   0.0     4   112    42   153    39   176 0.76 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+  -            295 81307at6656          -            284   3.9e-09   33.6   0.3   2   2      0.17       3.8    4.1   0.1    41    68   250   278   203   287 0.48 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 81307at6656          -            284   7.5e-09   32.7   0.7   1   2       6.8   1.5e+02   -1.1   0.0    43    68    29    54    17    59 0.67 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 81307at6656          -            284   7.5e-09   32.7   0.7   2   2   1.4e-09     3e-08   30.7   0.9    45   196    75   223    41   256 0.87 -
81307at6656_121225_0:00011e|TRINITY_DN89960_c7_g3_i3:1475-2050|-   -            192 81307at6656          -            284     9e-09   32.4   0.4   1   2    0.0089       0.2    8.3   0.6    78   113     2    37     1   102 0.74 -
81307at6656_121225_0:00011e|TRINITY_DN89960_c7_g3_i3:1475-2050|-   -            192 81307at6656          -            284     9e-09   32.4   0.4   2   2   7.2e-07   1.6e-05   21.8   0.0    75   154   109   190   101   192 0.88 -
71018at6656_168631_0:00011f|TRINITY_DN82339_c12_g2_i1:598-852|+    -             85 81307at6656          -            284   1.1e-08   32.1   0.8   1   1   2.7e-09     6e-08   29.7   0.5   141   206     2    65     1    77 0.78 -
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-    -            346 81307at6656          -            284   2.9e-08   30.8   0.1   1   2    0.0015     0.033   10.9   0.0   179   248   136   209    48   220 0.69 -
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-    -            346 81307at6656          -            284   2.9e-08   30.8   0.1   2   2   5.3e-07   1.2e-05   22.2   0.0     4   114   176   301   173   307 0.74 -
96971at6656_143948_0:000b2a|TRINITY_DN80445_c11_g1_i4:389-766|-    -            126 81307at6656          -            284   3.8e-08   30.4   2.6   1   2      0.29       6.4    3.4   0.0   137   157     3    23     1    38 0.60 -
96971at6656_143948_0:000b2a|TRINITY_DN80445_c11_g1_i4:389-766|-    -            126 81307at6656          -            284   3.8e-08   30.4   2.6   2   2   1.6e-08   3.4e-07   27.2   0.9    43   114    38   109    25   117 0.86 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+    -           1178 81307at6656          -            284     4e-08   30.3   2.3   1   1   1.3e-07   2.9e-06   24.2   0.4    43   119   210   291   197   330 0.65 -
83755at6656_32264_0:001274|TRINITY_DN80976_c6_g1_i4:720-1352|+     -            211 81307at6656          -            284   9.7e-08   29.0   0.8   1   1   5.3e-09   1.2e-07   28.7   0.8    23   195     7   202     1   209 0.66 -
28519at6656_136037_0:000a01|TRINITY_DN73479_c18_g1_i2:166-2306|-   -            606 81307at6656          -            284     1e-07   28.9   0.9   1   1   2.6e-08   5.7e-07   26.5   0.4   124   199    48   125    35   141 0.84 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+    -            377 81307at6656          -            284   1.1e-07   28.9   5.4   1   3       7.6   1.7e+02   -1.3   0.1   171   198   136   165   131   177 0.51 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+    -            377 81307at6656          -            284   1.1e-07   28.9   5.4   2   3   5.5e-08   1.2e-06   25.4   0.7    32   109   219   298   191   306 0.86 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+    -            377 81307at6656          -            284   1.1e-07   28.9   5.4   3   3      0.14       3.1    4.4   0.0    77   109   334   367   321   376 0.62 -
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+         -            106 81307at6656          -            284   1.9e-07   28.0   0.1   1   1     1e-08   2.3e-07   27.8   0.1    77   164     5    96     2   105 0.79 -
103749at6656_166361_0:002df3|TRINITY_DN89543_c6_g1_i3:129-833|-    -            235 81307at6656          -            284   2.1e-07   28.0   0.1   1   2   1.7e-05   0.00038   17.2   0.1    37   113    32   122     5   127 0.71 -
103749at6656_166361_0:002df3|TRINITY_DN89543_c6_g1_i3:129-833|-    -            235 81307at6656          -            284   2.1e-07   28.0   0.1   2   2     0.023      0.51    7.0   0.0    32    69   166   203   140   233 0.62 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+     -            153 81307at6656          -            284   3.1e-07   27.4   0.0   1   1      0.21       4.7    3.8   0.0   179   198     2    21     1    31 0.76 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+      -             91 81307at6656          -            284   5.5e-07   26.6   0.2   1   1   2.8e-08   6.2e-07   26.4   0.2    42   114    11    84     5    89 0.90 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+     -            273 81307at6656          -            284   9.9e-07   25.7   0.0   1   1   2.4e-07   5.4e-06   23.3   0.0   165   283     1   117     1   118 0.82 -
58110at6656_6973_0:00155e|TRINITY_DN82334_c12_g1_i3:249-452|+      -             68 81307at6656          -            284   1.7e-06   24.9   0.4   1   1   8.2e-08   1.8e-06   24.9   0.4    38   100     2    63     1    68 0.62 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 81307at6656          -            284   2.9e-06   24.2   0.0   1   2   6.8e-05    0.0015   15.3   0.0    43   196    26   173    18   195 0.56 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 81307at6656          -            284   2.9e-06   24.2   0.0   2   2      0.44       9.7    2.8   0.0    69   111   225   271   202   283 0.73 -
