#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 50947at6656          -            438  6.8e-224  741.1   7.8   1   1  3.7e-225  8.3e-224  740.8   7.8    52   438    39   447    11   447 0.92 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 50947at6656          -            438   2.6e-14   50.5   0.0   2   4     0.013      0.28    7.5   0.0   150   196    49    96    47   105 0.84 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 50947at6656          -            438   2.6e-14   50.5   0.0   3   4   0.00065     0.015   11.7   0.0   159   236   105   188    97   200 0.82 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+     -            324 50947at6656          -            438   2.6e-14   50.5   0.0   4   4   8.2e-05    0.0018   14.7   0.0   347   437   227   318   201   319 0.81 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 50947at6656          -            438     3e-14   50.3   0.1   1   2       1.8        41    0.4   0.0   373   409   420   456   398   480 0.82 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 50947at6656          -            438     3e-14   50.3   0.1   2   2   2.2e-14   4.9e-13   46.2   0.1   153   282   486   614   480   619 0.87 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 50947at6656          -            438     4e-14   49.8   0.3   1   2   5.8e-05    0.0013   15.2   0.0   157   190     3    36     1    42 0.94 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+      -            212 50947at6656          -            438     4e-14   49.8   0.3   2   2   3.9e-10   8.8e-09   32.2   0.1   155   265    51   163    42   180 0.73 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 50947at6656          -            438   9.1e-14   48.7   0.3   1   3         2        45    0.2   0.1   166   236   151   222   123   231 0.74 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 50947at6656          -            438   9.1e-14   48.7   0.3   2   3   9.7e-07   2.2e-05   21.1   0.0   137   328   276   472   240   484 0.76 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 50947at6656          -            438   9.1e-14   48.7   0.3   3   3   6.7e-11   1.5e-09   34.8   0.1   152   316   381   548   376   687 0.76 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 50947at6656          -            438   9.8e-14   48.6   0.4   1   2   2.7e-07     6e-06   22.9   0.1   181   241     2    62     1    66 0.82 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 50947at6656          -            438   9.8e-14   48.6   0.4   2   2     2e-09   4.5e-08   29.9   0.0   176   241    39   108    36   112 0.82 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 50947at6656          -            438   1.4e-13   48.0   4.3   1   3     1e-05   0.00023   17.7   0.2   207   309     3   120     1   121 0.63 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 50947at6656          -            438   1.4e-13   48.0   4.3   2   3    0.0002    0.0044   13.4   0.1   170   229    86   149    75   164 0.80 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 50947at6656          -            438   1.4e-13   48.0   4.3   3   3   5.4e-10   1.2e-08   31.8   0.9   153   314   114   285   112   287 0.82 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+    -            203 50947at6656          -            438   2.2e-13   47.4   0.4   1   2   1.7e-09   3.7e-08   30.2   0.1   218   291    11    84     1   111 0.80 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+    -            203 50947at6656          -            438   2.2e-13   47.4   0.4   2   2   3.6e-05    0.0008   15.9   0.0   153   195   118   160   108   176 0.90 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 50947at6656          -            438   3.4e-13   46.8   0.2   1   3     8e-07   1.8e-05   21.3   0.0   171   234     7    73     2    78 0.84 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 50947at6656          -            438   3.4e-13   46.8   0.2   2   3    0.0003    0.0066   12.9   0.0   152   231    76   157    73   163 0.81 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 50947at6656          -            438   3.4e-13   46.8   0.2   3   3    0.0041     0.092    9.1   0.0   151   189   163   201   160   206 0.92 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 50947at6656          -            438   4.4e-13   46.4   0.0   1   3   1.8e-09     4e-08   30.1   0.0   161   275    24   135    13   138 0.86 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 50947at6656          -            438   4.4e-13   46.4   0.0   2   3   6.3e-07   1.4e-05   21.7   0.0   178   281    81   180    80   207 0.87 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+      -            293 50947at6656          -            438   4.4e-13   46.4   0.0   3   3      0.92        21    1.4   0.0   207   235   246   275   221   289 0.70 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 50947at6656          -            438   4.4e-13   46.4   1.0   1   3     0.004     0.089    9.1   0.0   154   298    94   238    89   248 0.81 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 50947at6656          -            438   4.4e-13   46.4   1.0   2   3    0.0029     0.065    9.6   0.0   251   318   234   302   232   305 0.88 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 50947at6656          -            438   4.4e-13   46.4   1.0   3   3   8.1e-08   1.8e-06   24.6   0.2   174   242   533   601   522   613 0.84 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 50947at6656          -            438   5.3e-13   46.1   1.5   1   3   9.9e-10   2.2e-08   30.9   0.2   153   234    38   119    34   132 0.87 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 50947at6656          -            438   5.3e-13   46.1   1.5   2   3     0.005      0.11    8.8   0.0   155   196   126   167   119   175 0.86 -
83755at6656_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+    -            268 50947at6656          -            438   5.3e-13   46.1   1.5   3   3      0.16       3.6    3.8   0.1   185   230   204   255   199   262 0.63 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 50947at6656          -            438   1.3e-12   44.8   0.0   1   2   2.5e-11   5.6e-10   36.2   0.0   226   315     2    91     1   104 0.88 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 50947at6656          -            438   1.3e-12   44.8   0.0   2   2     0.018       0.4    7.0   0.0   207   236   110   140    97   158 0.79 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 50947at6656          -            438   1.4e-12   44.7   0.3   1   3       4.9   1.1e+02   -1.0   0.0   377   437    12    78     8    79 0.62 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 50947at6656          -            438   1.4e-12   44.7   0.3   2   3     1e-12   2.2e-11   40.8   0.3   155   316    97   264    90   272 0.87 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+    -            762 50947at6656          -            438   1.4e-12   44.7   0.3   3   3       0.1       2.2    4.5   0.0   162   225   234   300   222   310 0.80 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 50947at6656          -            438   2.1e-12   44.1   2.4   1   2   1.3e-09   2.8e-08   30.6   0.0   199   273   267   342   260   363 0.88 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 50947at6656          -            438   2.1e-12   44.1   2.4   2   2   0.00047     0.011   12.2   0.8   155   313   398   557   368   579 0.79 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 50947at6656          -            438   2.8e-12   43.8   0.0   1   2      0.17       3.8    3.8   0.0   258   318    48   106     2   110 0.54 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 50947at6656          -            438   2.8e-12   43.8   0.0   2   2   2.1e-11   4.8e-10   36.4   0.0   157   314   138   291   132   291 0.91 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+  -            205 50947at6656          -            438   3.5e-12   43.5   0.1   1   1   1.8e-13   4.1e-12   43.2   0.1   157   314    40   205    28   205 0.82 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 50947at6656          -            438   4.7e-12   43.0   4.2   1   4    0.0044     0.099    9.0   0.1   289   315    34    60    19    64 0.90 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 50947at6656          -            438   4.7e-12   43.0   4.2   2   4   7.8e-07   1.7e-05   21.4   0.4   188   315   106   235    80   239 0.84 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 50947at6656          -            438   4.7e-12   43.0   4.2   3   4     0.016      0.37    7.1   0.0   153   195   243   284   239   291 0.85 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+    -            407 50947at6656          -            438   4.7e-12   43.0   4.2   4   4      0.29       6.5    3.0   0.0   194   232   364   403   355   405 0.72 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 50947at6656          -            438   6.3e-12   42.6   0.1   1   3   7.1e-06   0.00016   18.2   0.0   213   292    13    94     1    96 0.81 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 50947at6656          -            438   6.3e-12   42.6   0.1   2   3   3.9e-06   8.7e-05   19.1   0.0   153   196    82   125    78   132 0.91 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-       -            181 50947at6656          -            438   6.3e-12   42.6   0.1   3   3      0.01      0.23    7.8   0.0   193   231   141   180   136   181 0.86 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 50947at6656          -            438   1.7e-11   41.2   0.8   1   2   1.9e-08   4.4e-07   26.6   0.4   142   403   245   508   237   510 0.74 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 50947at6656          -            438   1.7e-11   41.2   0.8   2   2     3e-07   6.7e-06   22.7   0.2   206   314   435   548   379   552 0.84 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 50947at6656          -            438   1.9e-11   41.0   0.0   1   2   2.9e-08   6.4e-07   26.1   0.0   154   243     3    90     1   105 0.86 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+    -            265 50947at6656          -            438   1.9e-11   41.0   0.0   2   2   0.00038    0.0085   12.5   0.0   176   292   128   253   117   263 0.75 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 50947at6656          -            438   2.2e-11   40.8   0.1   1   3       1.2        27    1.0   0.0   174   190     8    24     2    29 0.83 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 50947at6656          -            438   2.2e-11   40.8   0.1   2   3   3.1e-08   6.8e-07   26.0   0.0   159   245    43   128    36   134 0.86 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 50947at6656          -            438   2.2e-11   40.8   0.1   3   3    0.0018      0.04   10.3   0.0   209   277   135   210   127   212 0.83 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+     -            273 50947at6656          -            438   2.6e-11   40.6   0.0   1   2   3.4e-10   7.7e-09   32.4   0.0   158   315     3   121     1   137 0.49 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+     -            273 50947at6656          -            438   2.6e-11   40.6   0.0   2   2   0.00021    0.0046   13.4   0.0   158   276    46   179    46   187 0.69 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 50947at6656          -            438   4.3e-11   39.8   1.8   1   1     0.028      0.63    6.3   0.1   162   241   864   942   849   966 0.69 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 50947at6656          -            438   5.3e-11   39.5   3.1   1   2   9.2e-05    0.0021   14.5   0.1   169   229    13    77     1    92 0.79 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 50947at6656          -            438   5.3e-11   39.5   3.1   2   2     4e-10     9e-09   32.2   0.8   154   314    43   213    42   214 0.82 -
58110at6656_6973_0:00155e|TRINITY_DN78038_c13_g1_i2:301-513|-      -             71 50947at6656          -            438   1.3e-10   38.3   0.1   1   1   5.9e-12   1.3e-10   38.3   0.1   370   430    10    69     4    71 0.87 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 50947at6656          -            438   1.6e-10   38.0   2.1   1   4   1.2e-05   0.00027   17.4   0.4   365   421   189   242   183   259 0.77 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 50947at6656          -            438   1.6e-10   38.0   2.1   2   4    0.0034     0.076    9.4   0.1   155   210   232   285   231   297 0.81 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 50947at6656          -            438   1.6e-10   38.0   2.1   3   4     0.009       0.2    8.0   0.1   156   235   275   351   269   361 0.83 -
103749at6656_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 50947at6656          -            438   1.6e-10   38.0   2.1   4   4     0.012      0.28    7.5   0.0   147   229   356   440   349   447 0.72 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-      -            155 50947at6656          -            438   1.8e-10   37.8   2.4   1   1   1.3e-08   2.8e-07   27.3   0.5   157   263    39   146    31   155 0.82 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+  -            295 50947at6656          -            438     2e-10   37.6   1.9   1   2   0.00022     0.005   13.3   0.0   164   237    44   116    29   122 0.86 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+  -            295 50947at6656          -            438     2e-10   37.6   1.9   2   2   1.8e-07   4.1e-06   23.4   0.6   155   317   119   280   114   284 0.77 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 50947at6656          -            438   2.4e-10   37.4   0.1   1   2     0.011      0.25    7.7   0.0   364   408    58    99    49   113 0.75 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 50947at6656          -            438   2.4e-10   37.4   0.1   2   2   2.2e-09     5e-08   29.8   0.1   150   232    96   178    93   179 0.88 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 50947at6656          -            438   4.1e-10   36.6   0.4   1   4    0.0043     0.095    9.0   0.0   242   426    43   101     5   150 0.54 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 50947at6656          -            438   4.1e-10   36.6   0.4   2   4     0.002     0.044   10.1   0.0   214   239   184   209   168   239 0.75 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 50947at6656          -            438   4.1e-10   36.6   0.4   3   4      0.12       2.7    4.3   0.0   375   414   216   255   208   267 0.86 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 50947at6656          -            438   4.1e-10   36.6   0.4   4   4    0.0073      0.16    8.3   0.1   343   402   273   331   262   349 0.71 -
107802at6656_113334_0:0021ae|TRINITY_DN81367_c0_g2_i1:5-349|-      -            115 50947at6656          -            438   5.1e-10   36.3   0.9   1   1   2.3e-10   5.2e-09   33.0   0.9   202   315     1   114     1   115 0.69 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 50947at6656          -            438   8.3e-10   35.6   0.7   1   3   1.2e-07   2.6e-06   24.1   0.0   169   305     4   139     2   156 0.81 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 50947at6656          -            438   8.3e-10   35.6   0.7   2   3      0.23       5.1    3.4   0.0   205   233   170   199   157   206 0.81 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 50947at6656          -            438   8.3e-10   35.6   0.7   3   3     0.069       1.5    5.1   0.0   380   428   229   279   223   284 0.83 -
50947at6656_407821_0:0061ea|TRINITY_DN86898_c2_g2_i5:2831-3535|-   -            235 50947at6656          -            438   1.3e-09   35.0   0.0   1   3   4.5e-07     1e-05   22.1   0.0   183   315     2   143     1   146 0.77 -
50947at6656_407821_0:0061ea|TRINITY_DN86898_c2_g2_i5:2831-3535|-   -            235 50947at6656          -            438   1.3e-09   35.0   0.0   2   3     0.033      0.74    6.1   0.0   251   292   121   163   119   171 0.77 -
50947at6656_407821_0:0061ea|TRINITY_DN86898_c2_g2_i5:2831-3535|-   -            235 50947at6656          -            438   1.3e-09   35.0   0.0   3   3    0.0061      0.14    8.5   0.0   380   427   167   227   162   235 0.68 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 50947at6656          -            438   1.6e-09   34.7   0.2   1   3      0.56        12    2.1   0.0   369   416    27    74     2    84 0.81 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 50947at6656          -            438   1.6e-09   34.7   0.2   2   3    0.0096      0.21    7.9   0.1   213   317    89   207    76   216 0.63 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 50947at6656          -            438   1.6e-09   34.7   0.2   3   3   1.3e-06   2.9e-05   20.6   0.0   157   230   217   289   210   289 0.88 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 50947at6656          -            438   3.3e-09   33.6   0.0   1   2   0.00037    0.0082   12.6   0.0   378   429    78   129    74   140 0.91 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|-  -            245 50947at6656          -            438   3.3e-09   33.6   0.0   2   2   3.9e-06   8.8e-05   19.0   0.0   198   272   167   244   160   245 0.77 -
50947at6656_13037_0:001fac|TRINITY_DN86602_c12_g1_i1:39-725|-      -            229 50947at6656          -            438   3.9e-09   33.4   0.9   1   2    0.0035     0.078    9.3   0.0   281   315    85   119    21   125 0.68 -
50947at6656_13037_0:001fac|TRINITY_DN86602_c12_g1_i1:39-725|-      -            229 50947at6656          -            438   3.9e-09   33.4   0.9   2   2   3.7e-07   8.4e-06   22.4   0.7   386   438   173   224   149   224 0.86 -
71018at6656_6945_0:004a2d|TRINITY_DN88422_c3_g1_i29:1847-2617|+    -            257 50947at6656          -            438   1.6e-08   31.4   0.2   1   1   2.1e-09   4.7e-08   29.8   0.1   174   315    83   222    58   229 0.85 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 50947at6656          -            438   3.8e-08   30.1   0.0   1   1   4.2e-09   9.4e-08   28.8   0.0   187   281     1    96     1   119 0.80 -
43728at6656_7539_0:0018d4|TRINITY_DN93718_c1_g1_i11:1924-2865|-    -            314 50947at6656          -            438     4e-08   30.1   0.4   1   2   2.1e-05   0.00048   16.6   0.1   386   435    27    75    17    78 0.82 -
43728at6656_7539_0:0018d4|TRINITY_DN93718_c1_g1_i11:1924-2865|-    -            314 50947at6656          -            438     4e-08   30.1   0.4   2   2   0.00059     0.013   11.9   0.0   222   279   171   228   106   311 0.79 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+   -           1204 50947at6656          -            438     4e-08   30.1   0.2   1   2   7.3e-09   1.6e-07   28.0   0.1   243   334    17   106     6   162 0.86 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+   -           1204 50947at6656          -            438     4e-08   30.1   0.2   2   2       5.9   1.3e+02   -1.3   0.0   253   278   533   558   466   562 0.75 -
118807at6656_52612_0:000b3c|TRINITY_DN88572_c7_g1_i6:28-798|-      -            257 50947at6656          -            438   1.2e-07   28.5   0.2   1   1   1.2e-08   2.8e-07   27.3   0.0   153   234     3    87     1   106 0.81 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 50947at6656          -            438   1.5e-07   28.1   2.4   1   3     0.073       1.6    5.0   0.0   161   192    44    75    33   103 0.87 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 50947at6656          -            438   1.5e-07   28.1   2.4   2   3   4.4e-05   0.00098   15.6   0.1   153   243   123   215   118   234 0.81 -
81307at6656_218467_0:001992|TRINITY_DN92335_c1_g2_i6:312-1433|+    -            374 50947at6656          -            438   1.5e-07   28.1   2.4   3   3     0.046         1    5.6   0.0   290   320   282   312   275   332 0.85 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 50947at6656          -            438     3e-07   27.2   0.4   1   2    0.0069      0.15    8.4   0.0   266   316     8    65     1    81 0.56 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 50947at6656          -            438     3e-07   27.2   0.4   2   2   1.1e-05   0.00024   17.6   0.1   154   226    90   161    82   165 0.79 -
83755at6656_29058_0:002adb|TRINITY_DN89507_c4_g1_i7:487-1092|+     -            202 50947at6656          -            438   3.9e-07   26.8   0.0   1   1   2.4e-08   5.4e-07   26.3   0.0   157   241     3    86     1   101 0.86 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+     -            153 50947at6656          -            438   4.9e-07   26.5   0.1   1   2      0.03      0.67    6.3   0.0   217   242     4    29     2    36 0.84 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+     -            153 50947at6656          -            438   4.9e-07   26.5   0.1   2   2   1.1e-05   0.00024   17.6   0.0   172   232    49   109    35   153 0.88 -
31196at6656_407821_0:0026f5|TRINITY_DN82339_c12_g1_i8:1346-1537|-  -             64 50947at6656          -            438   7.7e-07   25.8   0.1   1   1   3.6e-08   8.1e-07   25.8   0.1   199   252     2    55     1    64 0.82 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+    -            377 50947at6656          -            438   1.1e-06   25.3   0.1   1   2   2.6e-07   5.8e-06   22.9   0.0   165   273   188   300   177   307 0.83 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+    -            377 50947at6656          -            438   1.1e-06   25.3   0.1   2   2       3.3        73   -0.4   0.0   196   224   332   362   327   373 0.54 -
55599at6656_7070_0:000590|TRINITY_DN84255_c7_g1_i5:398-1957|+      -            520 50947at6656          -            438   1.1e-06   25.3   0.0   1   2      0.21       4.7    3.5   0.0   379   431   106   158    93   164 0.81 -
55599at6656_7070_0:000590|TRINITY_DN84255_c7_g1_i5:398-1957|+      -            520 50947at6656          -            438   1.1e-06   25.3   0.0   2   2   3.2e-06   7.2e-05   19.3   0.0   182   243   243   305   211   353 0.80 -
83755at6656_32264_0:001274|TRINITY_DN80976_c6_g1_i4:720-1352|+     -            211 50947at6656          -            438   1.2e-06   25.2   0.1   1   1   1.4e-07   3.1e-06   23.8   0.1   152   315    21   202    17   207 0.72 -
96971at6656_143948_0:000b2a|TRINITY_DN80445_c11_g1_i4:389-766|-    -            126 50947at6656          -            438   1.5e-06   24.9   0.8   1   1   2.5e-07   5.5e-06   23.0   0.8   219   322     7   113     2   123 0.70 -
118807at6656_7536_0:0003d0|TRINITY_DN82339_c12_g1_i8:756-1031|-    -             92 50947at6656          -            438   2.5e-06   24.2   0.1   1   2   1.6e-06   3.6e-05   20.3   0.0   195   233     7    44     1    47 0.91 -
118807at6656_7536_0:0003d0|TRINITY_DN82339_c12_g1_i8:756-1031|-    -             92 50947at6656          -            438   2.5e-06   24.2   0.1   2   2      0.51        11    2.2   0.0   195   231    56    92    47    92 0.80 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 50947at6656          -            438   2.5e-06   24.1   0.5   1   3   5.4e-06   0.00012   18.6   0.1   162   306     9   153     4   165 0.87 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 50947at6656          -            438   2.5e-06   24.1   0.5   2   3       1.4        30    0.8   0.0   264   316   154   206   145   215 0.68 -
126074at6656_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 50947at6656          -            438   2.5e-06   24.1   0.5   3   3      0.64        14    1.9   0.0   171   190   272   291   222   305 0.72 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-      -            107 50947at6656          -            438   2.9e-06   23.9   0.1   1   2      0.35       7.9    2.7   0.1   304   318     3    17     1    28 0.85 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-      -            107 50947at6656          -            438   2.9e-06   23.9   0.1   2   2     3e-06   6.7e-05   19.4   0.0   156   233    29   106    22   107 0.83 -
13019at6656_72036_0:001264|TRINITY_DN89819_c0_g1_i2:220-1206|+     -            329 50947at6656          -            438   4.6e-06   23.3   0.0   1   2    0.0012     0.028   10.8   0.1   279   316   124   161    91   169 0.84 -
13019at6656_72036_0:001264|TRINITY_DN89819_c0_g1_i2:220-1206|+     -            329 50947at6656          -            438   4.6e-06   23.3   0.0   2   2     0.002     0.046   10.1   0.0   158   302   173   326   168   329 0.75 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-    -            282 50947at6656          -            438     5e-06   23.2   0.0   1   3       4.3        96   -0.8   0.0   202   235    13    46     6    60 0.79 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-    -            282 50947at6656          -            438     5e-06   23.2   0.0   2   3   0.00014    0.0031   13.9   0.0   195   276    99   181    73   186 0.81 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-    -            282 50947at6656          -            438     5e-06   23.2   0.0   3   3     0.038      0.84    5.9   0.0   154   195   187   228   182   241 0.80 -
71018at6656_168631_0:00011f|TRINITY_DN82339_c12_g2_i1:598-852|+    -             85 50947at6656          -            438   7.3e-06   22.6   0.1   1   1   3.3e-07   7.3e-06   22.6   0.1   221   295     4    76     1    85 0.66 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 50947at6656          -            438     8e-06   22.5   0.4   1   4       6.9   1.6e+02   -1.5   0.0   215   275    20    84     6    91 0.55 -
