#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109174at6656_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-   -            316 109174at6656         -            256   4.6e-68  226.8   2.1   1   1   5.6e-68   4.2e-66  220.4   2.1     1   248     2   315     2   316 0.82 -
103749at6656_54969_0:00096d|TRINITY_DN84623_c10_g1_i1:3907-4620|+ -            238 109174at6656         -            256     0.022   11.6   0.0   2   3     0.051       3.8    4.2   0.0    88   115   123   150   108   153 0.82 -
103749at6656_54969_0:00096d|TRINITY_DN84623_c10_g1_i1:3907-4620|+ -            238 109174at6656         -            256     0.022   11.6   0.0   3   3       2.7     2e+02   -1.4   0.0    91   115   184   208   174   213 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 109174at6656         -            256     0.024   11.4   0.0   1   3    0.0031      0.23    8.2   0.0    92   163   116   179   112   194 0.80 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 109174at6656         -            256     0.024   11.4   0.0   2   3       3.8   2.8e+02   -1.9   0.0    92   107   208   223   196   244 0.70 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+   -            429 109174at6656         -            256     0.024   11.4   0.0   3   3       4.4   3.3e+02   -2.1   0.0   209   224   375   390   374   398 0.84 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 109174at6656         -            256     0.038   10.8   2.8   1   5         2   1.5e+02   -1.0   0.0   134   164    19    49    14   103 0.58 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 109174at6656         -            256     0.038   10.8   2.8   2   5       7.6   5.6e+02   -2.9   0.0    89   121   314   346   307   349 0.76 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 109174at6656         -            256     0.038   10.8   2.8   3   5    0.0043      0.32    7.8   0.0    33    87   372   425   366   438 0.85 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 109174at6656         -            256     0.038   10.8   2.8   4   5       4.2   3.1e+02   -2.0   0.0    91   108   487   505   484   509 0.85 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 109174at6656         -            256     0.038   10.8   2.8   5   5         4     3e+02   -2.0   0.0    85   110   630   655   617   675 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/109174at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/109174at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/109174at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
