#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 45131at6656          -            346   1.2e-55  186.2   0.0   1   1   6.2e-57   1.4e-55  186.0   0.0     4   120    61   179    58   179 0.96 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 45131at6656          -            346   3.7e-14   49.8   0.1   1   3   7.4e-11   1.6e-09   34.5   0.0    10   121     1   112     1   115 0.92 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 45131at6656          -            346   3.7e-14   49.8   0.1   2   3     5e-06   0.00011   18.6   0.0    58   120    92   156    92   171 0.84 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+  -            238 45131at6656          -            346   3.7e-14   49.8   0.1   3   3     0.019      0.42    6.8   0.0    81   117   202   238   187   238 0.74 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 45131at6656          -            346   7.2e-14   48.8   0.0   1   2   8.6e-11   1.9e-09   34.3   0.0     6   130   313   438   308   443 0.87 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-  -            521 45131at6656          -            346   7.2e-14   48.8   0.0   2   2   0.00035    0.0079   12.5   0.1    46   114   438   520   431   521 0.69 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 45131at6656          -            346     9e-14   48.5   0.4   1   3   1.5e-07   3.4e-06   23.6   0.2    61   123    11    75     4    88 0.87 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 45131at6656          -            346     9e-14   48.5   0.4   2   3   7.3e-07   1.6e-05   21.4   0.0    62   133   100   172    83   190 0.87 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+     -            215 45131at6656          -            346     9e-14   48.5   0.4   3   3      0.99        22    1.2   0.0    58    87   184   213   166   215 0.61 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 45131at6656          -            346   1.2e-13   48.1   0.3   1   3     0.003     0.067    9.5   0.0    92   119   216   243   207   253 0.69 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 45131at6656          -            346   1.2e-13   48.1   0.3   2   3   6.6e-11   1.5e-09   34.6   0.2     7   122   264   381   257   406 0.88 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 45131at6656          -            346   1.2e-13   48.1   0.3   3   3       2.6        58   -0.2   0.0    20    74   455   511   445   513 0.63 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 45131at6656          -            346   1.4e-13   47.9   1.3   1   3    0.0007     0.015   11.6   0.0     7    96   227   323   222   355 0.69 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 45131at6656          -            346   1.4e-13   47.9   1.3   2   3      0.12       2.6    4.2   0.0    89   149   478   538   474   547 0.83 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 45131at6656          -            346   1.4e-13   47.9   1.3   3   3     5e-10   1.1e-08   31.8   1.7    40   122   512   594   491   599 0.83 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 45131at6656          -            346     2e-13   47.4   3.5   1   3   0.00018    0.0041   13.5   0.0    60   119    13    75     1    85 0.80 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 45131at6656          -            346     2e-13   47.4   3.5   2   3   5.2e-05    0.0012   15.2   0.5    13   125    81   206    75   212 0.78 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+  -            287 45131at6656          -            346     2e-13   47.4   3.5   3   3   1.3e-07   2.8e-06   23.8   0.1    10   118   174   286   166   287 0.80 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-     -            155 45131at6656          -            346   6.6e-13   45.7   0.5   1   2   8.9e-10     2e-08   30.9   0.4    57   122     9    76     1    81 0.86 -
83755at6656_224129_0:002a26|TRINITY_DN71112_c3_g1_i1:11-475|-     -            155 45131at6656          -            346   6.6e-13   45.7   0.5   2   2   0.00028    0.0061   12.9   0.0     4    75    83   154    80   155 0.86 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 45131at6656          -            346   1.8e-12   44.2   0.4   1   5       1.7        37    0.4   0.0    98   129   187   218   173   223 0.77 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 45131at6656          -            346   1.8e-12   44.2   0.4   2   5       2.6        58   -0.2   0.0    68   109   200   246   192   259 0.50 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 45131at6656          -            346   1.8e-12   44.2   0.4   3   5       1.6        36    0.5   0.0    98   131   288   322   254   335 0.77 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 45131at6656          -            346   1.8e-12   44.2   0.4   4   5   3.2e-11   7.1e-10   35.7   0.1    14   108   336   439   331   446 0.83 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 45131at6656          -            346   1.8e-12   44.2   0.4   5   5       1.1        24    1.1   0.0   302   341   451   495   444   501 0.70 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 45131at6656          -            346   2.6e-12   43.7   2.9   1   3     0.019      0.41    6.9   0.0    64   129   177   199   101   209 0.75 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 45131at6656          -            346   2.6e-12   43.7   2.9   2   3    0.0052      0.12    8.7   0.1    41    81   202   244   195   247 0.79 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-   -            386 45131at6656          -            346   2.6e-12   43.7   2.9   3   3   6.1e-09   1.4e-07   28.2   0.1    41   126   248   337   241   340 0.83 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 45131at6656          -            346   3.9e-12   43.1   0.0   1   2   3.4e-08   7.5e-07   25.7   0.0    60   122   464   525   415   529 0.71 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+    -            619 45131at6656          -            346   3.9e-12   43.1   0.0   2   2   6.7e-05    0.0015   14.9   0.0     9    89   537   618   529   619 0.60 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 45131at6656          -            346   8.3e-12   42.0   0.3   1   2   1.1e-05   0.00025   17.4   0.0    44   119    30   107    15   111 0.84 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 45131at6656          -            346   8.3e-12   42.0   0.3   2   2   2.3e-09   5.2e-08   29.6   0.2     8   128    79   200    75   208 0.87 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+   -            377 45131at6656          -            346   1.4e-11   41.3   4.5   1   2       1.4        30    0.7   0.0    99   129   143   173   134   177 0.77 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+   -            377 45131at6656          -            346   1.4e-11   41.3   4.5   2   2   1.3e-12   2.9e-11   40.2   0.5    23   121   200   303   192   308 0.82 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+   -            289 45131at6656          -            346   1.9e-11   40.8   0.0   1   1   1.6e-12   3.6e-11   39.9   0.0    11   117   181   289   171   289 0.90 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 45131at6656          -            346   2.4e-11   40.5   0.1   1   3    0.0011     0.024   10.9   0.0    89   122     1    34     1    39 0.88 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 45131at6656          -            346   2.4e-11   40.5   0.1   2   3   2.8e-06   6.2e-05   19.4   0.0     6   120    48   166    44   170 0.79 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 45131at6656          -            346   2.4e-11   40.5   0.1   3   3     0.025      0.56    6.4   0.0    58   117   238   305   183   305 0.63 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 45131at6656          -            346   2.9e-11   40.2   0.0   1   3   2.2e-09   4.8e-08   29.7   0.0     9   126    33   151    28   157 0.89 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 45131at6656          -            346   2.9e-11   40.2   0.0   2   3      0.03      0.67    6.2   0.0    83   130   150   200   147   223 0.76 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+ -            272 45131at6656          -            346   2.9e-11   40.2   0.0   3   3      0.47        10    2.3   0.0    71   117   227   272   218   272 0.83 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 45131at6656          -            346   3.2e-11   40.1   1.1   1   3   0.00012    0.0028   14.0   0.0    57   136   128   209   120   226 0.84 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 45131at6656          -            346   3.2e-11   40.1   1.1   2   3   4.1e-06   9.2e-05   18.9   0.0    66   118   228   283   218   297 0.82 -
30962at6656_294128_0:002811|TRINITY_DN88016_c0_g6_i1:100-3633|+   -           1178 45131at6656          -            346   3.2e-11   40.1   1.1   3   3      0.12       2.6    4.3   0.0    87   119   298   331   288   333 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 45131at6656          -            346   3.4e-11   40.0   0.8   1   2    0.0001    0.0023   14.3   0.0    56   122    54   118     1   124 0.76 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 45131at6656          -            346   3.4e-11   40.0   0.8   2   2   3.2e-10   7.1e-09   32.4   0.4     7   120    86   200    81   207 0.90 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 45131at6656          -            346   3.6e-11   40.0   1.3   1   3   5.8e-05    0.0013   15.1   0.0     7   123     3   123     1   160 0.78 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 45131at6656          -            346   3.6e-11   40.0   1.3   2   3      0.05       1.1    5.5   0.1    85   130   183   228   156   233 0.73 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 45131at6656          -            346   3.6e-11   40.0   1.3   3   3   2.2e-05   0.00049   16.5   0.4    61   122   259   320   249   330 0.86 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 45131at6656          -            346   4.1e-11   39.8   0.0   1   3   2.5e-07   5.5e-06   22.9   0.0    45   121    13    92     4   112 0.87 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 45131at6656          -            346   4.1e-11   39.8   0.0   2   3       4.5        99   -1.0   0.0   199   226   139   166   116   185 0.75 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 45131at6656          -            346   4.1e-11   39.8   0.0   3   3   0.00015    0.0034   13.7   0.0    10   117   209   324   198   324 0.80 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+     -            212 45131at6656          -            346   1.6e-10   37.8   0.0   1   2   8.9e-10     2e-08   30.9   0.0    57   124    17    91     4   100 0.83 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+     -            212 45131at6656          -            346   1.6e-10   37.8   0.0   2   2     0.058       1.3    5.2   0.0     8    84   100   183    93   189 0.72 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+ -            214 45131at6656          -            346   2.6e-10   37.1   1.1   1   2   7.3e-06   0.00016   18.1   0.3    10   125     6   134     2   142 0.79 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+ -            214 45131at6656          -            346   2.6e-10   37.1   1.1   2   2   1.3e-07   2.9e-06   23.8   0.1    11   117   103   213    98   214 0.80 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 45131at6656          -            346   3.2e-10   36.8   0.6   1   3     5e-08   1.1e-06   25.2   0.1    43   122     4    80     2    96 0.69 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 45131at6656          -            346   3.2e-10   36.8   0.6   2   3      0.11       2.5    4.3   0.0    29    77   135   189   117   235 0.64 -
83755at6656_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 45131at6656          -            346   3.2e-10   36.8   0.6   3   3     0.095       2.1    4.5   0.0    60   103   218   261   199   265 0.76 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 45131at6656          -            346   3.4e-10   36.7   1.8   1   3     0.062       1.4    5.1   0.0    70   125    66   120    29   127 0.86 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 45131at6656          -            346   3.4e-10   36.7   1.8   2   3   6.8e-06   0.00015   18.2   0.3    47   129   176   258   168   263 0.85 -
65949at6656_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 45131at6656          -            346   3.4e-10   36.7   1.8   3   3    0.0013     0.029   10.7   0.0     7    77   265   338   263   347 0.83 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-    -            355 45131at6656          -            346   4.2e-10   36.4   0.0   1   3    0.0016     0.036   10.3   0.0    47   154    47   155     1   157 0.68 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-    -            355 45131at6656          -            346   4.2e-10   36.4   0.0   2   3      0.53        12    2.1   0.0    86   121   169   204   166   209 0.82 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-    -            355 45131at6656          -            346   4.2e-10   36.4   0.0   3   3   2.9e-06   6.5e-05   19.4   0.0    14   118   221   330   216   344 0.82 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 45131at6656          -            346   9.5e-10   35.3   0.4   1   3   8.6e-07   1.9e-05   21.1   0.1     6   118    72   183    67   192 0.85 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 45131at6656          -            346   9.5e-10   35.3   0.4   2   3     0.077       1.7    4.8   0.0    64   118   213   269   194   275 0.76 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+    -            409 45131at6656          -            346   9.5e-10   35.3   0.4   3   3     0.041      0.92    5.7   0.0    71   127   320   374   296   404 0.76 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-  -            296 45131at6656          -            346   2.2e-09   34.0   0.4   1   2    0.0065      0.14    8.4   0.1    62   118    68   121    13   130 0.86 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-  -            296 45131at6656          -            346   2.2e-09   34.0   0.4   2   2   1.6e-07   3.6e-06   23.5   0.0    45   117   178   247   151   257 0.81 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 45131at6656          -            346   2.5e-09   33.9   0.4   1   3    0.0001    0.0023   14.3   0.1    73   127     1    55     1    57 0.94 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 45131at6656          -            346   2.5e-09   33.9   0.4   2   3   7.5e-08   1.7e-06   24.6   0.0    13   120    24    90    13   103 0.54 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 45131at6656          -            346   2.5e-09   33.9   0.4   3   3      0.58        13    2.0   0.1   316   343   116   143   108   146 0.79 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 45131at6656          -            346   2.7e-09   33.8   1.3   1   3   0.00011    0.0024   14.2   0.0    43   122   257   342   250   376 0.73 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 45131at6656          -            346   2.7e-09   33.8   1.3   2   3      0.05       1.1    5.4   0.2    13   117   398   505   392   506 0.67 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 45131at6656          -            346   2.7e-09   33.8   1.3   3   3   0.00042    0.0093   12.3   0.0    22    74   493   548   487   553 0.52 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 45131at6656          -            346   3.1e-09   33.6   0.9   1   2   3.8e-05   0.00085   15.7   0.1    61   128    20    86     1   119 0.63 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 45131at6656          -            346   3.1e-09   33.6   0.9   2   2   5.8e-05    0.0013   15.1   0.1    63   121   159   216   132   226 0.85 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 45131at6656          -            346   3.3e-09   33.5   0.0   1   3   8.1e-08   1.8e-06   24.5   0.0    46   119     3    79     1    96 0.82 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 45131at6656          -            346   3.3e-09   33.5   0.0   2   3     0.071       1.6    4.9   0.0    60    80   106   126    84   136 0.79 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 45131at6656          -            346   3.3e-09   33.5   0.0   3   3         2        43    0.2   0.0    12    37   245   270   236   273 0.82 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+    -            182 45131at6656          -            346   3.4e-09   33.4   0.1   1   2    0.0036     0.081    9.2   0.0    72   121     4    52     2    59 0.89 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+    -            182 45131at6656          -            346   3.4e-09   33.4   0.1   2   2   7.2e-07   1.6e-05   21.4   0.0    46   118    61   135    52   144 0.79 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+   -            407 45131at6656          -            346   4.6e-09   33.0   1.2   1   3      0.81        18    1.5   0.1    51    79    35    64    24   110 0.84 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+   -            407 45131at6656          -            346   4.6e-09   33.0   1.2   2   3   1.2e-08   2.7e-07   27.2   0.0    41   123   200   283   162   287 0.86 -
53201at6656_438502_0:0023f5|TRINITY_DN86274_c10_g1_i1:30-1250|+   -            407 45131at6656          -            346   4.6e-09   33.0   1.2   3   3       1.3        30    0.8   0.0    95   121   379   405   357   407 0.77 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-       -            112 45131at6656          -            346   5.2e-09   32.8   2.1   1   2   4.1e-08   9.1e-07   25.5   0.7    66   127     1    61     1    66 0.87 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-       -            112 45131at6656          -            346   5.2e-09   32.8   2.1   2   2     0.014      0.32    7.2   0.0    42    90    66   112    62   112 0.85 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 45131at6656          -            346   6.6e-09   32.5   0.0   1   2     0.094       2.1    4.5   0.0    43    79    10    46     4    56 0.85 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 45131at6656          -            346   6.6e-09   32.5   0.0   2   2   7.1e-08   1.6e-06   24.7   0.0    58   122   161   226   108   235 0.88 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 45131at6656          -            346   8.3e-09   32.2   0.2   1   2   8.2e-07   1.8e-05   21.2   0.1    59   126     8    75     5    83 0.87 -
19590at6656_7539_0:00322d|TRINITY_DN86640_c10_g1_i3:1017-1625|+   -            203 45131at6656          -            346   8.3e-09   32.2   0.2   2   2    0.0041     0.091    9.0   0.0    62   121    98   157    91   167 0.80 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+    -            153 45131at6656          -            346   2.5e-08   30.6   0.1   1   3     0.033      0.72    6.1   0.0    61    78     4    21     2    28 0.91 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+    -            153 45131at6656          -            346   2.5e-08   30.6   0.1   2   3   2.1e-06   4.6e-05   19.9   0.0    60   120    51   110    43   114 0.91 -
83755at6656_7222_0:00003c|TRINITY_DN88294_c4_g1_i9:2636-3094|+    -            153 45131at6656          -            346   2.5e-08   30.6   0.1   3   3       1.1        24    1.1   0.0   313   335   124   146   119   153 0.83 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+ -            205 45131at6656          -            346     3e-08   30.4   0.0   1   2   4.1e-08   9.2e-07   25.5   0.0    14   121     5   118     1   122 0.82 -
22611at6656_1629725_0:000db0|TRINITY_DN87964_c7_g1_i3:1115-1729|+ -            205 45131at6656          -            346     3e-08   30.4   0.0   2   2      0.27       5.9    3.1   0.0    66   111   152   199   133   205 0.72 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 45131at6656          -            346   3.7e-08   30.0   0.6   1   3      0.13         3    4.0   0.0   101   125    68    92    61    99 0.87 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 45131at6656          -            346   3.7e-08   30.0   0.6   2   3   0.00028    0.0062   12.9   0.0    41   133    95   189    90   190 0.84 -
19590at6656_136037_0:001848|TRINITY_DN92405_c11_g1_i2:85-2370|+   -            762 45131at6656          -            346   3.7e-08   30.0   0.6   3   3    0.0038     0.085    9.1   0.1    61   121   204   266   200   271 0.75 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+ -            295 45131at6656          -            346   5.5e-08   29.5   0.1   1   2   8.4e-05    0.0019   14.6   0.0    17   120    51   154    45   163 0.90 -
103749at6656_110193_0:003054|TRINITY_DN85821_c14_g1_i1:183-1067|+ -            295 45131at6656          -            346   5.5e-08   29.5   0.1   2   2   0.00049     0.011   12.0   0.3    26   121   183   281   158   290 0.81 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-   -            183 45131at6656          -            346     8e-08   28.9   0.2   1   2       1.1        25    1.0   0.0   283   299     5    21     3    46 0.69 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-   -            183 45131at6656          -            346     8e-08   28.9   0.2   2   2   2.6e-08   5.8e-07   26.1   0.0    42   123    75   154    48   177 0.82 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 45131at6656          -            346     8e-08   28.9   0.5   1   3     0.023       0.5    6.6   0.0    38   119    67   104    22   113 0.63 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 45131at6656          -            346     8e-08   28.9   0.5   2   3     0.064       1.4    5.1   0.0   308   342   134   168   123   173 0.84 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+  -            291 45131at6656          -            346     8e-08   28.9   0.5   3   3   0.00021    0.0046   13.3   0.1     3   117   179   291   177   291 0.92 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 45131at6656          -            346   8.8e-08   28.8   0.0   1   3   4.5e-07     1e-05   22.0   0.0    12   156    28   169    21   177 0.81 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 45131at6656          -            346   8.8e-08   28.8   0.0   2   3    0.0072      0.16    8.2   0.0    93   157   108   170   103   237 0.59 -
83755at6656_6973_0:004ca4|TRINITY_DN84958_c6_g2_i4:561-1439|+     -            293 45131at6656          -            346   8.8e-08   28.8   0.0   3   3      0.34       7.5    2.7   0.0    51    80   246   276   232   283 0.76 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+  -           1204 45131at6656          -            346     1e-07   28.6   0.1   1   3   5.4e-06   0.00012   18.5   0.0     9    75    20    87    16    95 0.86 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+  -           1204 45131at6656          -            346     1e-07   28.6   0.1   2   3       5.5   1.2e+02   -1.3   0.0   311   336    95   120    91   126 0.87 -
22468at6656_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+  -           1204 45131at6656          -            346     1e-07   28.6   0.1   3   3     0.038      0.85    5.8   0.1   315   344   268   297   263   299 0.90 -
44953at6656_197043_0:002247|TRINITY_DN72935_c10_g4_i1:225-863|+   -            213 45131at6656          -            346   1.2e-07   28.3   0.1   1   1   7.8e-09   1.7e-07   27.8   0.1    13   108   104   204    71   213 0.87 -
13019at6656_72036_0:001264|TRINITY_DN89819_c0_g1_i2:220-1206|+    -            329 45131at6656          -            346   1.4e-07   28.2   0.1   1   1   9.7e-09   2.2e-07   27.5   0.1    39   122   123   208    79   216 0.71 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+   -            214 45131at6656          -            346   2.6e-07   27.3   0.1   1   2   1.1e-05   0.00024   17.5   0.0    57   124     5    78     2    85 0.86 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+   -            214 45131at6656          -            346   2.6e-07   27.3   0.1   2   2     0.012      0.26    7.5   0.0    15    81    94   167    81   212 0.50 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|- -            245 45131at6656          -            346   2.8e-07   27.1   0.0   1   2       0.5        11    2.1   0.0   318   343    76   101    52   104 0.84 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|- -            245 45131at6656          -            346   2.8e-07   27.1   0.0   2   2   6.4e-07   1.4e-05   21.5   0.1    59   117   186   244   129   245 0.79 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 45131at6656          -            346   4.8e-07   26.4   3.9   1   4       1.6        35    0.5   0.0    14    57    16    59    13   100 0.58 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 45131at6656          -            346   4.8e-07   26.4   3.9   2   4    0.0016     0.036   10.4   0.0    67   121   179   238   171   246 0.78 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 45131at6656          -            346   4.8e-07   26.4   3.9   3   4     0.022       0.5    6.6   0.3    57   112   580   634   573   649 0.86 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 45131at6656          -            346   4.8e-07   26.4   3.9   4   4     0.047         1    5.5   0.1    52    99   669   716   646   726 0.81 -
