#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 448514at33208        -            271   7.7e-45  149.0   0.1   1   1   1.4e-45   9.7e-45  148.7   0.1     3    98    79   179    77   179 0.93 -
472352at33208_37653_0:002944|TRINITY_DN90607_c6_g1_i9:2079-2681|+    -            201 448514at33208        -            271   3.2e-10   35.5   2.7   2   2   8.2e-10   5.7e-09   31.4   1.6     4    81   110   191   109   200 0.84 -
380583at33208_52283_0:00236e|TRINITY_DN86669_c5_g1_i3:605-1312|-     -            236 448514at33208        -            271   4.8e-10   34.9   0.0   1   3    0.0028      0.02   10.0   0.0    42    89    55   102    39   130 0.73 -
380583at33208_52283_0:00236e|TRINITY_DN86669_c5_g1_i3:605-1312|-     -            236 448514at33208        -            271   4.8e-10   34.9   0.0   2   3   0.00013    0.0009   14.4   0.0   208   268   135   202   131   205 0.78 -
380583at33208_52283_0:00236e|TRINITY_DN86669_c5_g1_i3:605-1312|-     -            236 448514at33208        -            271   4.8e-10   34.9   0.0   3   3     0.037      0.26    6.3   0.0   235   259   212   236   205   236 0.87 -
380583at33208_400682_0:000ee4|TRINITY_DN86919_c6_g1_i6:277-996|-     -            240 448514at33208        -            271   6.1e-10   34.6   0.0   1   3   0.00032    0.0022   13.1   0.0    27    62    40    77    26    91 0.83 -
380583at33208_400682_0:000ee4|TRINITY_DN86919_c6_g1_i6:277-996|-     -            240 448514at33208        -            271   6.1e-10   34.6   0.0   2   3   8.6e-05    0.0006   14.9   0.0     2    63   102   165   100   171 0.83 -
380583at33208_400682_0:000ee4|TRINITY_DN86919_c6_g1_i6:277-996|-     -            240 448514at33208        -            271   6.1e-10   34.6   0.0   3   3      0.48       3.4    2.6   0.0   201   228   192   220   177   231 0.75 -
448514at33208_38123_0:000be9|TRINITY_DN80473_c9_g2_i2:792-1136|-     -            115 448514at33208        -            271   9.3e-10   34.0   2.0   1   1   3.1e-10   2.2e-09   32.8   2.0     5    97    20   115    16   115 0.80 -
472352at33208_6412_0:0003f4|TRINITY_DN88922_c5_g1_i4:283-858|+       -            192 448514at33208        -            271   1.1e-09   33.7   0.0   1   1   1.9e-10   1.4e-09   33.4   0.0    40   152    34   157    13   188 0.80 -
448514at33208_441894_0:001fa2|TRINITY_DN75538_c8_g1_i1:138-419|-     -             94 448514at33208        -            271   1.2e-09   33.7   2.2   1   1   1.2e-09   8.6e-09   30.8   2.1    27    96     9    87     1    88 0.83 -
380583at33208_6183_0:00159c|TRINITY_DN77327_c10_g2_i3:1746-2309|+    -            188 448514at33208        -            271   1.5e-09   33.3   0.6   1   3       1.1       7.4    1.5   0.0    89   143     3    60     1    75 0.63 -
380583at33208_6183_0:00159c|TRINITY_DN77327_c10_g2_i3:1746-2309|+    -            188 448514at33208        -            271   1.5e-09   33.3   0.6   2   3       2.4        17    0.4   0.0   245   267    84   106    68   110 0.78 -
380583at33208_6183_0:00159c|TRINITY_DN77327_c10_g2_i3:1746-2309|+    -            188 448514at33208        -            271   1.5e-09   33.3   0.6   3   3   3.7e-09   2.6e-08   29.3   0.1     5    72    96   165    91   171 0.80 -
380583at33208_64838_0:000af8|TRINITY_DN85368_c12_g1_i1:289-879|+     -            197 448514at33208        -            271   1.9e-09   32.9   0.0   1   3   1.1e-06   7.7e-06   21.1   0.0    29   128     2   105     1   139 0.80 -
380583at33208_64838_0:000af8|TRINITY_DN85368_c12_g1_i1:289-879|+     -            197 448514at33208        -            271   1.9e-09   32.9   0.0   2   3     0.084      0.59    5.1   0.0   210   264    95   152    85   159 0.87 -
380583at33208_64838_0:000af8|TRINITY_DN85368_c12_g1_i1:289-879|+     -            197 448514at33208        -            271   1.9e-09   32.9   0.0   3   3    0.0048     0.034    9.2   0.0    24    56   164   197   141   197 0.74 -
380583at33208_6500_0:000e99|TRINITY_DN72062_c12_g1_i3:1182-2048|+    -            289 448514at33208        -            271   2.5e-09   32.6   5.6   1   2   4.7e-05   0.00033   15.8   0.1    29    74     1    51     1    87 0.80 -
380583at33208_6500_0:000e99|TRINITY_DN72062_c12_g1_i3:1182-2048|+    -            289 448514at33208        -            271   2.5e-09   32.6   5.6   2   2   0.00016    0.0011   14.0   1.8    38    95   227   288   190   289 0.72 -
380583at33208_79782_0:0027d3|TRINITY_DN71312_c0_g1_i1:306-920|-      -            205 448514at33208        -            271     3e-09   32.3   2.2   1   2   1.1e-07   7.4e-07   24.5   0.1    40   133    19   115    17   133 0.83 -
380583at33208_79782_0:0027d3|TRINITY_DN71312_c0_g1_i1:306-920|-      -            205 448514at33208        -            271     3e-09   32.3   2.2   2   2     0.018      0.13    7.3   0.4   208   265   138   201   127   204 0.77 -
380583at33208_112268_0:001d60|TRINITY_DN81477_c5_g1_i2:1439-2284|-   -            282 448514at33208        -            271   3.3e-09   32.2   5.1   1   3     0.091      0.63    5.0   0.1    54   104     3    56     1    75 0.75 -
380583at33208_112268_0:001d60|TRINITY_DN81477_c5_g1_i2:1439-2284|-   -            282 448514at33208        -            271   3.3e-09   32.2   5.1   2   3     0.034      0.24    6.4   0.0    30    62   112   146   104   163 0.81 -
380583at33208_112268_0:001d60|TRINITY_DN81477_c5_g1_i2:1439-2284|-   -            282 448514at33208        -            271   3.3e-09   32.2   5.1   3   3   3.8e-08   2.6e-07   25.9   0.5     5   128   130   260   125   265 0.74 -
435253at33208_121845_0:002a3f|TRINITY_DN77327_c10_g2_i3:387-932|+    -            182 448514at33208        -            271   4.7e-09   31.7   3.9   1   2   1.2e-05   8.8e-05   17.7   0.1    39    99     5    67     2    73 0.85 -
435253at33208_121845_0:002a3f|TRINITY_DN77327_c10_g2_i3:387-932|+    -            182 448514at33208        -            271   4.7e-09   31.7   3.9   2   2    0.0001   0.00071   14.7   0.7    28    98    76   150    71   158 0.80 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 448514at33208        -            271     5e-09   31.6   0.6   1   5     0.019      0.14    7.2   0.0    27    57     5    36     1    46 0.77 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 448514at33208        -            271     5e-09   31.6   0.6   2   5      0.11       0.8    4.7   0.1   237   266    43    72    16    76 0.50 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 448514at33208        -            271     5e-09   31.6   0.6   3   5     0.077      0.54    5.2   0.0    28    63    44    80    37    87 0.70 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 448514at33208        -            271     5e-09   31.6   0.6   4   5      0.16       1.2    4.2   0.0   141   181    74   111    68   127 0.64 -
380583at33208_10224_0:001835|TRINITY_DN87964_c7_g1_i3:493-1564|+     -            242 448514at33208        -            271     5e-09   31.6   0.6   5   5   0.00012   0.00084   14.5   0.0     3    99   105   210   103   213 0.77 -
380583at33208_136037_0:00162a|TRINITY_DN79765_c9_g1_i4:1235-1894|+   -            220 448514at33208        -            271   5.8e-09   31.4   0.2   1   2   6.6e-06   4.6e-05   18.6   0.0    47    99    77   132    37   137 0.83 -
380583at33208_136037_0:00162a|TRINITY_DN79765_c9_g1_i4:1235-1894|+   -            220 448514at33208        -            271   5.8e-09   31.4   0.2   2   2    0.0042     0.029    9.4   0.1    28    59   183   215   173   219 0.83 -
472352at33208_8208_0:0021c3|TRINITY_DN86274_c10_g1_i1:561-890|+      -            110 448514at33208        -            271   9.3e-09   30.7   0.0   1   1   1.7e-09   1.2e-08   30.4   0.0    21   102    21   107     7   109 0.83 -
380583at33208_29159_0:002c90|TRINITY_DN71555_c11_g1_i1:767-1138|+    -            124 448514at33208        -            271   1.2e-08   30.4   0.1   1   2    0.0021     0.015   10.4   0.0    33    81     3    54     1    74 0.74 -
380583at33208_29159_0:002c90|TRINITY_DN71555_c11_g1_i1:767-1138|+    -            124 448514at33208        -            271   1.2e-08   30.4   0.1   2   2   5.3e-06   3.7e-05   18.9   0.0     6    60    62   117    57   120 0.80 -
380583at33208_125878_0:0009cc|TRINITY_DN71308_c0_g1_i2:388-1023|-    -            212 448514at33208        -            271   1.5e-08   30.0   1.5   1   2    0.0052     0.036    9.1   0.0    82   132    15    66     1   112 0.57 -
380583at33208_125878_0:0009cc|TRINITY_DN71308_c0_g1_i2:388-1023|-    -            212 448514at33208        -            271   1.5e-08   30.0   1.5   2   2   2.6e-06   1.8e-05   19.9   0.4    27    98   133   209   122   212 0.86 -
380583at33208_109280_0:00170d|TRINITY_DN87790_c10_g1_i2:763-1632|-   -            290 448514at33208        -            271   1.6e-08   29.9   0.9   1   3       2.5        18    0.3   0.0    83   103    96   116    91   138 0.70 -
380583at33208_109280_0:00170d|TRINITY_DN87790_c10_g1_i2:763-1632|-   -            290 448514at33208        -            271   1.6e-08   29.9   0.9   2   3     0.018      0.13    7.3   0.1    40    66   140   166   129   171 0.82 -
380583at33208_109280_0:00170d|TRINITY_DN87790_c10_g1_i2:763-1632|-   -            290 448514at33208        -            271   1.6e-08   29.9   0.9   3   3   5.8e-08   4.1e-07   25.3   0.2     3    67   144   214   141   220 0.82 -
448514at33208_441894_0:001fa2|TRINITY_DN84398_c2_g1_i4:1503-1784|+   -             94 448514at33208        -            271   1.8e-08   29.7   0.0   1   1   2.7e-09   1.9e-08   29.7   0.0    24    90    14    84     1    94 0.79 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 448514at33208        -            271   1.9e-08   29.7   3.0   1   3    0.0026     0.018   10.1   0.1    19    58    16    54     2    60 0.76 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 448514at33208        -            271   1.9e-08   29.7   3.0   2   3      0.04      0.28    6.2   0.0   232   265    83   116    73   123 0.85 -
380583at33208_7739_0:00143a|TRINITY_DN89883_c1_g1_i8:2500-3222|+     -            241 448514at33208        -            271   1.9e-08   29.7   3.0   3   3    0.0014    0.0096   11.0   0.3    27   133   130   237   121   241 0.76 -
380583at33208_125878_0:0009cc|TRINITY_DN88422_c3_g1_i29:1751-2407|+  -            219 448514at33208        -            271     2e-08   29.6   0.1   1   2       1.2       8.1    1.4   0.0    89   128    32    76     3   105 0.53 -
380583at33208_125878_0:0009cc|TRINITY_DN88422_c3_g1_i29:1751-2407|+  -            219 448514at33208        -            271     2e-08   29.6   0.1   2   2   2.1e-08   1.4e-07   26.8   0.1    38   108   111   184    71   213 0.78 -
380583at33208_7536_0:00293c|TRINITY_DN71446_c0_g2_i2:474-1172|+      -            233 448514at33208        -            271   2.6e-08   29.2   2.2   1   2   0.00014   0.00097   14.3   0.2    29   135     3   111     1   149 0.54 -
380583at33208_7536_0:00293c|TRINITY_DN71446_c0_g2_i2:474-1172|+      -            233 448514at33208        -            271   2.6e-08   29.2   2.2   2   2     9e-05   0.00063   14.9   0.1    45    99   157   214   151   222 0.60 -
380583at33208_29159_0:003170|TRINITY_DN74606_c10_g1_i7:1348-1770|-   -            141 448514at33208        -            271   2.8e-08   29.1   4.4   1   3   0.00019    0.0014   13.8   0.5    45    79    25    66    19    69 0.79 -
380583at33208_29159_0:003170|TRINITY_DN74606_c10_g1_i7:1348-1770|-   -            141 448514at33208        -            271   2.8e-08   29.1   4.4   2   3   0.00038    0.0027   12.8   0.3    25    62    53    92    43    96 0.79 -
380583at33208_29159_0:003170|TRINITY_DN74606_c10_g1_i7:1348-1770|-   -            141 448514at33208        -            271   2.8e-08   29.1   4.4   3   3     0.042      0.29    6.1   0.0    23    51    97   127    91   140 0.75 -
380583at33208_8478_0:00299b|TRINITY_DN88294_c4_g1_i9:2645-3094|+     -            150 448514at33208        -            271   2.8e-08   29.1   0.1   1   3    0.0069     0.048    8.7   0.1    43    60     1    18     1    24 0.93 -
380583at33208_8478_0:00299b|TRINITY_DN88294_c4_g1_i9:2645-3094|+     -            150 448514at33208        -            271   2.8e-08   29.1   0.1   2   3   8.1e-05   0.00057   15.0   0.0    42    97    48   106    43   110 0.88 -
380583at33208_8478_0:00299b|TRINITY_DN88294_c4_g1_i9:2645-3094|+     -            150 448514at33208        -            271   2.8e-08   29.1   0.1   3   3      0.71         5    2.1   0.0   237   260   120   143   115   150 0.82 -
380583at33208_9258_0:003cbc|TRINITY_DN73000_c10_g2_i1:86-280|+       -             65 448514at33208        -            271   3.2e-08   28.9   0.0   1   1   4.8e-09   3.4e-08   28.9   0.0    29    81     3    56     1    65 0.85 -
380583at33208_29159_0:002c3e|TRINITY_DN92257_c8_g1_i9:2885-3577|+    -            231 448514at33208        -            271   3.7e-08   28.7   2.9   1   3   3.4e-05   0.00024   16.2   0.3    36    98    11    76     2    82 0.81 -
380583at33208_29159_0:002c3e|TRINITY_DN92257_c8_g1_i9:2885-3577|+    -            231 448514at33208        -            271   3.7e-08   28.7   2.9   2   3       3.1        22   -0.0   0.0   242   269    92   119    84   121 0.86 -
380583at33208_29159_0:002c3e|TRINITY_DN92257_c8_g1_i9:2885-3577|+    -            231 448514at33208        -            271   3.7e-08   28.7   2.9   3   3    0.0012    0.0083   11.2   0.0    46    97   157   213   118   222 0.75 -
380583at33208_1737458_0:00511b|TRINITY_DN81367_c0_g2_i1:68-346|-     -             93 448514at33208        -            271   6.3e-08   28.0   0.3   1   1   9.8e-09   6.9e-08   27.9   0.3    29   101     1    73     1    82 0.84 -
380583at33208_1737458_0:004c3d|TRINITY_DN82628_c4_g1_i7:1337-1813|+  -            159 448514at33208        -            271   6.3e-08   28.0   0.2   1   2   1.8e-05   0.00013   17.1   0.1    40    97    13    76     1    84 0.81 -
380583at33208_1737458_0:004c3d|TRINITY_DN82628_c4_g1_i7:1337-1813|+  -            159 448514at33208        -            271   6.3e-08   28.0   0.2   2   2    0.0086      0.06    8.4   0.0   200   226   130   157   109   159 0.75 -
472352at33208_70779_0:0021c5|TRINITY_DN79845_c2_g1_i13:64-678|+      -            205 448514at33208        -            271   6.3e-08   28.0   2.2   1   2   4.6e-08   3.2e-07   25.6   0.3     7   100    64   162    58   177 0.72 -
472352at33208_70779_0:0021c5|TRINITY_DN79845_c2_g1_i13:64-678|+      -            205 448514at33208        -            271   6.3e-08   28.0   2.2   2   2      0.73       5.1    2.0   0.1    41    58   186   203   170   205 0.82 -
380583at33208_62625_0:0005f7|TRINITY_DN84958_c6_g2_i4:780-1469|+     -            230 448514at33208        -            271   6.9e-08   27.8   0.0   1   4         3        21    0.0   0.0    85   103     8    26     6    29 0.88 -
380583at33208_62625_0:0005f7|TRINITY_DN84958_c6_g2_i4:780-1469|+     -            230 448514at33208        -            271   6.9e-08   27.8   0.0   2   4   2.4e-05   0.00017   16.8   0.0    19   133    21   138    13   156 0.74 -
380583at33208_62625_0:0005f7|TRINITY_DN84958_c6_g2_i4:780-1469|+     -            230 448514at33208        -            271   6.9e-08   27.8   0.0   3   4     0.024      0.17    6.9   0.0    32    62   172   203   158   213 0.83 -
380583at33208_62625_0:0005f7|TRINITY_DN84958_c6_g2_i4:780-1469|+     -            230 448514at33208        -            271   6.9e-08   27.8   0.0   4   4       6.8        47   -1.1   0.0   205   217   215   227   211   229 0.84 -
380583at33208_6183_0:00159c|TRINITY_DN87111_c8_g1_i2:960-1679|+      -            240 448514at33208        -            271   8.1e-08   27.6   0.0   1   1   2.1e-08   1.5e-07   26.8   0.0    32   174     2   152     1   171 0.75 -
380583at33208_50429_0:0004db|TRINITY_DN76062_c4_g3_i5:3337-3855|-    -            173 448514at33208        -            271     1e-07   27.3   0.7   1   2   8.3e-07   5.8e-06   21.5   0.1    40   267    24    82     4    86 0.45 -
380583at33208_50429_0:0004db|TRINITY_DN76062_c4_g3_i5:3337-3855|-    -            173 448514at33208        -            271     1e-07   27.3   0.7   2   2       0.4       2.8    2.9   0.0   240   268   110   138   104   141 0.84 -
380583at33208_9915_0:001e2c|TRINITY_DN89819_c0_g1_i2:316-882|+       -            189 448514at33208        -            271   1.1e-07   27.2   0.3   1   2       3.5        24   -0.2   0.0    33    58    56    81    39    95 0.64 -
380583at33208_9915_0:001e2c|TRINITY_DN89819_c0_g1_i2:316-882|+       -            189 448514at33208        -            271   1.1e-07   27.2   0.3   2   2   5.5e-08   3.9e-07   25.4   0.2    27    98    97   174    67   182 0.83 -
472352at33208_378494_0:003283|TRINITY_DN75137_c7_g5_i1:800-1183|-    -            128 448514at33208        -            271   1.7e-07   26.6   0.0   1   1   3.1e-08   2.2e-07   26.2   0.0    41   100     8    72     6    85 0.85 -
380583at33208_418985_0:000202|TRINITY_DN86640_c10_g1_i3:816-1481|+   -            222 448514at33208        -            271   1.7e-07   26.6   1.3   1   2   0.00016    0.0011   14.0   0.3    29    98    61   136    43   145 0.73 -
380583at33208_418985_0:000202|TRINITY_DN86640_c10_g1_i3:816-1481|+   -            222 448514at33208        -            271   1.7e-07   26.6   1.3   2   2   0.00063    0.0044   12.1   0.1    42    97   163   222   119   222 0.78 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+   -            212 448514at33208        -            271   1.8e-07   26.5   0.0   1   2   1.1e-07     8e-07   24.4   0.0    11    93    71   156    61   172 0.77 -
380583at33208_294128_0:0041aa|TRINITY_DN82334_c12_g1_i3:523-1158|+   -            212 448514at33208        -            271   1.8e-07   26.5   0.0   2   2       0.2       1.4    3.9   0.0   205   256   135   189   130   194 0.57 -
380583at33208_7237_0:0006d5|TRINITY_DN85821_c14_g1_i1:276-995|+      -            240 448514at33208        -            271     2e-07   26.3   0.0   1   3         2        14    0.6   0.0    26    61     8    42     6    53 0.74 -
380583at33208_7237_0:0006d5|TRINITY_DN85821_c14_g1_i1:276-995|+      -            240 448514at33208        -            271     2e-07   26.3   0.0   2   3   5.1e-05   0.00036   15.7   0.0     8    99    30   124    23   135 0.87 -
380583at33208_7237_0:0006d5|TRINITY_DN85821_c14_g1_i1:276-995|+      -            240 448514at33208        -            271     2e-07   26.3   0.0   3   3    0.0099      0.07    8.2   0.0     9    77   154   221   148   226 0.88 -
380583at33208_6210_0:001f6b|TRINITY_DN81296_c10_g1_i2:2794-3771|-    -            326 448514at33208        -            271   2.1e-07   26.3   0.0   1   3       2.7        19    0.2   0.0   214   267    29    89    20    93 0.72 -
380583at33208_6210_0:001f6b|TRINITY_DN81296_c10_g1_i2:2794-3771|-    -            326 448514at33208        -            271   2.1e-07   26.3   0.0   2   3      0.57         4    2.4   0.0   243   268   168   193   150   195 0.84 -
380583at33208_6210_0:001f6b|TRINITY_DN81296_c10_g1_i2:2794-3771|-    -            326 448514at33208        -            271   2.1e-07   26.3   0.0   3   3     5e-06   3.5e-05   19.0   0.0    28    80   263   317   225   319 0.66 -
380583at33208_123851_0:0041ee|TRINITY_DN82317_c5_g2_i8:360-1028|+    -            223 448514at33208        -            271   2.3e-07   26.2   5.4   1   3   0.00032    0.0023   13.0   2.2    29   100     7    90     2    92 0.77 -
380583at33208_123851_0:0041ee|TRINITY_DN82317_c5_g2_i8:360-1028|+    -            223 448514at33208        -            271   2.3e-07   26.2   5.4   2   3   0.00012   0.00081   14.5   0.6    32    94    60   126    42   128 0.79 -
380583at33208_123851_0:0041ee|TRINITY_DN82317_c5_g2_i8:360-1028|+    -            223 448514at33208        -            271   2.3e-07   26.2   5.4   3   3    0.0071      0.05    8.6   0.1    42    91   113   166    99   218 0.68 -
380583at33208_50429_0:0004db|TRINITY_DN73327_c12_g1_i2:1381-1863|-   -            161 448514at33208        -            271   3.3e-07   25.6   0.0   1   3     0.012     0.085    7.9   0.0   239   268     1    30     1    33 0.89 -
380583at33208_50429_0:0004db|TRINITY_DN73327_c12_g1_i2:1381-1863|-   -            161 448514at33208        -            271   3.3e-07   25.6   0.0   2   3     0.033      0.23    6.5   0.0    27    59    43    76    34    86 0.84 -
380583at33208_50429_0:0004db|TRINITY_DN73327_c12_g1_i2:1381-1863|-   -            161 448514at33208        -            271   3.3e-07   25.6   0.0   3   3     0.012     0.085    7.9   0.0    67    97   128   161   121   161 0.76 -
448514at33208_1218281_0:001263|TRINITY_DN69814_c0_g1_i1:884-1318|-   -            145 448514at33208        -            271   3.5e-07   25.5   0.7   1   1   6.5e-08   4.6e-07   25.2   0.7    38    99    20    84     2    89 0.80 -
380583at33208_7962_0:006e7a|TRINITY_DN82468_c10_g1_i3:2927-3622|-    -            232 448514at33208        -            271   1.1e-06   23.9   0.0   1   2     0.075      0.53    5.3   0.0    28    71    24    68     3    78 0.77 -
380583at33208_7962_0:006e7a|TRINITY_DN82468_c10_g1_i3:2927-3622|-    -            232 448514at33208        -            271   1.1e-06   23.9   0.0   2   2   5.1e-05   0.00036   15.7   0.0    41   137    80   183    74   232 0.71 -
380583at33208_6573_0:0014d2|TRINITY_DN80445_c11_g1_i4:188-751|-      -            188 448514at33208        -            271   1.2e-06   23.8   0.5   1   2         2        14    0.6   0.0    83   102     1    20     1    32 0.77 -
380583at33208_6573_0:0014d2|TRINITY_DN80445_c11_g1_i4:188-751|-      -            188 448514at33208        -            271   1.2e-06   23.8   0.5   2   2   1.3e-06   9.4e-06   20.8   0.1    43   140    45   141    33   153 0.74 -
380583at33208_7998_0:001a80|TRINITY_DN91792_c15_g1_i2:701-1321|-     -            207 448514at33208        -            271   1.2e-06   23.7   0.7   1   2   3.9e-06   2.7e-05   19.3   0.5    28   100     1    77     1   132 0.87 -
380583at33208_7998_0:001a80|TRINITY_DN91792_c15_g1_i2:701-1321|-     -            207 448514at33208        -            271   1.2e-06   23.7   0.7   2   2      0.49       3.4    2.6   0.0     8    56   158   207   151   207 0.84 -
380583at33208_7004_0:0006aa|TRINITY_DN82334_c12_g1_i3:48-452|+       -            135 448514at33208        -            271   1.3e-06   23.7   0.8   1   2     0.017      0.12    7.4   0.0   189   238     6    62     2    67 0.75 -
380583at33208_7004_0:0006aa|TRINITY_DN82334_c12_g1_i3:48-452|+       -            135 448514at33208        -            271   1.3e-06   23.7   0.8   2   2   1.6e-05   0.00011   17.3   0.3    12    67    51   110    50   122 0.77 -
380583at33208_407821_0:002a33|TRINITY_DN80976_c6_g1_i4:702-1418|+    -            239 448514at33208        -            271   1.4e-06   23.6   0.5   1   2   6.9e-05   0.00049   15.2   0.0     4    70     9    77     7    88 0.82 -
380583at33208_407821_0:002a33|TRINITY_DN80976_c6_g1_i4:702-1418|+    -            239 448514at33208        -            271   1.4e-06   23.6   0.5   2   2     0.028       0.2    6.7   0.1    26    62   127   165   106   236 0.85 -
380583at33208_225164_0:005929|TRINITY_DN80667_c15_g1_i2:305-1021|+   -            239 448514at33208        -            271   1.6e-06   23.4   0.6   1   3    0.0084     0.059    8.4   0.0    28    58     6    37     2    46 0.84 -
380583at33208_225164_0:005929|TRINITY_DN80667_c15_g1_i2:305-1021|+   -            239 448514at33208        -            271   1.6e-06   23.4   0.6   2   3     0.015      0.11    7.6   0.1    42    80    81   119    59   143 0.73 -
380583at33208_225164_0:005929|TRINITY_DN80667_c15_g1_i2:305-1021|+   -            239 448514at33208        -            271   1.6e-06   23.4   0.6   3   3      0.18       1.2    4.1   0.0   200   221   174   195   155   198 0.78 -
380583at33208_29159_0:003170|TRINITY_DN88572_c7_g1_i6:43-894|-       -            284 448514at33208        -            271   1.8e-06   23.2   0.5   1   2     3e-05   0.00021   16.4   0.1     2    98    14   118    13   128 0.82 -
380583at33208_29159_0:003170|TRINITY_DN88572_c7_g1_i6:43-894|-       -            284 448514at33208        -            271   1.8e-06   23.2   0.5   2   2      0.11      0.76    4.8   0.0    25    57   153   184   135   210 0.83 -
380583at33208_39758_0:00029d|TRINITY_DN93438_c7_g1_i18:778-1089|+    -            104 448514at33208        -            271   2.3e-06   22.9   0.0   1   1   4.6e-07   3.2e-06   22.4   0.0    11    96     3    96     2   101 0.83 -
380583at33208_29159_0:002c3e|TRINITY_DN72935_c10_g4_i1:222-971|+     -            250 448514at33208        -            271   3.1e-06   22.4   0.1   1   1   8.5e-07   5.9e-06   21.5   0.1    25    66   135   178   112   213 0.78 -
448514at33208_1218281_0:001263|TRINITY_DN87574_c7_g1_i6:4671-5120|-  -            150 448514at33208        -            271   4.7e-06   21.8   0.9   1   2   6.6e-05   0.00047   15.3   0.0    23    57    57    92    31    97 0.86 -
448514at33208_1218281_0:001263|TRINITY_DN87574_c7_g1_i6:4671-5120|-  -            150 448514at33208        -            271   4.7e-06   21.8   0.9   2   2      0.15       1.1    4.3   0.8    60    96   111   150   103   150 0.82 -
380583at33208_6573_0:0014d2|TRINITY_DN86898_c2_g2_i5:2834-3442|-     -            203 448514at33208        -            271     6e-06   21.5   0.8   1   3    0.0014    0.0097   11.0   0.0   208   269     2    70     1    72 0.73 -
380583at33208_6573_0:0014d2|TRINITY_DN86898_c2_g2_i5:2834-3442|-     -            203 448514at33208        -            271     6e-06   21.5   0.8   2   3     0.016      0.11    7.4   0.1    41    99    96   161    82   171 0.75 -
380583at33208_6573_0:0014d2|TRINITY_DN86898_c2_g2_i5:2834-3442|-     -            203 448514at33208        -            271     6e-06   21.5   0.8   3   3       3.5        24   -0.2   0.0    27    39   181   193   171   203 0.71 -
472352at33208_6198_0:003e11|TRINITY_DN76209_c5_g1_i2:1208-1384|+     -             59 448514at33208        -            271   1.3e-05   20.4   0.1   1   1   1.9e-06   1.3e-05   20.4   0.1    42    92     2    55     1    59 0.80 -
380583at33208_1049336_0:00137f|TRINITY_DN79185_c7_g1_i6:749-1774|-   -            342 448514at33208        -            271   1.5e-05   20.2   0.1   1   2    0.0022     0.015   10.3   0.0    42    74    26    60     8   108 0.71 -
380583at33208_1049336_0:00137f|TRINITY_DN79185_c7_g1_i6:749-1774|-   -            342 448514at33208        -            271   1.5e-05   20.2   0.1   2   2     0.056      0.39    5.7   0.0    10    54   252   297   244   302 0.81 -
380583at33208_34638_0:002c2d|TRINITY_DN76578_c9_g1_i6:2185-2994|+    -            270 448514at33208        -            271   1.7e-05   20.0   1.7   1   3      0.77       5.4    2.0   0.0    84    99    24    39    15    44 0.85 -
380583at33208_34638_0:002c2d|TRINITY_DN76578_c9_g1_i6:2185-2994|+    -            270 448514at33208        -            271   1.7e-05   20.0   1.7   2   3     0.021      0.15    7.1   0.1    27    59    58    93    39    97 0.80 -
380583at33208_34638_0:002c2d|TRINITY_DN76578_c9_g1_i6:2185-2994|+    -            270 448514at33208        -            271   1.7e-05   20.0   1.7   3   3    0.0069     0.048    8.7   0.0     4    62   172   231   169   246 0.79 -
380583at33208_7200_0:0017c6|TRINITY_DN91433_c7_g1_i1:248-1084|+      -            279 448514at33208        -            271   2.1e-05   19.7   0.4   1   2   0.00049    0.0034   12.4   0.0     2    59     7    65     5    74 0.86 -
380583at33208_7200_0:0017c6|TRINITY_DN91433_c7_g1_i1:248-1084|+      -            279 448514at33208        -            271   2.1e-05   19.7   0.4   2   2       0.2       1.4    3.9   0.1   200   220   217   237   139   256 0.79 -
380583at33208_438502_0:0037f3|TRINITY_DN79934_c8_g3_i2:2438-2575|-   -             46 448514at33208        -            271   2.6e-05   19.4   2.7   1   2      0.19       1.3    3.9   0.1    66    75     1    10     1    15 0.88 -
380583at33208_438502_0:0037f3|TRINITY_DN79934_c8_g3_i2:2438-2575|-   -             46 448514at33208        -            271   2.6e-05   19.4   2.7   2   2   3.2e-05   0.00023   16.3   0.3    44    67    21    44    17    46 0.86 -
