#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 45131at6656          -            346   3.4e-56  186.2   0.0   1   1   3.5e-57   3.8e-56  186.0   0.0     4   120    61   179    58   179 0.96 -
84925at6656_326594_0:002395|TRINITY_DN86919_c6_g1_i6:274-1179|-    -            302 45131at6656          -            346   2.8e-07   25.3   0.0   1   3   0.00051    0.0057   11.1   0.0    45    82   101   140    94   192 0.65 -
84925at6656_326594_0:002395|TRINITY_DN86919_c6_g1_i6:274-1179|-    -            302 45131at6656          -            346   2.8e-07   25.3   0.0   2   3   0.00036     0.004   11.7   0.0    65   120   167   222   149   231 0.74 -
84925at6656_326594_0:002395|TRINITY_DN86919_c6_g1_i6:274-1179|-    -            302 45131at6656          -            346   2.8e-07   25.3   0.0   3   3       2.4        27   -0.9   0.0   275   302   252   280   227   288 0.60 -
84925at6656_88501_0:000a9c|TRINITY_DN75137_c7_g5_i1:998-1627|-     -            210 45131at6656          -            346   9.5e-07   23.6   0.0   1   3     0.038      0.42    5.0   0.0    44    79     5    40     1    54 0.85 -
84925at6656_88501_0:000a9c|TRINITY_DN75137_c7_g5_i1:998-1627|-     -            210 45131at6656          -            346   9.5e-07   23.6   0.0   2   3      0.99        11    0.3   0.0    56    79   108   131    57   146 0.62 -
84925at6656_88501_0:000a9c|TRINITY_DN75137_c7_g5_i1:998-1627|-     -            210 45131at6656          -            346   9.5e-07   23.6   0.0   3   3   4.2e-05   0.00046   14.7   0.0    59   112   156   210   140   210 0.91 -
45131at6656_1218281_0:001263|TRINITY_DN87574_c7_g1_i6:4671-5120|-  -            150 45131at6656          -            346   1.5e-06   23.0   0.6   1   1   1.1e-06   1.2e-05   19.9   0.6    42   118    58   150    49   150 0.77 -
84925at6656_52612_0:001b07|TRINITY_DN81296_c10_g1_i2:2803-3594|-   -            264 45131at6656          -            346   2.7e-06   22.1   0.0   1   2      0.31       3.5    2.0   0.0   318   343   109   134    85   137 0.84 -
84925at6656_52612_0:001b07|TRINITY_DN81296_c10_g1_i2:2803-3594|-   -            264 45131at6656          -            346   2.7e-06   22.1   0.0   2   2   1.2e-05   0.00013   16.6   0.0    59   102   219   261   161   264 0.78 -
83303at6656_52283_0:0008bc|TRINITY_DN92010_c4_g1_i1:143-790|+      -            216 45131at6656          -            346   3.4e-06   21.7   5.3   1   3   0.00016    0.0017   12.9   0.1    46   117     6    81     1    81 0.77 -
83303at6656_52283_0:0008bc|TRINITY_DN92010_c4_g1_i1:143-790|+      -            216 45131at6656          -            346   3.4e-06   21.7   5.3   2   3    0.0016     0.018    9.5   0.3    60   130    67   142    62   148 0.76 -
83303at6656_52283_0:0008bc|TRINITY_DN92010_c4_g1_i1:143-790|+      -            216 45131at6656          -            346   3.4e-06   21.7   5.3   3   3     0.051      0.57    4.6   0.1    68    99   181   215   172   216 0.68 -
84925at6656_91411_0:000321|TRINITY_DN89393_c3_g3_i4:2640-3461|-    -            274 45131at6656          -            346   2.4e-05   19.0   0.0   1   2     0.092         1    3.7   0.0    88   122   106   145    94   150 0.81 -
84925at6656_91411_0:000321|TRINITY_DN89393_c3_g3_i4:2640-3461|-    -            274 45131at6656          -            346   2.4e-05   19.0   0.0   2   2   0.00014    0.0015   13.0   0.0    20    86   187   253   174   262 0.78 -
84925at6656_166361_0:003196|TRINITY_DN88016_c0_g6_i1:208-777|+     -            190 45131at6656          -            346   2.7e-05   18.8   0.0   1   1   3.5e-06   3.9e-05   18.3   0.0    57   135    92   172    78   185 0.84 -
83303at6656_7493_0:001ec5|TRINITY_DN77898_c9_g3_i2:174-776|+       -            201 45131at6656          -            346   3.1e-05   18.6   0.6   1   2   2.5e-05   0.00027   15.5   0.4    62   142     1    84     1    89 0.81 -
83303at6656_7493_0:001ec5|TRINITY_DN77898_c9_g3_i2:174-776|+       -            201 45131at6656          -            346   3.1e-05   18.6   0.6   2   2      0.63         7    1.0   0.0    61    76   101   116    84   134 0.65 -
84925at6656_83485_0:002be5|TRINITY_DN82840_c8_g1_i1:1812-2426|-    -            205 45131at6656          -            346   5.2e-05   17.9   0.1   1   2       7.8        87   -2.6   0.0   105   121    56    72    21    80 0.72 -
84925at6656_83485_0:002be5|TRINITY_DN82840_c8_g1_i1:1812-2426|-    -            205 45131at6656          -            346   5.2e-05   17.9   0.1   2   2   8.9e-06   9.9e-05   16.9   0.0    51   110   136   197    98   203 0.76 -
84925at6656_7539_0:002900|TRINITY_DN85821_c14_g1_i1:177-725|+      -            183 45131at6656          -            346   5.5e-05   17.8   0.0   1   1   1.2e-05   0.00013   16.5   0.0    16   120    52   156    41   166 0.88 -
84925at6656_30023_0:001693|TRINITY_DN72935_c10_g4_i1:90-743|+      -            218 45131at6656          -            346   6.9e-05   17.5   0.0   1   1   9.7e-06   0.00011   16.8   0.0    13    80   149   218   117   218 0.93 -
83303at6656_6973_0:00313d|TRINITY_DN91732_c6_g2_i1:1-318|+         -            106 45131at6656          -            346   6.9e-05   17.5   0.0   1   1   9.3e-06    0.0001   16.9   0.0    84   121     5    42     2    83 0.84 -
45131at6656_108931_0:003196|TRINITY_DN93656_c5_g4_i7:170-835|+     -            222 45131at6656          -            346     8e-05   17.2   0.0   1   1   1.2e-05   0.00013   16.5   0.0    11   132     5   126     2   150 0.81 -
45131at6656_37001_0:002c52|TRINITY_DN92597_c11_g2_i5:1392-2330|-   -            313 45131at6656          -            346   0.00018   16.1   0.1   1   2       6.8        76   -2.4   0.0    82   121    62   102    35   107 0.67 -
45131at6656_37001_0:002c52|TRINITY_DN92597_c11_g2_i5:1392-2330|-   -            313 45131at6656          -            346   0.00018   16.1   0.1   2   2   7.7e-05   0.00086   13.9   0.1    69   163   138   232   127   236 0.83 -
83303at6656_121845_0:000632|TRINITY_DN91732_c5_g4_i1:75-347|+      -             91 45131at6656          -            346   0.00022   15.8   0.1   1   1     2e-05   0.00022   15.8   0.1    84   118    47    81    13    87 0.89 -
84925at6656_28588_0:001430|TRINITY_DN79341_c9_g1_i1:175-960|+      -            262 45131at6656          -            346    0.0015   13.0   0.0   1   2     0.043      0.47    4.8   0.0    60    86   108   134    47   142 0.68 -
84925at6656_28588_0:001430|TRINITY_DN79341_c9_g1_i1:175-960|+      -            262 45131at6656          -            346    0.0015   13.0   0.0   2   2     0.016      0.18    6.2   0.1    56   125   155   225   138   234 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/45131at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/rerun_results/45131at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/45131at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:28:09 2026
# [ok]
