#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 143626at6656         -             90   4.3e-60  199.1   0.4   1   1   5.9e-62     5e-60  198.9   0.4     1    90    10    99    10    99 0.99 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i4:76-558|+       -            161 143626at6656         -             90   0.00014   21.2   0.1   1   1   3.8e-06   0.00032   20.0   0.0    11    71     3    62     1    74 0.88 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i11:2679-2870|+ -             64 143626at6656         -             90   0.00032   20.0   0.0   1   1   3.8e-06   0.00032   20.0   0.0    11    55     1    48     1    63 0.84 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i14:2679-2870|+ -             64 143626at6656         -             90   0.00032   20.0   0.0   1   1   3.8e-06   0.00032   20.0   0.0    11    55     1    48     1    63 0.84 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i1:2679-2870|+  -             64 143626at6656         -             90   0.00032   20.0   0.0   1   1   3.8e-06   0.00032   20.0   0.0    11    55     1    48     1    63 0.84 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i4:292-432|+     -             47 143626at6656         -             90   0.00035   19.9   0.0   1   1   4.5e-06   0.00038   19.8   0.0    11    54     1    47     1    47 0.87 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i6:2679-2819|+   -             47 143626at6656         -             90   0.00035   19.9   0.0   1   1   4.5e-06   0.00038   19.8   0.0    11    54     1    47     1    47 0.87 -
137711at6656_610380_0:0000e5|TRINITY_DN73456_c10_g1_i1:300-593|-    -             98 143626at6656         -             90   0.00035   19.9   0.0   1   1   4.9e-06   0.00041   19.7   0.0     9    47    19    57    13    90 0.79 -
146103at6656_52283_0:000fa5|TRINITY_DN72130_c16_g1_i3:629-1270|-    -            214 143626at6656         -             90   0.00037   19.8   0.0   1   1   6.5e-06   0.00055   19.3   0.0    11    79    80   151    74   160 0.78 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i13:2940-3293|+ -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i2:292-645|+    -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i3:2678-3031|+  -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i5:292-645|+    -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i7:2940-3293|+  -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i8:2940-3293|+  -            118 143626at6656         -             90   0.00048   19.5   0.0   1   1     2e-05    0.0017   17.7   0.0    11    55     1    48     1    67 0.84 -
124720at6656_52612_0:002f59|TRINITY_DN91492_c4_g1_i4:91-939|+       -            283 143626at6656         -             90    0.0007   18.9   0.1   1   2      0.03       2.6    7.5   0.0     9    81     1    78     1    84 0.72 -
124720at6656_52612_0:002f59|TRINITY_DN91492_c4_g1_i4:91-939|+       -            283 143626at6656         -             90    0.0007   18.9   0.1   2   2    0.0086      0.73    9.3   0.0     6    55   151   200   147   223 0.91 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i1:76-1221|+       -            382 143626at6656         -             90   0.00074   18.9   0.0   1   2     0.021       1.8    8.0   0.0     8    81     5    83     2    89 0.72 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i1:76-1221|+       -            382 143626at6656         -             90   0.00074   18.9   0.0   2   2     0.014       1.2    8.6   0.0     6    55   156   205   152   226 0.91 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i2:76-1221|+       -            382 143626at6656         -             90   0.00074   18.9   0.0   1   2     0.021       1.8    8.0   0.0     8    81     5    83     2    89 0.72 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i2:76-1221|+       -            382 143626at6656         -             90   0.00074   18.9   0.0   2   2     0.014       1.2    8.6   0.0     6    55   156   205   152   226 0.91 -
137711at6656_211228_0:00065c|TRINITY_DN73894_c2_g5_i1:12-275|-      -             88 143626at6656         -             90   0.00083   18.7   0.0   1   1   1.1e-05   0.00097   18.5   0.0    11    67    19    81    14    87 0.78 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-    -             86 143626at6656         -             90    0.0012   18.2   0.0   1   1   1.7e-05    0.0014   17.9   0.0    12    79     2    72     1    81 0.85 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i2:1112-1369|-    -             86 143626at6656         -             90    0.0012   18.2   0.0   1   1   1.7e-05    0.0014   17.9   0.0    12    79     2    72     1    81 0.85 -
137711at6656_7425_0:001fb1|TRINITY_DN87254_c8_g2_i1:299-547|+       -             83 143626at6656         -             90    0.0012   18.1   0.0   1   1   1.6e-05    0.0014   18.0   0.0    12    79     2    72     1    80 0.81 -
137711at6656_38123_0:0017f4|TRINITY_DN78494_c7_g2_i1:158-352|+      -             65 143626at6656         -             90    0.0017   17.7   0.0   1   1   2.3e-05    0.0019   17.5   0.0    13    69     6    65     3    65 0.86 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i2:407-619|-     -             71 143626at6656         -             90     0.003   16.9   0.0   1   1   3.6e-05     0.003   16.9   0.0    12    69     2    61     1    71 0.74 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i5:407-619|-     -             71 143626at6656         -             90     0.003   16.9   0.0   1   1   3.6e-05     0.003   16.9   0.0    12    69     2    61     1    71 0.74 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i7:407-619|-     -             71 143626at6656         -             90     0.003   16.9   0.0   1   1   3.6e-05     0.003   16.9   0.0    12    69     2    61     1    71 0.74 -
137711at6656_218467_0:00484d|TRINITY_DN87542_c6_g2_i7:692-1063|+    -            124 143626at6656         -             90    0.0031   16.8   0.0   1   2   0.00084     0.071   12.5   0.0    15    73     5    66     1    75 0.84 -
137711at6656_218467_0:00484d|TRINITY_DN87542_c6_g2_i7:692-1063|+    -            124 143626at6656         -             90    0.0031   16.8   0.0   2   2      0.97        82    2.7   0.0    10    34    81   105    73   121 0.79 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i1:131-463|+      -            111 143626at6656         -             90    0.0057   16.0   0.0   1   1     8e-05    0.0068   15.8   0.0    19    72    21    77    10    94 0.84 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i2:131-463|+      -            111 143626at6656         -             90    0.0057   16.0   0.0   1   1     8e-05    0.0068   15.8   0.0    19    72    21    77    10    94 0.84 -
137711at6656_610380_0:0000e5|TRINITY_DN88558_c13_g1_i1:770-991|-    -             74 143626at6656         -             90     0.008   15.5   0.0   1   1   0.00011    0.0094   15.3   0.0    11    52    27    71    20    74 0.78 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 143626at6656         -             90    0.0083   15.5   0.0   1   2    0.0022      0.19   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i10:1618-2136|-    -            173 143626at6656         -             90    0.0083   15.5   0.0   2   2       1.3   1.1e+02    2.3   0.0     9    63   107   158    92   170 0.75 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   1   2    0.0022      0.19   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i14:486-1004|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   2   2       1.3   1.1e+02    2.3   0.0     9    63   107   158    92   170 0.75 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   1   2    0.0022      0.19   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   2   2       1.3   1.1e+02    2.3   0.0     9    63   107   158    92   170 0.75 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 143626at6656         -             90    0.0083   15.5   0.0   1   2    0.0022      0.19   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i8:486-1004|-      -            173 143626at6656         -             90    0.0083   15.5   0.0   2   2       1.3   1.1e+02    2.3   0.0     9    63   107   158    92   170 0.75 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   1   2    0.0022      0.19   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i9:1618-2136|-     -            173 143626at6656         -             90    0.0083   15.5   0.0   2   2       1.3   1.1e+02    2.3   0.0     9    63   107   158    92   170 0.75 -
137711at6656_54969_0:003fed|TRINITY_DN87542_c6_g2_i5:692-1060|+     -            123 143626at6656         -             90    0.0085   15.5   0.0   1   2    0.0075      0.63    9.5   0.0    15    72     5    65     1    81 0.80 -
137711at6656_54969_0:003fed|TRINITY_DN87542_c6_g2_i5:692-1060|+     -            123 143626at6656         -             90    0.0085   15.5   0.0   2   2      0.23        20    4.7   0.0     8    33    79   104    74   120 0.84 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+    -             75 143626at6656         -             90      0.01   15.2   0.0   1   1   0.00013     0.011   15.1   0.0    10    71     2    66     1    74 0.84 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i2:227-451|+    -             75 143626at6656         -             90      0.01   15.2   0.0   1   1   0.00013     0.011   15.1   0.0    10    71     2    66     1    74 0.84 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i3:357-1220|+      -            288 143626at6656         -             90     0.012   15.0   0.0   1   1    0.0004     0.034   13.5   0.0    12    79   213   283   207   287 0.81 -
137711at6656_7160_0:003f5c|TRINITY_DN78494_c7_g2_i4:1094-1291|+     -             66 143626at6656         -             90     0.015   14.7   0.0   1   1    0.0002     0.017   14.5   0.0    12    69     6    66     2    66 0.82 -
106466at6656_1218281_0:00157b|TRINITY_DN87486_c3_g1_i1:83-280|-     -             66 143626at6656         -             90     0.017   14.5   0.0   1   1   0.00023     0.019   14.3   0.0    12    64     3    57     1    62 0.81 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i2:288-560|-      -             91 143626at6656         -             90     0.018   14.5   0.0   1   1    0.0012       0.1   12.0   0.0    12    78     2    79     1    89 0.68 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i5:288-560|-      -             91 143626at6656         -             90     0.018   14.5   0.0   1   1    0.0012       0.1   12.0   0.0    12    78     2    79     1    89 0.68 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i9:288-560|-      -             91 143626at6656         -             90     0.018   14.5   0.0   1   1    0.0012       0.1   12.0   0.0    12    78     2    79     1    89 0.68 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+    -            375 143626at6656         -             90      0.02   14.3   0.0   1   2       6.4   5.4e+02    0.1   0.0    24    57   101   134    94   144 0.77 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i2:202-1326|+    -            375 143626at6656         -             90      0.02   14.3   0.0   2   2    0.0023       0.2   11.1   0.0     8    79   207   275   202   280 0.87 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 143626at6656         -             90      0.02   14.3   0.0   1   2       6.4   5.4e+02    0.1   0.0    24    57   101   134    94   144 0.77 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 143626at6656         -             90      0.02   14.3   0.0   2   2    0.0023       0.2   11.1   0.0     8    79   207   275   202   280 0.87 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i3:3-218|-       -             72 143626at6656         -             90     0.024   14.0   0.0   1   1   0.00034     0.028   13.8   0.0     9    52    26    72    16    72 0.86 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i5:3-218|-       -             72 143626at6656         -             90     0.024   14.0   0.0   1   1   0.00034     0.028   13.8   0.0     9    52    26    72    16    72 0.86 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i6:3-218|-       -             72 143626at6656         -             90     0.024   14.0   0.0   1   1   0.00034     0.028   13.8   0.0     9    52    26    72    16    72 0.86 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i5:357-1232|+      -            292 143626at6656         -             90     0.033   13.6   0.0   1   1    0.0011     0.089   12.2   0.0    12    71   213   275   207   287 0.83 -
137711at6656_51655_0:0033b8|TRINITY_DN80667_c12_g1_i2:205-519|+     -            105 143626at6656         -             90      0.07   12.5   0.0   1   1     0.001     0.085   12.3   0.0    12    64     2    57     1    74 0.78 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i1:327-1811|-    -            495 143626at6656         -             90     0.083   12.3   0.0   1   1    0.0021      0.18   11.2   0.0     4    54    91   144    88   156 0.80 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i2:327-1811|-    -            495 143626at6656         -             90     0.083   12.3   0.0   1   1    0.0021      0.18   11.2   0.0     4    54    91   144    88   156 0.80 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i10:288-560|-     -             91 143626at6656         -             90     0.086   12.2   0.0   1   1    0.0032      0.27   10.7   0.0    40    78    41    79     1    89 0.72 -
83164at6656_294128_0:004567|TRINITY_DN87551_c7_g10_i1:2-1348|-      -            449 143626at6656         -             90     0.092   12.1   0.0   1   1    0.0052      0.44   10.0   0.0     9    43   233   267   223   290 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/143626at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/143626at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/143626at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:47 2026
# [ok]
