#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
113817at6656_132113_0:002d6c|TRINITY_DN86577_c6_g1_i2:448-1038|+    -            197 113817at6656         -            193   1.4e-74  248.8   3.5   1   1   1.2e-76   1.6e-74  248.7   3.5    20   192     7   193     1   194 0.86 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   3   3     0.024       3.2    6.2   0.1    47   135   290   380   283   400 0.85 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   1   3    0.0009      0.12   10.9   0.1    35   138   108   213   102   218 0.87 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   2   3     0.018       2.4    6.7   0.0    52   140   193   249   165   280 0.57 -
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i5:46-1496|+     -            459 113817at6656         -            193     1e-05   24.2   0.9   3   3     0.024       3.2    6.2   0.1    47   135   290   380   283   400 0.85 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   1   3      0.77     1e+02    1.3   0.1    77   142    12    77    10    84 0.73 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   2   3     0.031       4.1    5.9   0.0    84   136    86   138    77   159 0.81 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i10:7188-8387|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   3   3   0.00021     0.028   12.9   0.1   104   140   315   351   281   379 0.76 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   1   3      0.77     1e+02    1.3   0.1    77   142    12    77    10    84 0.73 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   2   3     0.031       4.1    5.9   0.0    84   136    86   138    77   159 0.81 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i13:7133-8332|-  -            400 113817at6656         -            193   2.8e-05   22.7   1.6   3   3   0.00021     0.028   12.9   0.1   104   140   315   351   281   379 0.76 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-   -            400 113817at6656         -            193   2.8e-05   22.7   1.6   1   3      0.77     1e+02    1.3   0.1    77   142    12    77    10    84 0.73 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-   -            400 113817at6656         -            193   2.8e-05   22.7   1.6   2   3     0.031       4.1    5.9   0.0    84   136    86   138    77   159 0.81 -
93152at6656_286706_0:002c5c|TRINITY_DN88875_c11_g1_i8:7209-8408|-   -            400 113817at6656         -            193   2.8e-05   22.7   1.6   3   3   0.00021     0.028   12.9   0.1   104   140   315   351   281   379 0.76 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-    -            337 113817at6656         -            193   0.00014   20.4   1.4   1   2     0.023         3    6.3   0.1    84   136    56   108    47   137 0.82 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i15:7032-8042|-    -            337 113817at6656         -            193   0.00014   20.4   1.4   2   2   0.00023      0.03   12.8   0.2   103   140   284   321   250   331 0.77 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-     -            337 113817at6656         -            193   0.00014   20.4   1.4   1   2     0.023         3    6.3   0.1    84   136    56   108    47   137 0.82 -
60468at6656_7176_0:0023dd|TRINITY_DN88875_c11_g1_i9:7087-8097|-     -            337 113817at6656         -            193   0.00014   20.4   1.4   2   2   0.00023      0.03   12.8   0.2   103   140   284   321   250   331 0.77 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i2:1688-1999|-     -            104 113817at6656         -            193   0.00073   18.1   0.4   1   1   1.2e-05    0.0017   17.0   0.4    82   139     7    64     1    78 0.89 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i4:1688-1999|-     -            104 113817at6656         -            193   0.00073   18.1   0.4   1   1   1.2e-05    0.0017   17.0   0.4    82   139     7    64     1    78 0.89 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i6:1733-2035|-     -            101 113817at6656         -            193     0.001   17.7   0.3   1   1   3.2e-05    0.0043   15.6   0.3    49   121     6    80     1    82 0.47 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i8:1733-2035|-     -            101 113817at6656         -            193     0.001   17.7   0.3   1   1   3.2e-05    0.0043   15.6   0.3    49   121     6    80     1    82 0.47 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i2:225-2648|+    -            808 113817at6656         -            193     0.046   12.3   1.9   1   2     0.011       1.4    7.4   0.4    51   138   476   566   445   569 0.84 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i2:225-2648|+    -            808 113817at6656         -            193     0.046   12.3   1.9   2   2      0.13        18    3.8   0.0    76   146   569   642   563   648 0.80 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i1:19-2535|+     -            839 113817at6656         -            193      0.05   12.1   1.9   1   2     0.011       1.5    7.3   0.4    51   138   507   597   476   600 0.84 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i1:19-2535|+     -            839 113817at6656         -            193      0.05   12.1   1.9   2   2      0.14        19    3.7   0.0    76   146   600   673   594   679 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/113817at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/113817at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/113817at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:44 2026
# [ok]
