#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 137711at6656         -            119   8.2e-65  215.1   0.2   1   1   1.8e-66   1.1e-64  214.7   0.2     1   115     1   121     1   125 0.95 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i14:2920-3078|+  -             53 137711at6656         -            119   1.5e-11   43.2   0.1   1   1   2.5e-13   1.5e-11   43.2   0.1    32    81     1    50     1    53 0.94 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i1:2920-3078|+   -             53 137711at6656         -            119   1.5e-11   43.2   0.1   1   1   2.5e-13   1.5e-11   43.2   0.1    32    81     1    50     1    53 0.94 -
137711at6656_29031_0:001f45|TRINITY_DN73894_c3_g1_i1:638-787|+      -             50 137711at6656         -            119   1.6e-11   43.2   0.1   1   1   2.7e-13   1.7e-11   43.1   0.1    32    80     1    49     1    50 0.98 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i2:1117-1377|-    -             87 137711at6656         -            119   1.8e-11   42.9   0.0   1   1   3.2e-13     2e-11   42.8   0.0    36   108     3    75     1    83 0.92 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i4:1693-1953|-    -             87 137711at6656         -            119   1.8e-11   42.9   0.0   1   1   3.2e-13     2e-11   42.8   0.0    36   108     3    75     1    83 0.92 -
137711at6656_7159_0:0030fc|TRINITY_DN76024_c13_g2_i5:1693-1953|-    -             87 137711at6656         -            119   1.8e-11   42.9   0.0   1   1   3.2e-13     2e-11   42.8   0.0    36   108     3    75     1    83 0.92 -
80689at6656_76194_0:002d7c|TRINITY_DN91700_c3_g1_i15:2-370|-        -            123 137711at6656         -            119   1.9e-11   42.9   0.0   1   1   3.7e-13   2.3e-11   42.6   0.0    34   109     1    76     1    85 0.94 -
137711at6656_51655_0:0033b8|TRINITY_DN80667_c12_g1_i2:205-519|+     -            105 137711at6656         -            119   2.1e-11   42.7   0.0   1   1   3.9e-13   2.4e-11   42.6   0.0    32    94     1    63     1    81 0.90 -
137711at6656_199890_0:001386|TRINITY_DN81934_c2_g2_i1:202-468|-     -             89 137711at6656         -            119   2.9e-11   42.3   0.0   1   1   5.1e-13   3.2e-11   42.2   0.0    28    94    20    86     9    89 0.92 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i2:407-619|-     -             71 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32   103     1    71     1    71 0.91 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i5:407-619|-     -             71 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32   103     1    71     1    71 0.91 -
137711at6656_74873_0:002c71|TRINITY_DN88558_c13_g1_i7:407-619|-     -             71 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32   103     1    71     1    71 0.91 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i11:2679-2870|+ -             64 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32    79     1    48     1    59 0.94 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i14:2679-2870|+ -             64 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32    79     1    48     1    59 0.94 -
137711at6656_438502_0:005d3e|TRINITY_DN85178_c13_g1_i1:2679-2870|+  -             64 137711at6656         -            119   3.5e-11   42.0   0.0   1   1   5.9e-13   3.7e-11   42.0   0.0    32    79     1    48     1    59 0.94 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i4:292-432|+     -             47 137711at6656         -            119     4e-11   41.9   0.0   1   1   6.8e-13   4.2e-11   41.8   0.0    32    78     1    47     1    47 0.97 -
137711at6656_29031_0:001f45|TRINITY_DN85178_c13_g1_i6:2679-2819|+   -             47 137711at6656         -            119     4e-11   41.9   0.0   1   1   6.8e-13   4.2e-11   41.8   0.0    32    78     1    47     1    47 0.97 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 137711at6656         -            119   6.5e-11   41.2   0.0   1   3    0.0011     0.071   12.0   0.0    49   109    21    79     4    86 0.85 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 137711at6656         -            119   6.5e-11   41.2   0.0   2   3   3.8e-07   2.4e-05   23.2   0.0    28   103   345   420   334   437 0.90 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 137711at6656         -            119   6.5e-11   41.2   0.0   3   3       2.8   1.8e+02    1.0   0.0    28    61   527   560   514   572 0.83 -
137711at6656_6945_0:002ee5|TRINITY_DN80667_c12_g1_i1:172-363|+      -             64 137711at6656         -            119   9.9e-11   40.6   0.0   1   1   1.9e-12   1.2e-10   40.3   0.0    31    76    11    56     3    59 0.92 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i1:181-405|+       -             75 137711at6656         -            119   1.1e-10   40.4   0.0   1   1   1.9e-12   1.2e-10   40.3   0.0    34   105     3    74     1    75 0.96 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i3:121-345|+       -             75 137711at6656         -            119   1.1e-10   40.4   0.0   1   1   1.9e-12   1.2e-10   40.3   0.0    34   105     3    74     1    75 0.96 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i6:181-405|+       -             75 137711at6656         -            119   1.1e-10   40.4   0.0   1   1   1.9e-12   1.2e-10   40.3   0.0    34   105     3    74     1    75 0.96 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i7:181-405|+       -             75 137711at6656         -            119   1.1e-10   40.4   0.0   1   1   1.9e-12   1.2e-10   40.3   0.0    34   105     3    74     1    75 0.96 -
146103at6656_52283_0:000fa5|TRINITY_DN72130_c16_g1_i3:629-1270|-    -            214 137711at6656         -            119   1.2e-10   40.4   0.0   1   1   2.7e-12   1.7e-10   39.8   0.0    32   106    80   154    59   161 0.92 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i1:725-955|+      -             77 137711at6656         -            119   1.4e-10   40.1   0.0   1   1   2.4e-12   1.5e-10   40.0   0.0    34   104     6    76     1    77 0.95 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i2:423-653|+      -             77 137711at6656         -            119   1.4e-10   40.1   0.0   1   1   2.4e-12   1.5e-10   40.0   0.0    34   104     6    76     1    77 0.95 -
137711at6656_54969_0:003fed|TRINITY_DN87542_c6_g2_i5:692-1060|+     -            123 137711at6656         -            119   2.1e-10   39.5   0.0   1   1   4.2e-12   2.6e-10   39.2   0.0    32    98     1    67     1    88 0.91 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i3:3-218|-       -             72 137711at6656         -            119   2.3e-10   39.4   0.1   1   1   4.3e-12   2.7e-10   39.2   0.1    13    76     5    72     2    72 0.90 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i5:3-218|-       -             72 137711at6656         -            119   2.3e-10   39.4   0.1   1   1   4.3e-12   2.7e-10   39.2   0.1    13    76     5    72     2    72 0.90 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i6:3-218|-       -             72 137711at6656         -            119   2.3e-10   39.4   0.1   1   1   4.3e-12   2.7e-10   39.2   0.1    13    76     5    72     2    72 0.90 -
137711at6656_218467_0:00484d|TRINITY_DN87542_c6_g2_i7:692-1063|+    -            124 137711at6656         -            119   3.9e-10   38.7   0.0   1   1   1.9e-11   1.2e-09   37.1   0.0    32    99     1    68     1    82 0.90 -
137711at6656_7176_0:003daf|TRINITY_DN78507_c3_g2_i1:253-465|+       -             71 137711at6656         -            119   4.3e-10   38.5   0.0   1   1     7e-12   4.3e-10   38.5   0.0    32    85     1    53     1    71 0.82 -
137711at6656_610380_0:0000e5|TRINITY_DN88558_c13_g1_i1:770-991|-    -             74 137711at6656         -            119   6.2e-10   38.0   0.0   1   1   1.1e-11   6.8e-10   37.9   0.0    31    79    26    74     3    74 0.94 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i1:1117-1332|-    -             72 137711at6656         -            119   7.3e-10   37.8   0.0   1   1   1.3e-11     8e-10   37.6   0.0    50   108     2    60     1    68 0.93 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i3:1693-1908|-    -             72 137711at6656         -            119   7.3e-10   37.8   0.0   1   1   1.3e-11     8e-10   37.6   0.0    50   108     2    60     1    68 0.93 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c8_g1_i1:79-306|-      -             76 137711at6656         -            119   1.6e-09   36.6   0.0   1   1   2.7e-11   1.7e-09   36.6   0.0    32   104     1    72     1    76 0.89 -
137711at6656_7160_0:003f5c|TRINITY_DN78494_c7_g2_i4:1094-1291|+     -             66 137711at6656         -            119   3.8e-09   35.5   0.0   1   1   6.4e-11     4e-09   35.4   0.0    30    93     3    66     1    66 0.94 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i3:357-1220|+      -            288 137711at6656         -            119     4e-09   35.4   0.8   1   1   1.4e-10   8.4e-09   34.3   0.0    28   103   208   283   200   287 0.91 -
137711at6656_211228_0:00065c|TRINITY_DN73894_c2_g5_i1:12-275|-      -             88 137711at6656         -            119     5e-09   35.1   0.0   1   1   9.4e-11   5.9e-09   34.9   0.0    31    82    17    69    10    87 0.85 -
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 137711at6656         -            119   7.8e-09   34.5   0.1   1   1   1.6e-10     1e-08   34.1   0.1    32   115    20   100    16   104 0.91 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i5:357-1232|+      -            292 137711at6656         -            119   9.5e-09   34.2   0.3   1   1   4.4e-10   2.7e-08   32.7   0.0    28    95   208   275   200   288 0.90 -
137711at6656_7160_0:003f5c|TRINITY_DN73763_c7_g1_i4:1490-1699|-     -             70 137711at6656         -            119   1.1e-08   34.0   0.1   1   1   1.9e-10   1.2e-08   33.9   0.1    33   104     1    70     1    70 0.90 -
137711at6656_7160_0:003f5c|TRINITY_DN73763_c7_g1_i7:1559-1768|-     -             70 137711at6656         -            119   1.1e-08   34.0   0.1   1   1   1.9e-10   1.2e-08   33.9   0.1    33   104     1    70     1    70 0.90 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i1:1482-1700|-  -             73 137711at6656         -            119   1.1e-08   33.9   0.0   1   1   1.9e-10   1.2e-08   33.9   0.0    32    82    23    73     7    73 0.93 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i4:1482-1700|-  -             73 137711at6656         -            119   1.1e-08   33.9   0.0   1   1   1.9e-10   1.2e-08   33.9   0.0    32    82    23    73     7    73 0.93 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i5:1448-1666|-  -             73 137711at6656         -            119   1.1e-08   33.9   0.0   1   1   1.9e-10   1.2e-08   33.9   0.0    32    82    23    73     7    73 0.93 -
137711at6656_38123_0:0017f4|TRINITY_DN78494_c7_g2_i1:158-352|+      -             65 137711at6656         -            119   4.7e-08   32.0   0.0   1   1   7.7e-10   4.8e-08   31.9   0.0    33    93     5    65     1    65 0.90 -
137711at6656_7397_0:004a22|TRINITY_DN76980_c8_g1_i3:40-246|-        -             69 137711at6656         -            119   4.9e-08   31.9   0.0   1   1   8.3e-10   5.2e-08   31.8   0.0    44   101    11    67     3    69 0.86 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c8_g1_i2:40-252|-        -             71 137711at6656         -            119   5.1e-08   31.8   0.1   1   1   8.5e-10   5.3e-08   31.8   0.1    32   102     1    70     1    71 0.89 -
137711at6656_438502_0:005d3e|TRINITY_DN73894_c2_g4_i1:100-279|+     -             60 137711at6656         -            119   6.4e-08   31.5   0.2   1   1     1e-09   6.5e-08   31.5   0.2    42    95     1    58     1    60 0.80 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c7_g13_i1:0-215|+        -             72 137711at6656         -            119   7.9e-08   31.2   0.0   1   1   1.3e-09   8.3e-08   31.2   0.0    20    92     2    72     1    72 0.87 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i1:131-463|+      -            111 137711at6656         -            119     1e-07   30.9   0.0   1   1   1.6e-09     1e-07   30.8   0.0    40    98    21    79     2    99 0.86 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i2:131-463|+      -            111 137711at6656         -            119     1e-07   30.9   0.0   1   1   1.6e-09     1e-07   30.8   0.0    40    98    21    79     2    99 0.86 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i10:57-284|+     -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i13:57-284|+     -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i2:57-284|+      -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i4:57-284|+      -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i7:57-284|+      -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
137711at6656_326594_0:0017c1|TRINITY_DN93654_c3_g1_i9:57-284|+      -             76 137711at6656         -            119   1.4e-07   30.4   0.0   1   1   2.3e-09   1.5e-07   30.4   0.0    33   106     2    75     1    76 0.95 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i10:932-1429|+     -            166 137711at6656         -            119   1.4e-07   30.4   0.0   1   2   1.5e-06   9.6e-05   21.3   0.0    32   115     2    89     1    93 0.80 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i10:932-1429|+     -            166 137711at6656         -            119   1.4e-07   30.4   0.0   2   2     0.035       2.2    7.2   0.0    68   101   125   158    96   164 0.85 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 137711at6656         -            119   1.4e-07   30.4   0.0   1   2   1.5e-06   9.6e-05   21.3   0.0    32   115     2    89     1    93 0.80 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 137711at6656         -            119   1.4e-07   30.4   0.0   2   2     0.035       2.2    7.2   0.0    68   101   125   158    96   164 0.85 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i4:932-1429|+      -            166 137711at6656         -            119   1.4e-07   30.4   0.0   1   2   1.5e-06   9.6e-05   21.3   0.0    32   115     2    89     1    93 0.80 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i4:932-1429|+      -            166 137711at6656         -            119   1.4e-07   30.4   0.0   2   2     0.035       2.2    7.2   0.0    68   101   125   158    96   164 0.85 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i14:1068-1283|-   -             72 137711at6656         -            119   2.1e-07   29.9   0.0   1   1   4.1e-09   2.5e-07   29.6   0.0    32   104     3    72     2    72 0.96 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i5:2200-2415|-    -             72 137711at6656         -            119   2.1e-07   29.9   0.0   1   1   4.1e-09   2.5e-07   29.6   0.0    32   104     3    72     2    72 0.96 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i10:288-560|-     -             91 137711at6656         -            119   4.2e-07   28.9   0.0   1   1     1e-08   6.5e-07   28.3   0.0    32   110     1    87     1    91 0.85 -
137711at6656_610380_0:0000e5|TRINITY_DN73456_c10_g1_i1:300-593|-    -             98 137711at6656         -            119   4.3e-07   28.8   0.0   1   1   7.3e-09   4.5e-07   28.8   0.0    26   105    15    94     2    98 0.93 -
106466at6656_1218281_0:0033ae|TRINITY_DN93023_c6_g2_i4:2132-2389|-  -             86 137711at6656         -            119   4.3e-07   28.8   0.0   1   1     7e-09   4.3e-07   28.8   0.0    33    81     2    50     1    82 0.85 -
106466at6656_1218281_0:0033ae|TRINITY_DN93023_c6_g2_i6:2132-2389|-  -             86 137711at6656         -            119   4.3e-07   28.8   0.0   1   1     7e-09   4.3e-07   28.8   0.0    33    81     2    50     1    82 0.85 -
137711at6656_35570_0:00013d|TRINITY_DN78228_c5_g1_i1:712-1110|-     -            133 137711at6656         -            119   5.4e-07   28.5   0.0   1   1   1.1e-08   6.6e-07   28.2   0.0    40   110     3    73     1    78 0.91 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i2:288-560|-      -             91 137711at6656         -            119   7.5e-07   28.1   0.0   1   1   1.9e-08   1.2e-06   27.4   0.0    32   110     1    87     1    91 0.84 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i5:288-560|-      -             91 137711at6656         -            119   7.5e-07   28.1   0.0   1   1   1.9e-08   1.2e-06   27.4   0.0    32   110     1    87     1    91 0.84 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i9:288-560|-      -             91 137711at6656         -            119   7.5e-07   28.1   0.0   1   1   1.9e-08   1.2e-06   27.4   0.0    32   110     1    87     1    91 0.84 -
137711at6656_121225_0:0029b4|TRINITY_DN85252_c10_g2_i1:414-602|-    -             63 137711at6656         -            119     1e-06   27.6   0.0   1   1   1.7e-08   1.1e-06   27.5   0.0    40    81     1    42     1    57 0.91 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c7_g1_i1:7-222|+       -             72 137711at6656         -            119   1.4e-06   27.2   0.0   1   1   2.3e-08   1.4e-06   27.2   0.0    30    94     7    70     1    72 0.87 -
137711at6656_222816_0:00218d|TRINITY_DN77605_c7_g2_i1:96-410|+      -            105 137711at6656         -            119   5.5e-06   25.3   0.0   1   1   8.8e-08   5.5e-06   25.3   0.0    24    81     7    64     1   100 0.82 -
137711at6656_222816_0:00218d|TRINITY_DN77605_c7_g2_i2:96-410|+      -            105 137711at6656         -            119   5.5e-06   25.3   0.0   1   1   8.8e-08   5.5e-06   25.3   0.0    24    81     7    64     1   100 0.82 -
142388at6656_166423_0:002eec|TRINITY_DN92549_c8_g1_i7:0-950|-       -            317 137711at6656         -            119   5.7e-06   25.2   0.0   1   1   1.6e-07   9.9e-06   24.4   0.0    31   111   130   218   122   224 0.84 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i1:327-1811|-    -            495 137711at6656         -            119   5.9e-06   25.2   0.0   1   1   2.6e-07   1.7e-05   23.7   0.0    30    95    96   161    69   185 0.88 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i2:327-1811|-    -            495 137711at6656         -            119   5.9e-06   25.2   0.0   1   1   2.6e-07   1.7e-05   23.7   0.0    30    95    96   161    69   185 0.88 -
142388at6656_166423_0:002eec|TRINITY_DN92549_c8_g1_i6:0-1022|-      -            341 137711at6656         -            119   6.6e-06   25.0   0.0   1   1   1.8e-07   1.1e-05   24.2   0.0    31   111   154   242   146   248 0.84 -
142388at6656_166423_0:002eec|TRINITY_DN92549_c8_g1_i8:0-1022|-      -            341 137711at6656         -            119   6.6e-06   25.0   0.0   1   1   1.8e-07   1.1e-05   24.2   0.0    31   111   154   242   146   248 0.84 -
106466at6656_1218281_0:00157b|TRINITY_DN87486_c3_g1_i1:83-280|-     -             66 137711at6656         -            119   1.2e-05   24.1   0.0   1   1   2.2e-07   1.4e-05   24.0   0.0    32    92     2    61     1    65 0.89 -
143626at6656_294128_0:0013b9|TRINITY_DN93756_c5_g1_i9:3302-3487|-   -             62 137711at6656         -            119   1.6e-05   23.8   0.0   1   1   3.1e-07   1.9e-05   23.5   0.0    32    97     1    61     1    62 0.93 -
137711at6656_121225_0:0029b4|TRINITY_DN80891_c10_g1_i8:35-235|-     -             67 137711at6656         -            119   2.3e-05   23.3   0.0   1   1   3.8e-07   2.3e-05   23.2   0.0    32    80     1    50     1    66 0.86 -
137711at6656_121225_0:0029b4|TRINITY_DN80891_c10_g1_i9:35-235|-     -             67 137711at6656         -            119   2.3e-05   23.3   0.0   1   1   3.8e-07   2.3e-05   23.2   0.0    32    80     1    50     1    66 0.86 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i1:76-558|+       -            161 137711at6656         -            119   0.00045   19.1   0.0   1   1   1.7e-05    0.0011   17.9   0.0    32   108     3    75     1    84 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i2:76-558|+       -            161 137711at6656         -            119   0.00045   19.1   0.0   1   1   1.7e-05    0.0011   17.9   0.0    32   108     3    75     1    84 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i3:76-558|+       -            161 137711at6656         -            119   0.00045   19.1   0.0   1   1   1.7e-05    0.0011   17.9   0.0    32   108     3    75     1    84 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i4:76-558|+       -            161 137711at6656         -            119   0.00045   19.1   0.0   1   1   1.7e-05    0.0011   17.9   0.0    32   108     3    75     1    84 0.88 -
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 137711at6656         -            119   0.00068   18.5   0.0   1   2   0.00074     0.046   12.6   0.0    32    81    26    74    22    97 0.85 -
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 137711at6656         -            119   0.00068   18.5   0.0   2   2      0.33        21    4.0   0.0    32    98   107   167    98   183 0.76 -
137711at6656_315563_0:002b41|TRINITY_DN87542_c6_g2_i1:860-1198|+    -            113 137711at6656         -            119    0.0009   18.1   0.0   1   1   1.5e-05   0.00093   18.1   0.0    32   109    26   107     1   113 0.68 -
137711at6656_315563_0:002b41|TRINITY_DN87542_c6_g2_i3:860-1198|+    -            113 137711at6656         -            119    0.0009   18.1   0.0   1   1   1.5e-05   0.00093   18.1   0.0    32   109    26   107     1   113 0.68 -
137711at6656_315563_0:002b41|TRINITY_DN87542_c6_g2_i6:860-1198|+    -            113 137711at6656         -            119    0.0009   18.1   0.0   1   1   1.5e-05   0.00093   18.1   0.0    32   109    26   107     1   113 0.68 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i1:345-602|-      -             86 137711at6656         -            119    0.0018   17.2   0.0   1   1   3.2e-05     0.002   17.0   0.0    31   100     3    72     1    84 0.90 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i2:345-602|-      -             86 137711at6656         -            119    0.0018   17.2   0.0   1   1   3.2e-05     0.002   17.0   0.0    31   100     3    72     1    84 0.90 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i1:1564-3891|+     -            776 137711at6656         -            119     0.005   15.7   0.0   1   1   0.00014    0.0086   15.0   0.0    32   107    27    96    19   102 0.89 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i2:1407-3734|+     -            776 137711at6656         -            119     0.005   15.7   0.0   1   1   0.00014    0.0086   15.0   0.0    32   107    27    96    19   102 0.89 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i3:575-2902|+      -            776 137711at6656         -            119     0.005   15.7   0.0   1   1   0.00014    0.0086   15.0   0.0    32   107    27    96    19   102 0.89 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i4:1536-3863|+     -            776 137711at6656         -            119     0.005   15.7   0.0   1   1   0.00014    0.0086   15.0   0.0    32   107    27    96    19   102 0.89 -
50493at6656_7160_0:0019dd|TRINITY_DN93116_c16_g2_i5:1435-3762|+     -            776 137711at6656         -            119     0.005   15.7   0.0   1   1   0.00014    0.0086   15.0   0.0    32   107    27    96    19   102 0.89 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i2:41-1609|+      -            523 137711at6656         -            119    0.0081   15.1   0.1   1   1   0.00023     0.015   14.2   0.1    48   100    77   128    62   144 0.81 -
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i1:41-2104|+      -            688 137711at6656         -            119     0.011   14.6   0.1   1   1   0.00034     0.021   13.7   0.1    48   100    77   128    62   144 0.81 -
147025at6656_6945_0:002cab|TRINITY_DN83640_c8_g1_i2:39-688|+        -            214 137711at6656         -            119     0.039   12.9   0.1   1   2    0.0049       0.3   10.0   0.0    32    69    45    82    26   120 0.90 -
147025at6656_6945_0:002cab|TRINITY_DN83640_c8_g1_i2:39-688|+        -            214 137711at6656         -            119     0.039   12.9   0.1   2   2       4.4   2.7e+02    0.4   0.1   100   116   153   169   141   205 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/137711at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/137711at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/137711at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:46 2026
# [ok]
