#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
55417at6656_103372_0:00197d|TRINITY_DN88830_c8_g1_i3:19-1244|+     -            358 55417at6656          -            496  1.1e-113  379.7  13.7   1   1  1.5e-114  2.4e-112  375.2  13.7   197   495     4   353     2   354 0.86 -
47443at6656_6945_0:004aa8|TRINITY_DN92964_c14_g1_i4:154-1379|+     -            345 55417at6656          -            496    0.0057   14.5   4.3   1   2    0.0098       1.5    6.4   0.0   323   436    15   131     8   137 0.70 -
47443at6656_6945_0:004aa8|TRINITY_DN92964_c14_g1_i4:154-1379|+     -            345 55417at6656          -            496    0.0057   14.5   4.3   2   2    0.0026      0.41    8.3   1.8   305   399   169   277   155   291 0.65 -
68491at6656_197043_0:004bea|TRINITY_DN90170_c5_g2_i1:168-1285|+    -            102 55417at6656          -            496    0.0065   14.3   0.0   1   1   4.3e-05    0.0067   14.2   0.0   320   398     6    84     1    98 0.62 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 55417at6656          -            496     0.015   13.1  11.4   1   3      0.51        80    0.8   0.0   385   451     3    72     1    84 0.67 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 55417at6656          -            496     0.015   13.1  11.4   2   3    0.0041      0.64    7.7   0.8   319   411    84   177    43   197 0.81 -
66597at6656_48709_0:000c05|TRINITY_DN93210_c8_g2_i7:497-1738|-     -            414 55417at6656          -            496     0.015   13.1  11.4   3   3    0.0058      0.92    7.2   4.4   318   407   197   291   178   331 0.73 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i1:431-898|+    -            156 55417at6656          -            496     0.046   11.5   0.6   1   1   0.00035     0.055   11.2   0.6   292   365    55   128    21   144 0.65 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i2:333-800|+    -            156 55417at6656          -            496     0.046   11.5   0.6   1   1   0.00035     0.055   11.2   0.6   292   365    55   128    21   144 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/55417at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/55417at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/55417at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:50 2026
# [ok]
