#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50493at6656_6958_0:0034b8|TRINITY_DN81788_c13_g1_i3:48-605|+        -            186 50493at6656          -            547  1.5e-125  419.1   0.0   1   1  2.6e-127  1.9e-125  418.8   0.0   161   340     1   180     1   183 0.99 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 50493at6656          -            547   1.4e-05   23.1   0.2   1   2   0.00039     0.028   12.2   0.1   183   259     4    83     1    90 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i2:385-969|-      -            195 50493at6656          -            547   1.4e-05   23.1   0.2   2   2    0.0036      0.26    9.1   0.0   170   246    96   173    91   176 0.86 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 50493at6656          -            547   1.4e-05   23.1   0.2   1   2   0.00039     0.028   12.2   0.1   183   259     4    83     1    90 0.87 -
150765at6656_28612_0:004c30|TRINITY_DN75451_c7_g2_i3:385-969|-      -            195 50493at6656          -            547   1.4e-05   23.1   0.2   2   2    0.0036      0.26    9.1   0.0   170   246    96   173    91   176 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 50493at6656          -            547     3e-05   22.1   9.7   1   5      0.12       8.3    4.1   0.1   186   254     4    71     2    82 0.86 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 50493at6656          -            547     3e-05   22.1   9.7   2   5       6.4   4.6e+02   -1.6   0.5    31    77    97   146    83   153 0.68 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 50493at6656          -            547     3e-05   22.1   9.7   3   5   1.9e-06   0.00014   19.9   0.0   175   247   338   411   233   417 0.80 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 50493at6656          -            547     3e-05   22.1   9.7   4   5       3.3   2.4e+02   -0.7   0.0   186   211   531   556   525   567 0.82 -
39506at6656_454923_0:000a86|TRINITY_DN79693_c9_g3_i1:188-2179|+     -            664 50493at6656          -            547     3e-05   22.1   9.7   5   5         2   1.4e+02    0.0   0.1   172   201   634   663   619   664 0.91 -
137711at6656_610380_0:0000e5|TRINITY_DN88558_c13_g1_i1:770-991|-    -             74 50493at6656          -            547   3.6e-05   21.8   0.1   1   1   5.3e-07   3.8e-05   21.7   0.1   185   232    26    74    13    74 0.91 -
137711at6656_54969_0:003fed|TRINITY_DN87542_c6_g2_i5:692-1060|+     -            123 50493at6656          -            547   3.8e-05   21.7   0.0   1   1   5.8e-07   4.2e-05   21.6   0.0   187   288     2   103     1   119 0.87 -
137711at6656_218467_0:00484d|TRINITY_DN87542_c6_g2_i7:692-1063|+    -            124 50493at6656          -            547   3.9e-05   21.7   0.0   1   1     6e-07   4.3e-05   21.5   0.0   187   287     2   102     1   119 0.85 -
143626at6656_294128_0:0013b9|TRINITY_DN93756_c5_g1_i9:3302-3487|-   -             62 50493at6656          -            547   4.1e-05   21.6   0.0   1   1   6.4e-07   4.6e-05   21.5   0.0   187   247     2    58     1    61 0.93 -
80689at6656_76194_0:002d7c|TRINITY_DN91700_c3_g1_i11:565-798|-      -             78 50493at6656          -            547   4.2e-05   21.6   0.0   1   1     6e-07   4.3e-05   21.5   0.0   278   331    10    69     1    77 0.58 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 50493at6656          -            547   6.3e-05   21.0   0.0   1   2       1.6   1.2e+02    0.3   0.0   191   235     6    51     1    66 0.61 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 50493at6656          -            547   6.3e-05   21.0   0.0   2   2   4.4e-06   0.00031   18.7   0.0   185   231    98   145    79   154 0.82 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i14:1068-1283|-   -             72 50493at6656          -            547     7e-05   20.9   0.0   1   1     1e-06   7.4e-05   20.8   0.0   184   248     1    63     1    71 0.86 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i5:2200-2415|-    -             72 50493at6656          -            547     7e-05   20.9   0.0   1   1     1e-06   7.4e-05   20.8   0.0   184   248     1    63     1    71 0.86 -
80689at6656_76194_0:002d7c|TRINITY_DN91700_c3_g1_i15:2-370|-        -            123 50493at6656          -            547     7e-05   20.8   0.0   1   1   9.8e-07     7e-05   20.8   0.0   278   334    10    70     1   116 0.63 -
137711at6656_610380_0:0000e5|TRINITY_DN73456_c10_g1_i1:300-593|-    -             98 50493at6656          -            547   7.3e-05   20.8   0.0   1   1   1.2e-06   8.3e-05   20.6   0.0   183   247    18    83     9    91 0.87 -
146103at6656_52283_0:000fa5|TRINITY_DN72130_c16_g1_i3:629-1270|-    -            214 50493at6656          -            547   8.8e-05   20.5   0.3   1   1   1.6e-06   0.00012   20.1   0.3   153   253    43   148    13   164 0.72 -
106466at6656_1218281_0:0033ae|TRINITY_DN93023_c6_g2_i4:2132-2389|-  -             86 50493at6656          -            547   9.7e-05   20.4   0.0   1   1   1.4e-06   9.7e-05   20.4   0.0   194   240     9    56     1    70 0.88 -
106466at6656_1218281_0:0033ae|TRINITY_DN93023_c6_g2_i6:2132-2389|-  -             86 50493at6656          -            547   9.7e-05   20.4   0.0   1   1   1.4e-06   9.7e-05   20.4   0.0   194   240     9    56     1    70 0.88 -
83164at6656_294128_0:004567|TRINITY_DN87551_c7_g10_i1:2-1348|-      -            449 50493at6656          -            547    0.0001   20.3   0.0   1   1     2e-06   0.00015   19.8   0.0   178   241   228   285   207   321 0.66 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i3:3-218|-       -             72 50493at6656          -            547   0.00012   20.1   0.0   1   1   1.7e-06   0.00012   20.0   0.0   184   229    26    72    14    72 0.90 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i5:3-218|-       -             72 50493at6656          -            547   0.00012   20.1   0.0   1   1   1.7e-06   0.00012   20.0   0.0   184   229    26    72    14    72 0.90 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i6:3-218|-       -             72 50493at6656          -            547   0.00012   20.1   0.0   1   1   1.7e-06   0.00012   20.0   0.0   184   229    26    72    14    72 0.90 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i1:1117-1332|-    -             72 50493at6656          -            547   0.00019   19.4   0.1   1   1   2.8e-06    0.0002   19.3   0.1   204   259     2    58     1    71 0.72 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i3:1693-1908|-    -             72 50493at6656          -            547   0.00019   19.4   0.1   1   1   2.8e-06    0.0002   19.3   0.1   204   259     2    58     1    71 0.72 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i1:76-558|+       -            161 50493at6656          -            547    0.0002   19.3   0.0   1   1     3e-06   0.00021   19.2   0.0   266   346     2    82     1   128 0.83 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i2:76-558|+       -            161 50493at6656          -            547    0.0002   19.3   0.0   1   1     3e-06   0.00021   19.2   0.0   266   346     2    82     1   128 0.83 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i3:76-558|+       -            161 50493at6656          -            547    0.0002   19.3   0.0   1   1     3e-06   0.00021   19.2   0.0   266   346     2    82     1   128 0.83 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i4:76-558|+       -            161 50493at6656          -            547    0.0002   19.3   0.0   1   1     3e-06   0.00021   19.2   0.0   266   346     2    82     1   128 0.83 -
106466at6656_1218281_0:00157b|TRINITY_DN87486_c3_g1_i1:83-280|-     -             66 50493at6656          -            547   0.00021   19.3   0.0   1   1   3.2e-06   0.00023   19.2   0.0   188   243     4    59     1    63 0.92 -
137711at6656_438502_0:005d3e|TRINITY_DN73894_c2_g4_i1:100-279|+     -             60 50493at6656          -            547   0.00025   19.0   0.0   1   1   3.6e-06   0.00025   19.0   0.0   196   239     1    45     1    58 0.86 -
147025at6656_6669_0:00099e|TRINITY_DN83640_c8_g1_i1:48-812|+        -            255 50493at6656          -            547    0.0003   18.8   0.1   1   3   2.6e-05    0.0019   16.1   0.0   179   222    35    79    22    91 0.81 -
147025at6656_6669_0:00099e|TRINITY_DN83640_c8_g1_i1:48-812|+        -            255 50493at6656          -            547    0.0003   18.8   0.1   2   3         6   4.3e+02   -1.6   0.0    89   108    98   117    95   130 0.81 -
147025at6656_6669_0:00099e|TRINITY_DN83640_c8_g1_i1:48-812|+        -            255 50493at6656          -            547    0.0003   18.8   0.1   3   3       5.6     4e+02   -1.5   0.5   155   163   201   209   138   250 0.61 -
147025at6656_6945_0:002cab|TRINITY_DN83640_c8_g1_i2:39-688|+        -            214 50493at6656          -            547   0.00033   18.6   0.2   1   2   1.3e-05   0.00089   17.2   0.0   178   222    37    82    23   111 0.79 -
147025at6656_6945_0:002cab|TRINITY_DN83640_c8_g1_i2:39-688|+        -            214 50493at6656          -            547   0.00033   18.6   0.2   2   2       5.9   4.2e+02   -1.5   0.7   156   167   162   173   117   210 0.57 -
137711at6656_37001_0:003045|TRINITY_DN75338_c5_g5_i2:1259-1522|-    -             88 50493at6656          -            547   0.00049   18.1   0.0   1   1     8e-06   0.00057   17.8   0.0   186   244     1    60     1    64 0.89 -
137711at6656_37001_0:003045|TRINITY_DN75338_c5_g5_i6:1418-1681|-    -             88 50493at6656          -            547   0.00049   18.1   0.0   1   1     8e-06   0.00057   17.8   0.0   186   244     1    60     1    64 0.89 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i1:327-1811|-    -            495 50493at6656          -            547    0.0008   17.4   0.0   1   1   1.1e-05    0.0008   17.4   0.0   184   240    96   153    89   163 0.88 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i2:327-1811|-    -            495 50493at6656          -            547    0.0008   17.4   0.0   1   1   1.1e-05    0.0008   17.4   0.0   184   240    96   153    89   163 0.88 -
137711at6656_199890_0:001386|TRINITY_DN81934_c2_g2_i1:202-468|-     -             89 50493at6656          -            547     0.001   17.0   0.0   1   1   1.6e-05    0.0011   16.8   0.0   186   250    24    89    15    89 0.87 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c8_g1_i1:79-306|-      -             76 50493at6656          -            547    0.0011   16.9   0.2   1   1   1.6e-05    0.0011   16.9   0.2   191   257     6    72     1    75 0.90 -
137711at6656_211228_0:00065c|TRINITY_DN73894_c2_g5_i1:12-275|-      -             88 50493at6656          -            547    0.0012   16.8   0.0   1   1   1.9e-05    0.0013   16.6   0.0   186   233    19    67    13    82 0.85 -
137711at6656_7160_0:003f5c|TRINITY_DN78494_c7_g2_i4:1094-1291|+     -             66 50493at6656          -            547    0.0013   16.7   0.1   1   1   1.9e-05    0.0013   16.6   0.1   183   246     2    66     1    66 0.89 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i1:1482-1700|-  -             73 50493at6656          -            547    0.0018   16.2   0.0   1   1   2.7e-05    0.0019   16.1   0.0   184   232    21    70     8    72 0.52 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i4:1482-1700|-  -             73 50493at6656          -            547    0.0018   16.2   0.0   1   1   2.7e-05    0.0019   16.1   0.0   184   232    21    70     8    72 0.52 -
137711at6656_441921_0:0017da|TRINITY_DN72130_c16_g1_i5:1448-1666|-  -             73 50493at6656          -            547    0.0018   16.2   0.0   1   1   2.7e-05    0.0019   16.1   0.0   184   232    21    70     8    72 0.52 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i1:345-602|-      -             86 50493at6656          -            547    0.0029   15.5   0.0   1   1   4.9e-05    0.0035   15.3   0.0   184   262     2    81     1    86 0.89 -
143626at6656_7493_0:00073d|TRINITY_DN80683_c11_g1_i2:345-602|-      -             86 50493at6656          -            547    0.0029   15.5   0.0   1   1   4.9e-05    0.0035   15.3   0.0   184   262     2    81     1    86 0.89 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i2:765-1082|-    -            106 50493at6656          -            547    0.0031   15.4   0.0   1   1   5.1e-05    0.0037   15.2   0.0   186   240    41    96    34   101 0.74 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i4:1551-1868|-   -            106 50493at6656          -            547    0.0031   15.4   0.0   1   1   5.1e-05    0.0037   15.2   0.0   186   240    41    96    34   101 0.74 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i5:1548-1865|-   -            106 50493at6656          -            547    0.0031   15.4   0.0   1   1   5.1e-05    0.0037   15.2   0.0   186   240    41    96    34   101 0.74 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i8:1548-1865|-   -            106 50493at6656          -            547    0.0031   15.4   0.0   1   1   5.1e-05    0.0037   15.2   0.0   186   240    41    96    34   101 0.74 -
137711at6656_103372_0:000cb6|TRINITY_DN86740_c7_g1_i9:765-1082|-    -            106 50493at6656          -            547    0.0031   15.4   0.0   1   1   5.1e-05    0.0037   15.2   0.0   186   240    41    96    34   101 0.74 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-    -             86 50493at6656          -            547    0.0033   15.3   0.0   1   1   5.1e-05    0.0036   15.2   0.0   186   250     1    66     1    81 0.90 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i2:1112-1369|-    -             86 50493at6656          -            547    0.0033   15.3   0.0   1   1   5.1e-05    0.0036   15.2   0.0   186   250     1    66     1    81 0.90 -
137711at6656_35570_0:00013d|TRINITY_DN78228_c5_g1_i1:712-1110|-     -            133 50493at6656          -            547    0.0037   15.2   0.0   1   1     6e-05    0.0043   14.9   0.0   194   253     3    63     2    78 0.85 -
137711at6656_6958_0:001629|TRINITY_DN91187_c13_g1_i1:120-542|+      -            141 50493at6656          -            547    0.0048   14.8   0.0   1   1   0.00011    0.0078   14.1   0.0   267   339    38   114    31   134 0.59 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i3:357-1220|+      -            288 50493at6656          -            547    0.0082   14.0   0.1   1   1    0.0002     0.014   13.2   0.1   183   246   209   273   205   281 0.89 -
137711at6656_38123_0:0017f4|TRINITY_DN78494_c7_g2_i1:158-352|+      -             65 50493at6656          -            547    0.0082   14.0   0.0   1   1   0.00012    0.0082   14.0   0.0   188   246     6    65     1    65 0.88 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c8_g1_i2:40-252|-        -             71 50493at6656          -            547    0.0084   14.0   0.1   1   1   0.00012    0.0084   14.0   0.1   191   252     6    67     1    71 0.86 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+    -             75 50493at6656          -            547    0.0096   13.8   0.0   1   1   0.00014      0.01   13.7   0.0   268   327     4    69     1    74 0.79 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i2:227-451|+    -             75 50493at6656          -            547    0.0096   13.8   0.0   1   1   0.00014      0.01   13.7   0.0   268   327     4    69     1    74 0.79 -
137711at6656_7397_0:004a22|TRINITY_DN76980_c8_g1_i3:40-246|-        -             69 50493at6656          -            547     0.011   13.6   0.1   1   1   0.00017     0.012   13.5   0.1   196   250     9    63     3    69 0.88 -
123853at6656_7167_0:001a03|TRINITY_DN78494_c7_g2_i5:357-1232|+      -            292 50493at6656          -            547     0.015   13.2   0.1   1   1   0.00036     0.025   12.4   0.1   183   246   209   273   205   280 0.89 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c7_g13_i1:0-215|+        -             72 50493at6656          -            547     0.019   12.9   0.0   1   1   0.00027     0.019   12.8   0.0   188   243    15    70     7    72 0.85 -
115537at6656_136037_0:0006b7|TRINITY_DN90750_c12_g2_i1:173-1306|+   -            378 50493at6656          -            547      0.02   12.7   0.0   1   1   0.00028      0.02   12.7   0.0   203   258   317   374   289   377 0.81 -
137711at6656_6945_0:002ee5|TRINITY_DN80667_c12_g1_i1:172-363|+      -             64 50493at6656          -            547     0.022   12.6   0.0   1   1   0.00031     0.022   12.6   0.0   261   293     6    38     3    59 0.63 -
137711at6656_7425_0:001fb1|TRINITY_DN87254_c8_g2_i1:299-547|+       -             83 50493at6656          -            547     0.032   12.1   0.0   1   1   0.00045     0.032   12.0   0.0   267   341     1    79     1    83 0.59 -
137711at6656_29031_0:001f45|TRINITY_DN73894_c3_g1_i1:638-787|+      -             50 50493at6656          -            547     0.035   12.0   0.1   1   1   0.00051     0.036   11.9   0.1   186   231     1    47     1    49 0.64 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i11:2920-3078|+  -             53 50493at6656          -            547     0.054   11.3   0.0   1   1   0.00077     0.055   11.3   0.0   267   299     1    35     1    51 0.56 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i14:2920-3078|+  -             53 50493at6656          -            547     0.054   11.3   0.0   1   1   0.00077     0.055   11.3   0.0   267   299     1    35     1    51 0.56 -
137711at6656_38123_0:0017f4|TRINITY_DN85178_c13_g1_i1:2920-3078|+   -             53 50493at6656          -            547     0.054   11.3   0.0   1   1   0.00077     0.055   11.3   0.0   267   299     1    35     1    51 0.56 -
137711at6656_51655_0:0033b8|TRINITY_DN80667_c12_g1_i2:205-519|+     -            105 50493at6656          -            547     0.089   10.6   0.0   1   1    0.0014     0.097   10.5   0.0   186   241     1    57     1    71 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/50493at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/hmmer_output/initial_run_results/50493at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/arthropoda_odb10/hmms/50493at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 14:44:51 2026
# [ok]
